file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error
u_mand_factor\set00\u_mand_factor_0.2.py,u_mand_factor,0,u_mand_factor,0.2,2,5,5,0.2,0.5,0.7,0.6,0.4,0.8,38.639998,40,13,18.400001,55.199997,8.817143,1,0,1000,0,ilp_v1,optimal,1,99.104794,38.261935,2.590167,0.0118,0.0,
u_mand_factor\set00\u_mand_factor_0.2.py,u_mand_factor,0,u_mand_factor,0.2,2,5,5,0.2,0.5,0.7,0.6,0.4,0.8,38.639998,40,13,18.400001,55.199997,8.817143,1,0,1000,0,ilp_v2,optimal,1,99.104794,38.358869,2.583621,0.0054,0.0,
u_mand_factor\set00\u_mand_factor_0.2.py,u_mand_factor,0,u_mand_factor,0.2,2,5,5,0.2,0.5,0.7,0.6,0.4,0.8,38.639998,40,13,18.400001,55.199997,8.817143,1,0,1000,0,heuristic_v5b,solved,1,71.8919,37.824582,1.900666,0.0018,,
u_mand_factor\set00\u_mand_factor_0.3.py,u_mand_factor,0,u_mand_factor,0.3,2,5,5,0.3,0.5,0.7,0.6,0.6,0.7,41.860001,40,13,27.600001,59.800001,13.225715,1,1,1000,0,ilp_v1,optimal,1,87.075694,40.743433,2.137171,0.0161,0.0,
u_mand_factor\set00\u_mand_factor_0.3.py,u_mand_factor,0,u_mand_factor,0.3,2,5,5,0.3,0.5,0.7,0.6,0.6,0.7,41.860001,40,13,27.600001,59.800001,13.225715,1,1,1000,0,ilp_v2,optimal,1,87.075694,41.555452,2.09541,0.0057,0.0,
u_mand_factor\set00\u_mand_factor_0.3.py,u_mand_factor,0,u_mand_factor,0.3,2,5,5,0.3,0.5,0.7,0.6,0.6,0.7,41.860001,40,13,27.600001,59.800001,13.225715,1,1,1000,0,heuristic_v5b,solved,1,64.449027,41.348252,1.558688,0.0016,,
u_mand_factor\set00\u_mand_factor_0.4.py,u_mand_factor,0,u_mand_factor,0.4,2,5,5,0.4,0.5,0.7,0.6,0.8,0.6,45.079998,40,13,36.800002,64.399997,17.634287,1,1,1000,0,ilp_v1,optimal,1,76.175775,44.806739,1.700096,0.0189,0.0,
u_mand_factor\set00\u_mand_factor_0.4.py,u_mand_factor,0,u_mand_factor,0.4,2,5,5,0.4,0.5,0.7,0.6,0.8,0.6,45.079998,40,13,36.800002,64.399997,17.634287,1,1,1000,0,ilp_v2,optimal,1,76.175775,44.86937,1.697723,0.0066,0.0,
u_mand_factor\set00\u_mand_factor_0.4.py,u_mand_factor,0,u_mand_factor,0.4,2,5,5,0.4,0.5,0.7,0.6,0.8,0.6,45.079998,40,13,36.800002,64.399997,17.634287,1,1,1000,0,heuristic_v5b,solved,1,39.518557,44.913544,0.879881,0.0014,,
u_mand_factor\set00\u_mand_factor_0.5.py,u_mand_factor,0,u_mand_factor,0.5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v1,optimal,1,65.122801,48.16382,1.35211,0.0458,0.0,
