file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error
u_mand_factor\set00\u_mand_factor_0.1.py,u_mand_factor,0,u_mand_factor,0.1,2,8,5,0.1,0.5,0.7,0.6,0.2,0.9,70.840003,80,29,18.399999,101.200005,8.817142,1,0,1000,0,ilp_v2,optimal,1,269.727721,70.623375,3.819241,0.0214,0.0,
u_mand_factor\set00\u_mand_factor_0.1.py,u_mand_factor,0,u_mand_factor,0.1,2,8,5,0.1,0.5,0.7,0.6,0.2,0.9,70.840003,80,29,18.399999,101.200005,8.817142,1,0,1000,0,heuristic_v5b,solved,1,269.727721,70.583105,3.82142,0.0109,,
u_mand_factor\set00\u_mand_factor_0.1.py,u_mand_factor,0,u_mand_factor,0.1,2,8,5,0.1,0.5,0.7,0.6,0.2,0.9,70.840003,80,29,18.399999,101.200005,8.817142,1,0,1000,0,heuristic_v7,solved,1,269.727721,70.583105,3.82142,0.0973,,
u_mand_factor\set00\u_mand_factor_0.2.py,u_mand_factor,0,u_mand_factor,0.2,2,8,5,0.2,0.5,0.7,0.6,0.4,0.8,77.280001,80,29,36.800005,110.400001,17.634288,1,0,1000,0,ilp_v2,optimal,1,235.719363,75.892585,3.10596,0.0192,0.0,
u_mand_factor\set00\u_mand_factor_0.2.py,u_mand_factor,0,u_mand_factor,0.2,2,8,5,0.2,0.5,0.7,0.6,0.4,0.8,77.280001,80,29,36.800005,110.400001,17.634288,1,0,1000,0,heuristic_v5b,solved,1,235.719363,77.141785,3.055664,0.0108,,
u_mand_factor\set00\u_mand_factor_0.2.py,u_mand_factor,0,u_mand_factor,0.2,2,8,5,0.2,0.5,0.7,0.6,0.4,0.8,77.280001,80,29,36.800005,110.400001,17.634288,1,0,1000,0,heuristic_v7,solved,1,235.719363,77.141785,3.055664,0.1634,,
u_mand_factor\set00\u_mand_factor_0.3.py,u_mand_factor,0,u_mand_factor,0.3,2,8,5,0.3,0.5,0.7,0.6,0.6,0.7,83.719998,80,29,55.199995,119.599997,26.451426,1,1,1000,0,ilp_v2,optimal,1,203.729585,83.429738,2.44193,0.0184,0.0,
u_mand_factor\set00\u_mand_factor_0.3.py,u_mand_factor,0,u_mand_factor,0.3,2,8,5,0.3,0.5,0.7,0.6,0.6,0.7,83.719998,80,29,55.199995,119.599997,26.451426,1,1,1000,0,heuristic_v5b,solved,1,203.729585,83.47845,2.440505,0.0128,,
u_mand_factor\set00\u_mand_factor_0.3.py,u_mand_factor,0,u_mand_factor,0.3,2,8,5,0.3,0.5,0.7,0.6,0.6,0.7,83.719998,80,29,55.199995,119.599997,26.451426,1,1,1000,0,heuristic_v7,solved,1,203.729585,83.47845,2.440505,0.1673,,
u_mand_factor\set00\u_mand_factor_0.4.py,u_mand_factor,0,u_mand_factor,0.4,2,8,5,0.4,0.5,0.7,0.6,0.8,0.6,90.160002,80,29,73.6,128.800002,35.268571,1,1,1000,0,ilp_v2,optimal,1,172.250096,89.390297,1.926944,0.0231,0.0,
