file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error
u_mand_factor\set00\u_mand_factor_0.1.py,u_mand_factor,0,u_mand_factor,0.1,2,8,5,0.1,0.5,0.7,0.6,0.2,0.9,70.840003,80,29,18.399999,101.200005,8.817142,1,0,1000,0,heuristic_claudeoptimal,solved,1,269.727721,70.583105,3.82142,0.023,,
u_mand_factor\set00\u_mand_factor_0.1.py,u_mand_factor,0,u_mand_factor,0.1,2,8,5,0.1,0.5,0.7,0.6,0.2,0.9,70.840003,80,29,18.399999,101.200005,8.817142,1,0,1000,0,heuristic_v5a,solved,1,269.727721,70.583105,3.82142,0.0142,,
u_mand_factor\set00\u_mand_factor_0.1.py,u_mand_factor,0,u_mand_factor,0.1,2,8,5,0.1,0.5,0.7,0.6,0.2,0.9,70.840003,80,29,18.399999,101.200005,8.817142,1,0,1000,0,heuristic_v6,solved,1,269.727721,70.583105,3.82142,0.3517,,
u_mand_factor\set00\u_mand_factor_0.2.py,u_mand_factor,0,u_mand_factor,0.2,2,8,5,0.2,0.5,0.7,0.6,0.4,0.8,77.280001,80,29,36.800005,110.400001,17.634288,1,0,1000,0,heuristic_claudeoptimal,solved,1,235.719363,77.141785,3.055664,0.0221,,
u_mand_factor\set00\u_mand_factor_0.2.py,u_mand_factor,0,u_mand_factor,0.2,2,8,5,0.2,0.5,0.7,0.6,0.4,0.8,77.280001,80,29,36.800005,110.400001,17.634288,1,0,1000,0,heuristic_v5a,solved,1,235.719363,77.141785,3.055664,0.0131,,
u_mand_factor\set00\u_mand_factor_0.2.py,u_mand_factor,0,u_mand_factor,0.2,2,8,5,0.2,0.5,0.7,0.6,0.4,0.8,77.280001,80,29,36.800005,110.400001,17.634288,1,0,1000,0,heuristic_v6,solved,1,235.719363,77.141785,3.055664,0.3685,,
u_mand_factor\set00\u_mand_factor_0.3.py,u_mand_factor,0,u_mand_factor,0.3,2,8,5,0.3,0.5,0.7,0.6,0.6,0.7,83.719998,80,29,55.199995,119.599997,26.451426,1,1,1000,0,heuristic_claudeoptimal,solved,1,203.729585,83.47845,2.440505,0.0287,,
u_mand_factor\set00\u_mand_factor_0.3.py,u_mand_factor,0,u_mand_factor,0.3,2,8,5,0.3,0.5,0.7,0.6,0.6,0.7,83.719998,80,29,55.199995,119.599997,26.451426,1,1,1000,0,heuristic_v5a,solved,1,200.81139,83.441534,2.406612,0.0144,,
u_mand_factor\set00\u_mand_factor_0.3.py,u_mand_factor,0,u_mand_factor,0.3,2,8,5,0.3,0.5,0.7,0.6,0.6,0.7,83.719998,80,29,55.199995,119.599997,26.451426,1,1,1000,0,heuristic_v6,solved,1,203.729585,83.47845,2.440505,0.3985,,
u_mand_factor\set00\u_mand_factor_0.4.py,u_mand_factor,0,u_mand_factor,0.4,2,8,5,0.4,0.5,0.7,0.6,0.8,0.6,90.160002,80,29,73.6,128.800002,35.268571,1,1,1000,0,heuristic_claudeoptimal,solved,1,169.748785,89.683332,1.892757,0.0321,,
u_mand_factor\set00\u_mand_factor_0.4.py,u_mand_factor,0,u_mand_factor,0.4,2,8,5,0.4,0.5,0.7,0.6,0.8,0.6,90.160002,80,29,73.6,128.800002,35.268571,1,1,1000,0,heuristic_v5a,solved,1,165.925743,89.764718,1.848452,0.0173,,
u_mand_factor\set00\u_mand_factor_0.4.py,u_mand_factor,0,u_mand_factor,0.4,2,8,5,0.4,0.5,0.7,0.6,0.8,0.6,90.160002,80,29,73.6,128.800002,35.268571,1,1,1000,0,heuristic_v6,solved,1,172.250096,90.13639,1.910994,0.4285,,
u_mand_factor\set00\u_mand_factor_0.5.py,u_mand_factor,0,u_mand_factor,0.5,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600007,80,29,91.999999,138.00001,44.085714,1,1,1000,0,heuristic_claudeoptimal,solved,1,131.509054,96.023023,1.369558,0.0433,,
u_mand_factor\set00\u_mand_factor_0.5.py,u_mand_factor,0,u_mand_factor,0.5,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600007,80,29,91.999999,138.00001,44.085714,1,1,1000,0,heuristic_v5a,solved,1,131.914051,95.76214,1.377518,0.0172,,
u_mand_factor\set00\u_mand_factor_0.5.py,u_mand_factor,0,u_mand_factor,0.5,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600007,80,29,91.999999,138.00001,44.085714,1,1,1000,0,heuristic_v6,solved,1,142.485857,96.082744,1.482949,0.4809,,
u_mand_factor\set00\u_mand_factor_0.6.py,u_mand_factor,0,u_mand_factor,0.6,2,8,5,0.6,0.5,0.7,0.6,1.2,0.4,103.039996,80,29,110.399999,147.199994,52.902857,1,1,1000,0,heuristic_claudeoptimal,solved,1,103.478851,102.316664,1.011359,0.1375,,
u_mand_factor\set00\u_mand_factor_0.6.py,u_mand_factor,0,u_mand_factor,0.6,2,8,5,0.6,0.5,0.7,0.6,1.2,0.4,103.039996,80,29,110.399999,147.199994,52.902857,1,1,1000,0,heuristic_v5a,solved,1,102.682714,102.482438,1.001954,0.0187,,
u_mand_factor\set00\u_mand_factor_0.6.py,u_mand_factor,0,u_mand_factor,0.6,2,8,5,0.6,0.5,0.7,0.6,1.2,0.4,103.039996,80,29,110.399999,147.199994,52.902857,1,1,1000,0,heuristic_v6,solved,1,111.132872,102.925713,1.079739,1.2585,,
u_mand_factor\set00\u_mand_factor_0.7.py,u_mand_factor,0,u_mand_factor,0.7,2,8,5,0.7,0.5,0.7,0.6,1.4,0.3,109.480003,80,29,128.799994,156.400005,61.719997,1,1,1000,0,heuristic_claudeoptimal,solved,1,57.252836,108.990249,0.525302,0.1367,,
u_mand_factor\set00\u_mand_factor_0.7.py,u_mand_factor,0,u_mand_factor,0.7,2,8,5,0.7,0.5,0.7,0.6,1.4,0.3,109.480003,80,29,128.799994,156.400005,61.719997,1,1,1000,0,heuristic_v5a,solved,1,33.644586,109.15098,0.308239,0.0386,,
u_mand_factor\set00\u_mand_factor_0.7.py,u_mand_factor,0,u_mand_factor,0.7,2,8,5,0.7,0.5,0.7,0.6,1.4,0.3,109.480003,80,29,128.799994,156.400005,61.719997,1,1,1000,0,heuristic_v6,solved,1,67.945863,109.459503,0.62074,2.4864,,
u_mand_factor\set00\u_mand_factor_0.8.py,u_mand_factor,0,u_mand_factor,0.8,2,8,5,0.8,0.5,0.7,0.6,1.6,0.2,115.920003,80,29,147.200002,165.600005,70.537144,1,1,1000,0,heuristic_claudeoptimal,infeasible,0,,116.265436,,0.0437,,over budget: E=116.2654 > B=115.9200
u_mand_factor\set00\u_mand_factor_0.8.py,u_mand_factor,0,u_mand_factor,0.8,2,8,5,0.8,0.5,0.7,0.6,1.6,0.2,115.920003,80,29,147.200002,165.600005,70.537144,1,1,1000,0,heuristic_v5a,infeasible,0,,123.491235,,0.0408,,over budget: E=123.4912 > B=115.9200
u_mand_factor\set00\u_mand_factor_0.8.py,u_mand_factor,0,u_mand_factor,0.8,2,8,5,0.8,0.5,0.7,0.6,1.6,0.2,115.920003,80,29,147.200002,165.600005,70.537144,1,1,1000,0,heuristic_v6,infeasible,0,,116.265436,,0.2017,,over budget: E=116.2654 > B=115.9200
u_mand_factor\set00\u_mand_factor_0.9.py,u_mand_factor,0,u_mand_factor,0.9,2,8,5,0.9,0.5,0.7,0.6,1.8,0.1,122.360007,80,29,165.600003,174.80001,79.354287,1,1,1000,0,heuristic_claudeoptimal,infeasible,0,,141.296447,,0.057,,over budget: E=141.2964 > B=122.3600
u_mand_factor\set00\u_mand_factor_0.9.py,u_mand_factor,0,u_mand_factor,0.9,2,8,5,0.9,0.5,0.7,0.6,1.8,0.1,122.360007,80,29,165.600003,174.80001,79.354287,1,1,1000,0,heuristic_v5a,infeasible,0,,141.490937,,0.0531,,over budget: E=141.4909 > B=122.3600
u_mand_factor\set00\u_mand_factor_0.9.py,u_mand_factor,0,u_mand_factor,0.9,2,8,5,0.9,0.5,0.7,0.6,1.8,0.1,122.360007,80,29,165.600003,174.80001,79.354287,1,1,1000,0,heuristic_v6,infeasible,0,,141.296447,,0.2316,,over budget: E=141.2964 > B=122.3600
u_mand_factor\set01\u_mand_factor_0.1.py,u_mand_factor,1,u_mand_factor,0.1,2,8,5,0.1,0.5,0.7,0.6,0.2,0.9,70.840001,80,23,18.400005,101.200001,8.573335,1,0,1001,0,heuristic_claudeoptimal,solved,1,239.954342,70.749595,3.3916,0.0189,,
u_mand_factor\set01\u_mand_factor_0.1.py,u_mand_factor,1,u_mand_factor,0.1,2,8,5,0.1,0.5,0.7,0.6,0.2,0.9,70.840001,80,23,18.400005,101.200001,8.573335,1,0,1001,0,heuristic_v5a,solved,1,241.298617,66.923782,3.605574,0.0064,,
u_mand_factor\set01\u_mand_factor_0.1.py,u_mand_factor,1,u_mand_factor,0.1,2,8,5,0.1,0.5,0.7,0.6,0.2,0.9,70.840001,80,23,18.400005,101.200001,8.573335,1,0,1001,0,heuristic_v6,solved,1,241.298617,64.074878,3.765885,0.1296,,
u_mand_factor\set01\u_mand_factor_0.2.py,u_mand_factor,1,u_mand_factor,0.2,2,8,5,0.2,0.5,0.7,0.6,0.4,0.8,77.279998,80,23,36.799997,110.399998,17.146665,1,0,1001,0,heuristic_claudeoptimal,solved,1,221.710296,74.586942,2.972508,0.0178,,
u_mand_factor\set01\u_mand_factor_0.2.py,u_mand_factor,1,u_mand_factor,0.2,2,8,5,0.2,0.5,0.7,0.6,0.4,0.8,77.279998,80,23,36.799997,110.399998,17.146665,1,0,1001,0,heuristic_v5a,solved,1,221.710296,74.400645,2.979951,0.007,,
