file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws
n_tsk\set00\n_tsk_4.py,n_tsk,0,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,11,45.999999,69.000007,22.042857,1,1,1000,0
n_tsk\set00\n_tsk_6.py,n_tsk,0,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,17,46.000002,68.999997,22.042858,1,1,1000,0
n_tsk\set00\n_tsk_8.py,n_tsk,0,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,20,45.999999,69.000003,22.042857,1,1,1000,0
n_tsk\set00\n_tsk_10.py,n_tsk,0,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,28,46.0,68.999997,22.042857,1,1,1000,0
n_tsk\set00\n_tsk_12.py,n_tsk,0,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,33,45.999994,68.999997,22.042854,1,1,1000,0
n_tsk\set00\n_tsk_16.py,n_tsk,0,n_tsk,16,2,16,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300007,40,42,46.000008,69.00001,22.042861,1,1,1000,0
n_tsk\set00\n_tsk_20.py,n_tsk,0,n_tsk,20,2,20,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,50,46.000009,69.000007,22.042862,1,1,1000,0
n_tsk\set00\n_tsk_26.py,n_tsk,0,n_tsk,26,2,26,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299995,40,64,46.000012,68.999993,22.042863,1,1,1000,0
n_tsk\set01\n_tsk_4.py,n_tsk,1,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,11,46.000002,68.999999,21.433334,1,1,1001,0
n_tsk\set01\n_tsk_6.py,n_tsk,1,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,14,46.000001,69.000003,21.433334,1,1,1001,0
n_tsk\set01\n_tsk_8.py,n_tsk,1,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299996,40,17,45.999995,68.999994,21.433331,1,1,1001,0
n_tsk\set01\n_tsk_10.py,n_tsk,1,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299995,40,20,45.999995,68.999993,21.433331,1,1,1001,0
n_tsk\set01\n_tsk_12.py,n_tsk,1,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299996,40,25,45.999998,68.999994,21.433332,1,1,1001,0
n_tsk\set01\n_tsk_16.py,n_tsk,1,n_tsk,16,2,16,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,35,46.000001,69.000002,21.433334,1,1,1001,0
n_tsk\set01\n_tsk_20.py,n_tsk,1,n_tsk,20,2,20,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,40,46.000001,69.000003,21.433334,1,1,1001,0
n_tsk\set01\n_tsk_26.py,n_tsk,1,n_tsk,26,2,26,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299994,40,49,45.999999,68.999991,21.433333,1,1,1001,0
n_tsk\set02\n_tsk_4.py,n_tsk,2,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,9,46.0,68.999997,21.4,1,1,1002,0
n_tsk\set02\n_tsk_6.py,n_tsk,2,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,15,45.999998,68.999995,21.399999,1,1,1002,0
n_tsk\set02\n_tsk_8.py,n_tsk,2,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,17,46.000001,68.999997,21.400001,1,1,1002,0
n_tsk\set02\n_tsk_10.py,n_tsk,2,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,22,45.999998,69.000003,21.399999,1,1,1002,0
n_tsk\set02\n_tsk_12.py,n_tsk,2,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,25,46.0,69.000001,21.4,1,1,1002,0
n_tsk\set02\n_tsk_16.py,n_tsk,2,n_tsk,16,2,16,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,38,46.0,69.000005,21.4,1,1,1002,0
n_tsk\set02\n_tsk_20.py,n_tsk,2,n_tsk,20,2,20,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,49,46.000008,68.999995,21.400004,1,1,1002,0
n_tsk\set02\n_tsk_26.py,n_tsk,2,n_tsk,26,2,26,5,0.5,0.5,0.7,0.6,1.0,0.5,48.30001,40,62,46.000003,69.000015,21.400002,1,1,1002,0
n_tsk\set03\n_tsk_4.py,n_tsk,3,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,8,45.999999,68.999999,21.433333,1,1,1003,0
n_tsk\set03\n_tsk_6.py,n_tsk,3,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,12,46.0,68.999999,21.433333,1,1,1003,0
n_tsk\set03\n_tsk_8.py,n_tsk,3,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,17,45.999999,68.999998,21.433333,1,1,1003,0
n_tsk\set03\n_tsk_10.py,n_tsk,3,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299994,40,23,46.000002,68.999991,21.433334,1,1,1003,0
n_tsk\set03\n_tsk_12.py,n_tsk,3,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299994,40,26,46.000001,68.999991,21.433334,1,1,1003,0
n_tsk\set03\n_tsk_16.py,n_tsk,3,n_tsk,16,2,16,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300008,40,35,46.000009,69.000011,21.433338,1,1,1003,0
n_tsk\set03\n_tsk_20.py,n_tsk,3,n_tsk,20,2,20,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,40,46.000003,69.000005,21.433335,1,1,1003,0
n_tsk\set03\n_tsk_26.py,n_tsk,3,n_tsk,26,2,26,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299991,40,52,45.999998,68.999987,21.433332,1,1,1003,0
n_tsk\set04\n_tsk_4.py,n_tsk,4,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,11,46.000001,69.000002,22.042858,1,1,1004,0
n_tsk\set04\n_tsk_6.py,n_tsk,4,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,14,46.000002,69.0,22.042858,1,1,1004,0
n_tsk\set04\n_tsk_8.py,n_tsk,4,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,19,45.999994,68.999997,22.042854,1,1,1004,0
n_tsk\set04\n_tsk_10.py,n_tsk,4,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,24,46.0,69.0,22.042857,1,1,1004,0
n_tsk\set04\n_tsk_12.py,n_tsk,4,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,27,46.000003,69.000005,22.042859,1,1,1004,0
n_tsk\set04\n_tsk_16.py,n_tsk,4,n_tsk,16,2,16,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,37,46.000002,68.999997,22.042858,1,1,1004,0
n_tsk\set04\n_tsk_20.py,n_tsk,4,n_tsk,20,2,20,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300007,40,50,46.000002,69.00001,22.042858,1,1,1004,0
n_tsk\set04\n_tsk_26.py,n_tsk,4,n_tsk,26,2,26,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,67,46.000002,69.000001,22.042858,1,1,1004,0
n_tsk\set05\n_tsk_4.py,n_tsk,5,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,9,46.000001,69.000002,24.400001,1,1,1005,0
n_tsk\set05\n_tsk_6.py,n_tsk,5,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299994,40,11,45.999999,68.999992,24.399999,1,1,1005,0
n_tsk\set05\n_tsk_8.py,n_tsk,5,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,17,46.000005,69.000007,24.400002,1,1,1005,0
n_tsk\set05\n_tsk_10.py,n_tsk,5,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.29999,40,22,46.000001,68.999985,24.400001,1,1,1005,0
n_tsk\set05\n_tsk_12.py,n_tsk,5,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,26,46.000002,68.999997,24.400001,1,1,1005,0
n_tsk\set05\n_tsk_16.py,n_tsk,5,n_tsk,16,2,16,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,36,46.000002,69.000007,24.400001,1,1,1005,0
n_tsk\set05\n_tsk_20.py,n_tsk,5,n_tsk,20,2,20,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299994,40,47,46.000002,68.999991,24.400001,1,1,1005,0
