file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error,runtime_best,runtime_worst,repeats,censored,nondeterministic
n_tsk\set00\n_tsk_4.py,n_tsk,0,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,11,45.999999,69.000007,22.042857,1,1,1000,0,ilp_v2,optimal,1,28.486685,47.853268,0.595292,0.089512,0.0,,0.089512,0.145846,3,0,0
n_tsk\set00\n_tsk_4.py,n_tsk,0,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,11,45.999999,69.000007,22.042857,1,1,1000,0,ilp_v3,optimal,1,28.726481,48.207094,0.595897,0.033265,0.0,,0.033265,0.038264,3,0,0
n_tsk\set00\n_tsk_4.py,n_tsk,0,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,11,45.999999,69.000007,22.042857,1,1,1000,0,ilp_v4,optimal,1,30.746305,48.187375,0.638057,0.067872,0.0,,0.067872,0.074178,3,0,0
n_tsk\set00\n_tsk_4.py,n_tsk,0,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,11,45.999999,69.000007,22.042857,1,1,1000,0,greedy_sps_baseline,solved,1,3.305498,48.107162,0.068711,0.000945,,,0.000945,0.001945,3,0,0
n_tsk\set00\n_tsk_6.py,n_tsk,0,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,17,46.000002,68.999997,22.042858,1,1,1000,0,ilp_v2,optimal,1,51.45993,48.188679,1.067884,0.020914,0.0,,0.020914,0.023085,3,0,0
n_tsk\set00\n_tsk_6.py,n_tsk,0,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,17,46.000002,68.999997,22.042858,1,1,1000,0,ilp_v3,optimal,1,61.812957,48.230884,1.281605,0.075173,0.0,,0.075173,0.088182,3,0,0
n_tsk\set00\n_tsk_6.py,n_tsk,0,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,17,46.000002,68.999997,22.042858,1,1,1000,0,ilp_v4,optimal,1,68.970128,48.274738,1.4287,0.104634,0.0,,0.104634,0.120991,3,0,0
n_tsk\set00\n_tsk_6.py,n_tsk,0,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,17,46.000002,68.999997,22.042858,1,1,1000,0,greedy_sps_baseline,solved,1,8.464835,48.286882,0.175303,0.001039,,,0.001039,0.001159,3,0,0
n_tsk\set00\n_tsk_8.py,n_tsk,0,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,20,45.999999,69.000003,22.042857,1,1,1000,0,ilp_v2,optimal,1,71.126256,48.294227,1.472769,0.038204,0.0,,0.038204,0.039657,3,0,0
n_tsk\set00\n_tsk_8.py,n_tsk,0,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,20,45.999999,69.000003,22.042857,1,1,1000,0,ilp_v3,optimal,1,69.150238,48.290899,1.431952,0.019236,0.0,,0.019236,0.021317,3,0,0
n_tsk\set00\n_tsk_8.py,n_tsk,0,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,20,45.999999,69.000003,22.042857,1,1,1000,0,ilp_v4,optimal,1,71.242923,48.163079,1.479202,0.154366,0.0,,0.154366,0.161865,3,0,0
n_tsk\set00\n_tsk_8.py,n_tsk,0,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,20,45.999999,69.000003,22.042857,1,1,1000,0,greedy_sps_baseline,solved,1,8.843885,48.286905,0.183153,0.001465,,,0.001465,0.002085,3,0,0
n_tsk\set00\n_tsk_10.py,n_tsk,0,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,28,46.0,68.999997,22.042857,1,1,1000,0,ilp_v2,optimal,1,76.619149,48.299471,1.586335,0.189551,0.0,,0.189551,0.202118,3,0,0
n_tsk\set00\n_tsk_10.py,n_tsk,0,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,28,46.0,68.999997,22.042857,1,1,1000,0,ilp_v3,optimal,1,80.067166,48.25333,1.659309,0.012477,0.0,,0.012477,0.01314,3,0,0
n_tsk\set00\n_tsk_10.py,n_tsk,0,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,28,46.0,68.999997,22.042857,1,1,1000,0,ilp_v4,optimal,1,80.067166,47.688804,1.678951,0.25195,0.0,,0.25195,0.281936,3,0,0
n_tsk\set00\n_tsk_10.py,n_tsk,0,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,28,46.0,68.999997,22.042857,1,1,1000,0,greedy_sps_baseline,solved,1,8.945504,48.279991,0.185284,0.006514,,,0.006514,0.006826,3,0,0
n_tsk\set00\n_tsk_12.py,n_tsk,0,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,33,45.999994,68.999997,22.042854,1,1,1000,0,ilp_v2,optimal,1,79.393402,48.291131,1.644058,0.015052,0.0,,0.015052,0.015306,3,0,0
n_tsk\set00\n_tsk_12.py,n_tsk,0,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,33,45.999994,68.999997,22.042854,1,1,1000,0,ilp_v3,optimal,1,79.393402,48.284043,1.644299,0.017622,0.0,,0.017622,0.017718,3,0,0
n_tsk\set00\n_tsk_12.py,n_tsk,0,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,33,45.999994,68.999997,22.042854,1,1,1000,0,ilp_v4,optimal,1,79.393402,48.175478,1.648004,0.177574,0.0,,0.177574,0.182447,3,0,0
n_tsk\set00\n_tsk_12.py,n_tsk,0,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,33,45.999994,68.999997,22.042854,1,1,1000,0,greedy_sps_baseline,solved,1,9.153072,48.281461,0.189577,0.019625,,,0.019625,0.023471,3,0,0
n_tsk\set00\n_tsk_16.py,n_tsk,0,n_tsk,16,2,16,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300007,40,42,46.000008,69.00001,22.042861,1,1,1000,0,ilp_v2,optimal,1,57.597873,48.206986,1.194803,0.021283,0.0,,0.021283,0.02256,3,0,0
n_tsk\set00\n_tsk_16.py,n_tsk,0,n_tsk,16,2,16,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300007,40,42,46.000008,69.00001,22.042861,1,1,1000,0,ilp_v3,optimal,1,61.466366,48.25943,1.273665,0.017055,0.0,,0.017055,0.017417,3,0,0
n_tsk\set00\n_tsk_16.py,n_tsk,0,n_tsk,16,2,16,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300007,40,42,46.000008,69.00001,22.042861,1,1,1000,0,ilp_v4,optimal,1,61.466366,48.279393,1.273139,0.302981,0.0,,0.302981,0.304215,3,0,0
n_tsk\set00\n_tsk_16.py,n_tsk,0,n_tsk,16,2,16,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300007,40,42,46.000008,69.00001,22.042861,1,1,1000,0,greedy_sps_baseline,solved,1,9.66666,48.289794,0.20018,0.014369,,,0.014369,0.014904,3,0,0
n_tsk\set00\n_tsk_20.py,n_tsk,0,n_tsk,20,2,20,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,50,46.000009,69.000007,22.042862,1,1,1000,0,ilp_v2,optimal,1,68.007286,47.979757,1.417416,0.018257,0.0,,0.018257,0.02018,3,0,0
n_tsk\set00\n_tsk_20.py,n_tsk,0,n_tsk,20,2,20,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,50,46.000009,69.000007,22.042862,1,1,1000,0,ilp_v3,optimal,1,67.862901,48.292732,1.40524,0.12899,2e-05,,0.12899,0.137609,3,0,0
n_tsk\set00\n_tsk_20.py,n_tsk,0,n_tsk,20,2,20,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,50,46.000009,69.000007,22.042862,1,1,1000,0,ilp_v4,optimal,1,68.007286,48.236382,1.409875,0.451413,0.0,,0.451413,0.467527,3,0,0
n_tsk\set00\n_tsk_20.py,n_tsk,0,n_tsk,20,2,20,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,50,46.000009,69.000007,22.042862,1,1,1000,0,greedy_sps_baseline,solved,1,9.56809,48.253024,0.19829,0.028681,,,0.028681,0.030045,3,0,0
n_tsk\set00\n_tsk_26.py,n_tsk,0,n_tsk,26,2,26,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299995,40,64,46.000012,68.999993,22.042863,1,1,1000,0,ilp_v2,optimal,1,66.634496,48.278254,1.380218,0.038296,0.0,,0.038296,0.041941,3,0,0
n_tsk\set00\n_tsk_26.py,n_tsk,0,n_tsk,26,2,26,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299995,40,64,46.000012,68.999993,22.042863,1,1,1000,0,ilp_v3,optimal,1,66.4675,48.293669,1.376319,0.037499,0.0,,0.037499,0.039776,3,0,0
n_tsk\set00\n_tsk_26.py,n_tsk,0,n_tsk,26,2,26,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299995,40,64,46.000012,68.999993,22.042863,1,1,1000,0,ilp_v4,optimal,1,66.634496,48.29052,1.379867,0.674139,0.0,,0.674139,0.740369,3,0,0
n_tsk\set00\n_tsk_26.py,n_tsk,0,n_tsk,26,2,26,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299995,40,64,46.000012,68.999993,22.042863,1,1,1000,0,greedy_sps_baseline,solved,1,9.77403,48.299949,0.202361,0.044098,,,0.044098,0.045021,3,0,0
n_tsk\set01\n_tsk_4.py,n_tsk,1,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,11,46.000002,68.999999,21.433334,1,1,1001,0,ilp_v2,optimal,1,55.71619,48.225756,1.15532,0.028681,0.0,,0.028681,0.031636,3,0,0
n_tsk\set01\n_tsk_4.py,n_tsk,1,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,11,46.000002,68.999999,21.433334,1,1,1001,0,ilp_v3,optimal,1,54.794232,48.272247,1.135108,0.069208,0.0,,0.069208,0.071467,3,0,0
n_tsk\set01\n_tsk_4.py,n_tsk,1,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,11,46.000002,68.999999,21.433334,1,1,1001,0,ilp_v4,optimal,1,55.71619,48.225756,1.15532,0.044895,0.0,,0.044895,0.050562,3,0,0
n_tsk\set01\n_tsk_4.py,n_tsk,1,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,11,46.000002,68.999999,21.433334,1,1,1001,0,greedy_sps_baseline,solved,1,7.782797,47.902118,0.162473,0.000688,,,0.000688,0.000792,3,0,0
n_tsk\set01\n_tsk_6.py,n_tsk,1,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,14,46.000001,69.000003,21.433334,1,1,1001,0,ilp_v2,optimal,1,69.306832,48.238691,1.436748,0.012397,0.0,,0.012397,0.013557,3,0,0
n_tsk\set01\n_tsk_6.py,n_tsk,1,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,14,46.000001,69.000003,21.433334,1,1,1001,0,ilp_v3,optimal,1,69.066418,48.295546,1.430078,0.069001,0.0,,0.069001,0.073425,3,0,0
n_tsk\set01\n_tsk_6.py,n_tsk,1,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,14,46.000001,69.000003,21.433334,1,1,1001,0,ilp_v4,optimal,1,68.629975,48.292803,1.421122,0.169458,0.0,,0.169458,0.187909,3,0,0
n_tsk\set01\n_tsk_6.py,n_tsk,1,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,14,46.000001,69.000003,21.433334,1,1,1001,0,greedy_sps_baseline,solved,1,9.05842,48.286801,0.187596,0.002231,,,0.002231,0.002354,3,0,0
n_tsk\set01\n_tsk_8.py,n_tsk,1,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299996,40,17,45.999995,68.999994,21.433331,1,1,1001,0,ilp_v2,optimal,1,48.012029,48.28877,0.994269,0.038104,0.0,,0.038104,0.041283,3,0,0
