file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error,runtime_best,runtime_worst,repeats,censored,nondeterministic
n_frq\set00\n_frq_2.py,n_frq,0,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,11,46.000001,69.0,24.400001,1,1,1000,0,ilp_v2,optimal,1,43.596575,48.217125,0.904172,0.009837,0.0,,0.009837,0.058952,3,0,0
n_frq\set00\n_frq_2.py,n_frq,0,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,11,46.000001,69.0,24.400001,1,1,1000,0,ilp_v3,optimal,1,53.477047,47.999952,1.114106,0.049508,0.0,,0.049508,0.058847,3,0,0
n_frq\set00\n_frq_2.py,n_frq,0,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,11,46.000001,69.0,24.400001,1,1,1000,0,ilp_v4,optimal,1,53.477047,47.999952,1.114106,0.091457,0.0,,0.091457,0.103172,3,0,0
n_frq\set00\n_frq_2.py,n_frq,0,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,11,46.000001,69.0,24.400001,1,1,1000,0,greedy_sps_baseline,solved,1,7.19379,48.128772,0.14947,0.000962,,,0.000962,0.001872,3,0,0
n_frq\set00\n_frq_3.py,n_frq,0,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,11,46.000001,69.0,24.400001,1,1,1000,0,ilp_v2,optimal,1,47.201465,48.075085,0.981828,0.063996,0.0,,0.063996,0.085918,3,0,0
n_frq\set00\n_frq_3.py,n_frq,0,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,11,46.000001,69.0,24.400001,1,1,1000,0,ilp_v3,optimal,1,61.761488,47.564979,1.298466,0.022135,0.0,,0.022135,0.022795,3,0,0
n_frq\set00\n_frq_3.py,n_frq,0,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,11,46.000001,69.0,24.400001,1,1,1000,0,ilp_v4,optimal,1,61.761488,47.564979,1.298466,0.109266,0.0,,0.109266,0.117474,3,0,0
n_frq\set00\n_frq_3.py,n_frq,0,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,11,46.000001,69.0,24.400001,1,1,1000,0,greedy_sps_baseline,solved,1,7.19379,48.128772,0.14947,0.001134,,,0.001134,0.001288,3,0,0
n_frq\set00\n_frq_5.py,n_frq,0,n_frq,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v2,optimal,1,64.70866,48.292486,1.339932,0.027247,0.0,,0.027247,0.029572,3,0,0
n_frq\set00\n_frq_5.py,n_frq,0,n_frq,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v3,optimal,1,61.915628,47.940817,1.291501,0.052358,0.0,,0.052358,0.055808,3,0,0
