file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws
n_prc\set00\n_prc_2.py,n_prc,0,n_prc,2,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0
n_prc\set00\n_prc_4.py,n_prc,0,n_prc,4,4,6,5,0.5,0.5,0.7,0.6,2.0,1.0,96.599999,40,17,91.999998,137.999999,44.085713,1,1,1000,0
n_prc\set01\n_prc_2.py,n_prc,1,n_prc,2,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300007,40,13,46.000002,69.00001,21.433334,1,1,1001,0
n_prc\set01\n_prc_4.py,n_prc,1,n_prc,4,4,6,5,0.5,0.5,0.7,0.6,2.0,1.0,96.600004,40,14,91.999998,138.000006,42.866666,1,1,1001,0
n_prc\set02\n_prc_2.py,n_prc,2,n_prc,2,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,11,46.000001,69.000001,21.400001,1,1,1002,0
n_prc\set02\n_prc_4.py,n_prc,2,n_prc,4,4,6,5,0.5,0.5,0.7,0.6,2.0,1.0,96.600002,40,15,92.000001,138.000003,42.800001,1,1,1002,0
n_prc\set03\n_prc_2.py,n_prc,3,n_prc,2,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,10,46.0,68.999999,21.433333,1,1,1003,0
n_prc\set03\n_prc_4.py,n_prc,3,n_prc,4,4,6,5,0.5,0.5,0.7,0.6,2.0,1.0,96.600002,40,12,92.000001,138.000003,42.866667,1,1,1003,0
n_prc\set04\n_prc_2.py,n_prc,4,n_prc,2,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,13,46.000002,69.0,22.042858,1,1,1004,0
n_prc\set04\n_prc_4.py,n_prc,4,n_prc,4,4,6,5,0.5,0.5,0.7,0.6,2.0,1.0,96.6,40,14,91.999999,138.0,44.085714,1,1,1004,0
