file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error,runtime_best,runtime_worst,repeats,censored,nondeterministic
n_prc\set00\n_prc_2.py,n_prc,0,n_prc,2,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v2,optimal,1,64.70866,48.292486,1.339932,0.030051,0.0,,0.030051,0.031994,3,0,0
n_prc\set00\n_prc_2.py,n_prc,0,n_prc,2,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v3,optimal,1,61.915628,47.940817,1.291501,0.064848,0.0,,0.064848,0.070456,3,0,0
n_prc\set00\n_prc_2.py,n_prc,0,n_prc,2,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v4,optimal,1,67.365432,47.602778,1.415158,0.075882,0.0,,0.075882,0.103252,3,0,0
n_prc\set00\n_prc_2.py,n_prc,0,n_prc,2,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,greedy_sps_baseline,solved,1,8.364274,48.284027,0.173231,0.001054,,,0.001054,0.001187,3,0,0
n_prc\set00\n_prc_4.py,n_prc,0,n_prc,4,4,6,5,0.5,0.5,0.7,0.6,2.0,1.0,96.599999,40,17,91.999998,137.999999,44.085713,1,1,1000,0,ilp_v2,optimal,1,126.733117,96.510218,1.313158,0.013373,0.0,,0.013373,0.015892,3,0,0
n_prc\set00\n_prc_4.py,n_prc,0,n_prc,4,4,6,5,0.5,0.5,0.7,0.6,2.0,1.0,96.599999,40,17,91.999998,137.999999,44.085713,1,1,1000,0,ilp_v3,optimal,1,106.714819,96.583112,1.104901,0.0325,0.0,,0.0325,0.039344,3,0,0
n_prc\set00\n_prc_4.py,n_prc,0,n_prc,4,4,6,5,0.5,0.5,0.7,0.6,2.0,1.0,96.599999,40,17,91.999998,137.999999,44.085713,1,1,1000,0,ilp_v4,optimal,1,133.394186,96.120475,1.387781,0.256092,4e-06,,0.256092,0.275401,3,0,0
n_prc\set00\n_prc_4.py,n_prc,0,n_prc,4,4,6,5,0.5,0.5,0.7,0.6,2.0,1.0,96.599999,40,17,91.999998,137.999999,44.085713,1,1,1000,0,greedy_sps_baseline,solved,1,16.929671,96.573757,0.175303,0.002853,,,0.002853,0.003066,3,0,0
n_prc\set01\n_prc_2.py,n_prc,1,n_prc,2,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300007,40,13,46.000002,69.00001,21.433334,1,1,1001,0,ilp_v2,optimal,1,44.434702,48.263013,0.920678,0.034965,0.0,,0.034965,0.037332,3,0,0
n_prc\set01\n_prc_2.py,n_prc,1,n_prc,2,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300007,40,13,46.000002,69.00001,21.433334,1,1,1001,0,ilp_v3,optimal,1,38.281158,48.280096,0.792897,0.179042,0.0,,0.179042,0.188403,3,0,0
