file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error,runtime_best,runtime_worst,repeats,censored,nondeterministic
u_mand_factor\set00\u_mand_factor_0.1.py,u_mand_factor,0,u_mand_factor,0.1,2,5,5,0.1,0.5,0.7,0.6,0.2,0.9,35.420002,40,13,9.200002,50.600002,4.408573,1,0,1000,0,ilp_v2,optimal,1,123.877307,32.349018,3.829399,0.007713,0.0,,0.007713,0.008321,3,0,0
u_mand_factor\set00\u_mand_factor_0.1.py,u_mand_factor,0,u_mand_factor,0.1,2,5,5,0.1,0.5,0.7,0.6,0.2,0.9,35.420002,40,13,9.200002,50.600002,4.408573,1,0,1000,0,ilp_v3,optimal,1,123.877307,35.076233,3.531659,0.007961,0.0,,0.007961,0.00904,3,0,0
u_mand_factor\set00\u_mand_factor_0.1.py,u_mand_factor,0,u_mand_factor,0.1,2,5,5,0.1,0.5,0.7,0.6,0.2,0.9,35.420002,40,13,9.200002,50.600002,4.408573,1,0,1000,0,ilp_v4,optimal,1,123.877307,35.279505,3.511311,0.034866,0.0,,0.034866,0.039182,3,0,0
u_mand_factor\set00\u_mand_factor_0.1.py,u_mand_factor,0,u_mand_factor,0.1,2,5,5,0.1,0.5,0.7,0.6,0.2,0.9,35.420002,40,13,9.200002,50.600002,4.408573,1,0,1000,0,greedy_sps_baseline,solved,1,83.865632,35.38495,2.370093,0.003024,,,0.003024,0.003247,3,0,0
u_mand_factor\set00\u_mand_factor_0.2.py,u_mand_factor,0,u_mand_factor,0.2,2,5,5,0.2,0.5,0.7,0.6,0.4,0.8,38.639999,40,13,18.400001,55.199999,8.817143,1,0,1000,0,ilp_v2,optimal,1,114.775308,38.457037,2.984507,0.008029,0.0,,0.008029,0.012065,3,0,0
u_mand_factor\set00\u_mand_factor_0.2.py,u_mand_factor,0,u_mand_factor,0.2,2,5,5,0.2,0.5,0.7,0.6,0.4,0.8,38.639999,40,13,18.400001,55.199999,8.817143,1,0,1000,0,ilp_v3,optimal,1,114.775308,36.135745,3.176226,0.014275,0.0,,0.014275,0.018459,3,0,0
u_mand_factor\set00\u_mand_factor_0.2.py,u_mand_factor,0,u_mand_factor,0.2,2,5,5,0.2,0.5,0.7,0.6,0.4,0.8,38.639999,40,13,18.400001,55.199999,8.817143,1,0,1000,0,ilp_v4,optimal,1,114.775308,38.457037,2.984507,0.034663,0.0,,0.034663,0.048125,3,0,0
u_mand_factor\set00\u_mand_factor_0.2.py,u_mand_factor,0,u_mand_factor,0.2,2,5,5,0.2,0.5,0.7,0.6,0.4,0.8,38.639999,40,13,18.400001,55.199999,8.817143,1,0,1000,0,greedy_sps_baseline,solved,1,71.287545,38.557226,1.848876,0.002628,,,0.002628,0.002797,3,0,0
u_mand_factor\set00\u_mand_factor_0.3.py,u_mand_factor,0,u_mand_factor,0.3,2,5,5,0.3,0.5,0.7,0.6,0.6,0.7,41.859996,40,13,27.600001,59.799994,13.225715,1,1,1000,0,ilp_v2,optimal,1,98.676193,39.969708,2.468774,0.008737,0.0,,0.008737,0.01187,3,0,0
u_mand_factor\set00\u_mand_factor_0.3.py,u_mand_factor,0,u_mand_factor,0.3,2,5,5,0.3,0.5,0.7,0.6,0.6,0.7,41.859996,40,13,27.600001,59.799994,13.225715,1,1,1000,0,ilp_v3,optimal,1,98.676193,41.357538,2.38593,0.008175,0.0,,0.008175,0.008441,3,0,0
u_mand_factor\set00\u_mand_factor_0.3.py,u_mand_factor,0,u_mand_factor,0.3,2,5,5,0.3,0.5,0.7,0.6,0.6,0.7,41.859996,40,13,27.600001,59.799994,13.225715,1,1,1000,0,ilp_v4,optimal,1,98.676193,39.246588,2.514262,0.037835,0.0,,0.037835,0.042113,3,0,0
u_mand_factor\set00\u_mand_factor_0.3.py,u_mand_factor,0,u_mand_factor,0.3,2,5,5,0.3,0.5,0.7,0.6,0.6,0.7,41.859996,40,13,27.600001,59.799994,13.225715,1,1,1000,0,greedy_sps_baseline,solved,1,49.127309,41.469251,1.184668,0.002771,,,0.002771,0.002918,3,0,0
u_mand_factor\set00\u_mand_factor_0.4.py,u_mand_factor,0,u_mand_factor,0.4,2,5,5,0.4,0.5,0.7,0.6,0.8,0.6,45.079998,40,13,36.800002,64.399997,17.634287,1,1,1000,0,ilp_v2,optimal,1,82.72616,44.766837,1.847934,0.007875,0.0,,0.007875,0.012463,3,0,0
u_mand_factor\set00\u_mand_factor_0.4.py,u_mand_factor,0,u_mand_factor,0.4,2,5,5,0.4,0.5,0.7,0.6,0.8,0.6,45.079998,40,13,36.800002,64.399997,17.634287,1,1,1000,0,ilp_v3,optimal,1,82.72616,44.972196,1.839496,0.007729,0.0,,0.007729,0.008153,3,0,0
u_mand_factor\set00\u_mand_factor_0.4.py,u_mand_factor,0,u_mand_factor,0.4,2,5,5,0.4,0.5,0.7,0.6,0.8,0.6,45.079998,40,13,36.800002,64.399997,17.634287,1,1,1000,0,ilp_v4,optimal,1,82.72616,44.898462,1.842517,0.07161,0.0,,0.07161,0.092116,3,0,0
