file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws
n_frq\set00\n_frq_2.py,n_frq,0,n_frq,2,2,8,2,0.5,0.5,0.7,0.6,1.0,0.5,96.600008,80,27,92.000005,138.000011,48.800002,1,1,1000,0
n_frq\set00\n_frq_3.py,n_frq,0,n_frq,3,2,8,3,0.5,0.5,0.7,0.6,1.0,0.5,96.600008,80,27,92.000005,138.000011,48.800002,1,1,1000,0
n_frq\set00\n_frq_5.py,n_frq,0,n_frq,5,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600007,80,29,91.999999,138.00001,44.085714,1,1,1000,0
n_frq\set00\n_frq_8.py,n_frq,0,n_frq,8,2,8,8,0.5,0.5,0.7,0.6,1.0,0.5,96.600006,80,28,92.000003,138.000009,44.085716,1,1,1000,0
n_frq\set00\n_frq_12.py,n_frq,0,n_frq,12,2,8,12,0.5,0.5,0.7,0.6,1.0,0.5,96.599998,80,26,92.0,137.999998,42.866667,1,1,1000,0
n_frq\set01\n_frq_2.py,n_frq,1,n_frq,2,2,8,2,0.5,0.5,0.7,0.6,1.0,0.5,96.600002,80,29,92.000001,138.000003,47.200001,1,1,1001,0
n_frq\set01\n_frq_3.py,n_frq,1,n_frq,3,2,8,3,0.5,0.5,0.7,0.6,1.0,0.5,96.600002,80,29,92.000001,138.000003,47.200001,1,1,1001,0
n_frq\set01\n_frq_5.py,n_frq,1,n_frq,5,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600004,80,23,92.000007,138.000006,42.86667,1,1,1001,0
n_frq\set01\n_frq_8.py,n_frq,1,n_frq,8,2,8,8,0.5,0.5,0.7,0.6,1.0,0.5,96.599999,80,30,91.999998,137.999999,42.799999,1,1,1001,0
n_frq\set01\n_frq_12.py,n_frq,1,n_frq,12,2,8,12,0.5,0.5,0.7,0.6,1.0,0.5,96.599996,80,36,92.0,137.999994,42.8,1,1,1001,0
n_frq\set02\n_frq_2.py,n_frq,2,n_frq,2,2,8,2,0.5,0.5,0.7,0.6,1.0,0.5,96.599999,80,29,92.000002,137.999999,56.342859,1,1,1002,0
n_frq\set02\n_frq_3.py,n_frq,2,n_frq,3,2,8,3,0.5,0.5,0.7,0.6,1.0,0.5,96.600002,80,26,91.999995,138.000002,48.799998,1,1,1002,0
n_frq\set02\n_frq_5.py,n_frq,2,n_frq,5,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599995,80,30,91.999999,137.999993,42.799999,1,1,1002,0
n_frq\set02\n_frq_8.py,n_frq,2,n_frq,8,2,8,8,0.5,0.5,0.7,0.6,1.0,0.5,96.599998,80,36,92.000003,137.999997,42.800002,1,1,1002,0
n_frq\set02\n_frq_12.py,n_frq,2,n_frq,12,2,8,12,0.5,0.5,0.7,0.6,1.0,0.5,96.600005,80,39,92.000002,138.000007,42.800001,1,1,1002,0
n_frq\set03\n_frq_2.py,n_frq,3,n_frq,2,2,8,2,0.5,0.5,0.7,0.6,1.0,0.5,96.599998,80,22,91.999999,137.999998,52.261538,1,1,1003,0
n_frq\set03\n_frq_3.py,n_frq,3,n_frq,3,2,8,3,0.5,0.5,0.7,0.6,1.0,0.5,96.599999,80,19,92.000003,137.999999,46.018184,1,1,1003,0
n_frq\set03\n_frq_5.py,n_frq,3,n_frq,5,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.6,80,27,92.000005,138.0,42.866669,1,1,1003,0
n_frq\set03\n_frq_8.py,n_frq,3,n_frq,8,2,8,8,0.5,0.5,0.7,0.6,1.0,0.5,96.600012,80,34,92.000007,138.000017,42.86667,1,1,1003,0
n_frq\set03\n_frq_12.py,n_frq,3,n_frq,12,2,8,12,0.5,0.5,0.7,0.6,1.0,0.5,96.600014,80,28,92.000009,138.00002,42.800004,1,1,1003,0
n_frq\set04\n_frq_2.py,n_frq,4,n_frq,2,2,8,2,0.5,0.5,0.7,0.6,1.0,0.5,96.6,80,33,92.000002,138.0,44.085715,1,1,1004,0
n_frq\set04\n_frq_3.py,n_frq,4,n_frq,3,2,8,3,0.5,0.5,0.7,0.6,1.0,0.5,96.6,80,33,92.000002,138.0,44.085715,1,1,1004,0
n_frq\set04\n_frq_5.py,n_frq,4,n_frq,5,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.6,80,33,92.000002,138.0,44.085715,1,1,1004,0
n_frq\set04\n_frq_8.py,n_frq,4,n_frq,8,2,8,8,0.5,0.5,0.7,0.6,1.0,0.5,96.599998,80,37,91.999998,137.999998,42.866666,1,1,1004,0
n_frq\set04\n_frq_12.py,n_frq,4,n_frq,12,2,8,12,0.5,0.5,0.7,0.6,1.0,0.5,96.600007,80,39,92.000007,138.00001,42.800003,1,1,1004,0
n_frq\set05\n_frq_2.py,n_frq,5,n_frq,2,2,8,2,0.5,0.5,0.7,0.6,1.0,0.5,96.600007,80,24,91.999998,138.00001,52.261537,1,1,1005,0
n_frq\set05\n_frq_3.py,n_frq,5,n_frq,3,2,8,3,0.5,0.5,0.7,0.6,1.0,0.5,96.600001,80,24,92.000001,138.000001,48.800001,1,1,1005,0
n_frq\set05\n_frq_5.py,n_frq,5,n_frq,5,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600003,80,30,92.000001,138.000005,48.800001,1,1,1005,0
n_frq\set05\n_frq_8.py,n_frq,5,n_frq,8,2,8,8,0.5,0.5,0.7,0.6,1.0,0.5,96.600009,80,28,92.000001,138.000013,44.000001,1,1,1005,0
n_frq\set05\n_frq_12.py,n_frq,5,n_frq,12,2,8,12,0.5,0.5,0.7,0.6,1.0,0.5,96.599994,80,31,91.999993,137.999992,42.866663,1,1,1005,0
n_frq\set06\n_frq_2.py,n_frq,6,n_frq,2,2,8,2,0.5,0.5,0.7,0.6,1.0,0.5,96.599997,80,30,92.0,137.999995,47.2,1,1,1006,0
n_frq\set06\n_frq_3.py,n_frq,6,n_frq,3,2,8,3,0.5,0.5,0.7,0.6,1.0,0.5,96.599992,80,37,92.000002,137.999989,42.866668,1,1,1006,0
n_frq\set06\n_frq_5.py,n_frq,6,n_frq,5,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599995,80,31,91.999998,137.999993,42.866666,1,1,1006,0
n_frq\set06\n_frq_8.py,n_frq,6,n_frq,8,2,8,8,0.5,0.5,0.7,0.6,1.0,0.5,96.599994,80,30,91.999998,137.999992,42.866666,1,1,1006,0
n_frq\set06\n_frq_12.py,n_frq,6,n_frq,12,2,8,12,0.5,0.5,0.7,0.6,1.0,0.5,96.59999,80,34,92.000002,137.999986,42.800001,1,1,1006,0
n_frq\set07\n_frq_2.py,n_frq,7,n_frq,2,2,8,2,0.5,0.5,0.7,0.6,1.0,0.5,96.599992,80,33,92.0,137.999989,47.2,1,1,1007,0
n_frq\set07\n_frq_3.py,n_frq,7,n_frq,3,2,8,3,0.5,0.5,0.7,0.6,1.0,0.5,96.599992,80,33,92.0,137.999989,47.2,1,1,1007,0
n_frq\set07\n_frq_5.py,n_frq,7,n_frq,5,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.6,80,35,91.999999,138.0,42.799999,1,1,1007,0
n_frq\set07\n_frq_8.py,n_frq,7,n_frq,8,2,8,8,0.5,0.5,0.7,0.6,1.0,0.5,96.600001,80,30,92.000006,138.000001,42.800003,1,1,1007,0
n_frq\set07\n_frq_12.py,n_frq,7,n_frq,12,2,8,12,0.5,0.5,0.7,0.6,1.0,0.5,96.599993,80,34,91.999994,137.99999,42.799997,1,1,1007,0
n_frq\set08\n_frq_2.py,n_frq,8,n_frq,2,2,8,2,0.5,0.5,0.7,0.6,1.0,0.5,96.600007,80,43,91.999998,138.00001,52.261537,1,1,1008,0
n_frq\set08\n_frq_3.py,n_frq,8,n_frq,3,2,8,3,0.5,0.5,0.7,0.6,1.0,0.5,96.599994,80,43,92.000005,137.999992,46.018184,1,1,1008,0
