file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws
n_prc\set00\n_prc_2.py,n_prc,0,n_prc,2,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600007,80,29,91.999999,138.00001,44.085714,1,1,1000,0
n_prc\set00\n_prc_4.py,n_prc,0,n_prc,4,4,8,5,0.5,0.5,0.7,0.6,2.0,1.0,193.200002,80,29,184.000003,276.000003,88.17143,1,1,1000,0
n_prc\set00\n_prc_8.py,n_prc,0,n_prc,8,8,12,5,0.5,0.5,0.7,0.6,4.0,2.0,386.4,80,43,368.000007,552.0,176.34286,1,1,1000,0
n_prc\set00\n_prc_16.py,n_prc,0,n_prc,16,16,23,5,0.5,0.5,0.7,0.6,8.0,4.0,772.800007,80,74,735.999997,1104.00001,352.685713,1,1,1000,0
n_prc\set01\n_prc_2.py,n_prc,1,n_prc,2,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600004,80,23,92.000007,138.000006,42.86667,1,1,1001,0
n_prc\set01\n_prc_4.py,n_prc,1,n_prc,4,4,8,5,0.5,0.5,0.7,0.6,2.0,1.0,193.199999,80,23,184.000001,275.999999,85.733334,1,1,1001,0
n_prc\set01\n_prc_8.py,n_prc,1,n_prc,8,8,12,5,0.5,0.5,0.7,0.6,4.0,2.0,386.400005,80,44,368.0,552.000007,171.466667,1,1,1001,0
n_prc\set01\n_prc_16.py,n_prc,1,n_prc,16,16,23,5,0.5,0.5,0.7,0.6,8.0,4.0,772.800006,80,93,735.999999,1104.000008,342.933333,1,1,1001,0
n_prc\set02\n_prc_2.py,n_prc,2,n_prc,2,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599995,80,30,91.999999,137.999993,42.799999,1,1,1002,0
n_prc\set02\n_prc_4.py,n_prc,2,n_prc,4,4,8,5,0.5,0.5,0.7,0.6,2.0,1.0,193.200001,80,30,184.000006,276.000001,85.600003,1,1,1002,0
n_prc\set02\n_prc_8.py,n_prc,2,n_prc,8,8,12,5,0.5,0.5,0.7,0.6,4.0,2.0,386.40001,80,47,368.000005,552.000015,171.200002,1,1,1002,0
n_prc\set02\n_prc_16.py,n_prc,2,n_prc,16,16,23,5,0.5,0.5,0.7,0.6,8.0,4.0,772.799999,80,88,736.000006,1103.999999,342.400003,1,1,1002,0
n_prc\set03\n_prc_2.py,n_prc,3,n_prc,2,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.6,80,27,92.000005,138.0,42.866669,1,1,1003,0
n_prc\set03\n_prc_4.py,n_prc,3,n_prc,4,4,8,5,0.5,0.5,0.7,0.6,2.0,1.0,193.199997,80,27,184.000002,275.999995,85.733334,1,1,1003,0
n_prc\set03\n_prc_8.py,n_prc,3,n_prc,8,8,12,5,0.5,0.5,0.7,0.6,4.0,2.0,386.400005,80,45,367.999995,552.000007,171.466665,1,1,1003,0
n_prc\set03\n_prc_16.py,n_prc,3,n_prc,16,16,23,5,0.5,0.5,0.7,0.6,8.0,4.0,772.80001,80,90,736.000003,1104.000015,342.933335,1,1,1003,0
n_prc\set04\n_prc_2.py,n_prc,4,n_prc,2,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.6,80,33,92.000002,138.0,44.085715,1,1,1004,0
n_prc\set04\n_prc_4.py,n_prc,4,n_prc,4,4,8,5,0.5,0.5,0.7,0.6,2.0,1.0,193.20001,80,33,184.0,276.000014,88.171429,1,1,1004,0
n_prc\set04\n_prc_8.py,n_prc,4,n_prc,8,8,12,5,0.5,0.5,0.7,0.6,4.0,2.0,386.399998,80,55,367.999994,551.999997,176.342854,1,1,1004,0
n_prc\set04\n_prc_16.py,n_prc,4,n_prc,16,16,23,5,0.5,0.5,0.7,0.6,8.0,4.0,772.799979,80,105,735.999988,1103.99997,352.685709,1,1,1004,0
n_prc\set05\n_prc_2.py,n_prc,5,n_prc,2,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600003,80,30,92.000001,138.000005,48.800001,1,1,1005,0
n_prc\set05\n_prc_4.py,n_prc,5,n_prc,4,4,8,5,0.5,0.5,0.7,0.6,2.0,1.0,193.200004,80,30,184.000001,276.000006,97.600001,1,1,1005,0
n_prc\set05\n_prc_8.py,n_prc,5,n_prc,8,8,12,5,0.5,0.5,0.7,0.6,4.0,2.0,386.400014,80,46,368.000003,552.00002,195.200002,1,1,1005,0
n_prc\set05\n_prc_16.py,n_prc,5,n_prc,16,16,23,5,0.5,0.5,0.7,0.6,8.0,4.0,772.799981,80,99,736.0,1103.999974,390.4,1,1,1005,0
n_prc\set06\n_prc_2.py,n_prc,6,n_prc,2,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599995,80,31,91.999998,137.999993,42.866666,1,1,1006,0
n_prc\set06\n_prc_4.py,n_prc,6,n_prc,4,4,8,5,0.5,0.5,0.7,0.6,2.0,1.0,193.199997,80,31,183.999998,275.999995,85.733332,1,1,1006,0
n_prc\set06\n_prc_8.py,n_prc,6,n_prc,8,8,12,5,0.5,0.5,0.7,0.6,4.0,2.0,386.40001,80,52,367.999998,552.000015,171.466666,1,1,1006,0
n_prc\set06\n_prc_16.py,n_prc,6,n_prc,16,16,23,5,0.5,0.5,0.7,0.6,8.0,4.0,772.800019,80,110,736.000009,1104.000028,342.933338,1,1,1006,0
n_prc\set07\n_prc_2.py,n_prc,7,n_prc,2,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.6,80,35,91.999999,138.0,42.799999,1,1,1007,0
n_prc\set07\n_prc_4.py,n_prc,7,n_prc,4,4,8,5,0.5,0.5,0.7,0.6,2.0,1.0,193.19999,80,35,183.999995,275.999986,85.599998,1,1,1007,0
n_prc\set07\n_prc_8.py,n_prc,7,n_prc,8,8,12,5,0.5,0.5,0.7,0.6,4.0,2.0,386.4,80,54,368.000003,552.0,171.200002,1,1,1007,0
n_prc\set07\n_prc_16.py,n_prc,7,n_prc,16,16,23,5,0.5,0.5,0.7,0.6,8.0,4.0,772.799981,80,102,735.999993,1103.999972,342.399997,1,1,1007,0
n_prc\set08\n_prc_2.py,n_prc,8,n_prc,2,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600002,80,37,91.999995,138.000003,44.085712,1,1,1008,0
n_prc\set08\n_prc_4.py,n_prc,8,n_prc,4,4,8,5,0.5,0.5,0.7,0.6,2.0,1.0,193.200002,80,37,184.000002,276.000003,88.17143,1,1,1008,0
n_prc\set08\n_prc_8.py,n_prc,8,n_prc,8,8,12,5,0.5,0.5,0.7,0.6,4.0,2.0,386.399993,80,46,367.999995,551.99999,176.342855,1,1,1008,0
n_prc\set08\n_prc_16.py,n_prc,8,n_prc,16,16,23,5,0.5,0.5,0.7,0.6,8.0,4.0,772.799999,80,101,735.999991,1103.999999,352.68571,1,1,1008,0
n_prc\set09\n_prc_2.py,n_prc,9,n_prc,2,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599997,80,29,91.999999,137.999995,42.799999,1,1,1009,0
n_prc\set09\n_prc_4.py,n_prc,9,n_prc,4,4,8,5,0.5,0.5,0.7,0.6,2.0,1.0,193.199996,80,29,184.000001,275.999994,85.600001,1,1,1009,0
n_prc\set09\n_prc_8.py,n_prc,9,n_prc,8,8,12,5,0.5,0.5,0.7,0.6,4.0,2.0,386.400012,80,53,368.000006,552.000017,171.200003,1,1,1009,0
n_prc\set09\n_prc_16.py,n_prc,9,n_prc,16,16,23,5,0.5,0.5,0.7,0.6,8.0,4.0,772.799982,80,99,735.999994,1103.999975,342.399997,1,1,1009,0
n_prc\set10\n_prc_2.py,n_prc,10,n_prc,2,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600004,80,25,92.0,138.000006,42.866667,1,1,1010,0
n_prc\set10\n_prc_4.py,n_prc,10,n_prc,4,4,8,5,0.5,0.5,0.7,0.6,2.0,1.0,193.2,80,25,184.0,276.0,85.733333,1,1,1010,0
