file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws
n_tsk\set00\n_tsk_4.py,n_tsk,0,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600004,80,15,92.000001,138.000006,44.085715,1,1,1000,0
n_tsk\set00\n_tsk_6.py,n_tsk,0,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599991,80,24,92.0,137.999987,44.085714,1,1,1000,0
n_tsk\set00\n_tsk_8.py,n_tsk,0,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600007,80,29,91.999999,138.00001,44.085714,1,1,1000,0
n_tsk\set00\n_tsk_10.py,n_tsk,0,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600006,80,37,91.999997,138.000009,44.085713,1,1,1000,0
n_tsk\set00\n_tsk_12.py,n_tsk,0,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600006,80,43,92.000003,138.000009,44.085716,1,1,1000,0
n_tsk\set01\n_tsk_4.py,n_tsk,1,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599998,80,15,92.0,137.999997,42.866667,1,1,1001,0
n_tsk\set01\n_tsk_6.py,n_tsk,1,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600005,80,20,92.000003,138.000007,42.866668,1,1,1001,0
n_tsk\set01\n_tsk_8.py,n_tsk,1,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600004,80,23,92.000007,138.000006,42.86667,1,1,1001,0
n_tsk\set01\n_tsk_10.py,n_tsk,1,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599992,80,35,91.999994,137.999989,42.866664,1,1,1001,0
n_tsk\set01\n_tsk_12.py,n_tsk,1,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,96.6,80,44,92.000001,138.0,42.866667,1,1,1001,0
n_tsk\set02\n_tsk_4.py,n_tsk,2,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,96.6,80,15,92.000006,138.0,42.800003,1,1,1002,0
n_tsk\set02\n_tsk_6.py,n_tsk,2,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599995,80,18,92.0,137.999993,42.8,1,1,1002,0
n_tsk\set02\n_tsk_8.py,n_tsk,2,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599995,80,30,91.999999,137.999993,42.799999,1,1,1002,0
n_tsk\set02\n_tsk_10.py,n_tsk,2,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600002,80,39,92.000005,138.000003,42.800002,1,1,1002,0
n_tsk\set02\n_tsk_12.py,n_tsk,2,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599995,80,47,92.000002,137.999993,42.800001,1,1,1002,0
n_tsk\set03\n_tsk_4.py,n_tsk,3,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600003,80,15,92.000005,138.000005,42.866669,1,1,1003,0
n_tsk\set03\n_tsk_6.py,n_tsk,3,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600001,80,17,91.999998,138.000001,42.866666,1,1,1003,0
n_tsk\set03\n_tsk_8.py,n_tsk,3,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.6,80,27,92.000005,138.0,42.866669,1,1,1003,0
n_tsk\set03\n_tsk_10.py,n_tsk,3,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599991,80,36,91.999997,137.999987,42.866665,1,1,1003,0
n_tsk\set03\n_tsk_12.py,n_tsk,3,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599997,80,45,91.999995,137.999995,42.866665,1,1,1003,0
n_tsk\set04\n_tsk_4.py,n_tsk,4,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599994,80,15,91.999998,137.999991,44.085713,1,1,1004,0
n_tsk\set04\n_tsk_6.py,n_tsk,4,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600005,80,21,91.999998,138.000007,44.085713,1,1,1004,0
n_tsk\set04\n_tsk_8.py,n_tsk,4,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.6,80,33,92.000002,138.0,44.085715,1,1,1004,0
n_tsk\set04\n_tsk_10.py,n_tsk,4,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599978,80,43,91.999993,137.999969,44.085711,1,1,1004,0
n_tsk\set04\n_tsk_12.py,n_tsk,4,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599988,80,55,92.0,137.999983,44.085714,1,1,1004,0
n_tsk\set05\n_tsk_4.py,n_tsk,5,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599994,80,15,91.999995,137.999991,48.799998,1,1,1005,0
n_tsk\set05\n_tsk_6.py,n_tsk,5,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600003,80,21,92.0,138.000005,48.8,1,1,1005,0
n_tsk\set05\n_tsk_8.py,n_tsk,5,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600003,80,30,92.000001,138.000005,48.800001,1,1,1005,0
n_tsk\set05\n_tsk_10.py,n_tsk,5,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600003,80,34,92.000005,138.000005,48.800002,1,1,1005,0
n_tsk\set05\n_tsk_12.py,n_tsk,5,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600003,80,46,92.000001,138.000005,48.800001,1,1,1005,0
n_tsk\set06\n_tsk_4.py,n_tsk,6,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600003,80,15,92.000002,138.000005,42.866668,1,1,1006,0
n_tsk\set06\n_tsk_6.py,n_tsk,6,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600001,80,25,91.999994,138.000001,42.866664,1,1,1006,0
n_tsk\set06\n_tsk_8.py,n_tsk,6,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599995,80,31,91.999998,137.999993,42.866666,1,1,1006,0
n_tsk\set06\n_tsk_10.py,n_tsk,6,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,96.6,80,43,92.000001,138.0,42.866667,1,1,1006,0
n_tsk\set06\n_tsk_12.py,n_tsk,6,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600003,80,52,92.000012,138.000005,42.866672,1,1,1006,0
n_tsk\set07\n_tsk_4.py,n_tsk,7,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599997,80,15,91.999995,137.999995,42.799998,1,1,1007,0
n_tsk\set07\n_tsk_6.py,n_tsk,7,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,96.6,80,23,91.999999,138.0,42.799999,1,1,1007,0
n_tsk\set07\n_tsk_8.py,n_tsk,7,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.6,80,35,91.999999,138.0,42.799999,1,1,1007,0
n_tsk\set07\n_tsk_10.py,n_tsk,7,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599987,80,44,91.999987,137.999982,42.799994,1,1,1007,0
