file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws
rho\set00\rho_0.2.py,rho,0,rho,0.2,2,8,5,0.5,0.5,0.2,0.6,1.0,0.5,27.600002,80,29,91.999999,138.00001,44.085714,1,1,1000,0
rho\set00\rho_0.3.py,rho,0,rho,0.3,2,8,5,0.5,0.5,0.3,0.6,1.0,0.5,41.400003,80,29,91.999999,138.00001,44.085714,1,1,1000,0
rho\set00\rho_0.4.py,rho,0,rho,0.4,2,8,5,0.5,0.5,0.4,0.6,1.0,0.5,55.200004,80,29,91.999999,138.00001,44.085714,1,1,1000,0
rho\set00\rho_0.5.py,rho,0,rho,0.5,2,8,5,0.5,0.5,0.5,0.6,1.0,0.5,69.000005,80,29,91.999999,138.00001,44.085714,1,1,1000,0
rho\set00\rho_0.6.py,rho,0,rho,0.6,2,8,5,0.5,0.5,0.6,0.6,1.0,0.5,82.800006,80,29,91.999999,138.00001,44.085714,1,1,1000,0
rho\set00\rho_0.7.py,rho,0,rho,0.7,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600007,80,29,91.999999,138.00001,44.085714,1,1,1000,0
rho\set00\rho_0.8.py,rho,0,rho,0.8,2,8,5,0.5,0.5,0.8,0.6,1.0,0.5,110.400008,80,29,91.999999,138.00001,44.085714,1,1,1000,0
rho\set00\rho_0.9.py,rho,0,rho,0.9,2,8,5,0.5,0.5,0.9,0.6,1.0,0.5,124.200009,80,29,91.999999,138.00001,44.085714,1,1,1000,0
rho\set00\rho_1.py,rho,0,rho,1,2,8,5,0.5,0.5,1.0,0.6,1.0,0.5,138.00001,80,29,91.999999,138.00001,44.085714,1,1,1000,0
rho\set01\rho_0.2.py,rho,1,rho,0.2,2,8,5,0.5,0.5,0.2,0.6,1.0,0.5,27.600001,80,23,92.000007,138.000006,42.86667,1,1,1001,0
rho\set01\rho_0.3.py,rho,1,rho,0.3,2,8,5,0.5,0.5,0.3,0.6,1.0,0.5,41.400002,80,23,92.000007,138.000006,42.86667,1,1,1001,0
rho\set01\rho_0.4.py,rho,1,rho,0.4,2,8,5,0.5,0.5,0.4,0.6,1.0,0.5,55.200002,80,23,92.000007,138.000006,42.86667,1,1,1001,0
rho\set01\rho_0.5.py,rho,1,rho,0.5,2,8,5,0.5,0.5,0.5,0.6,1.0,0.5,69.000003,80,23,92.000007,138.000006,42.86667,1,1,1001,0
rho\set01\rho_0.6.py,rho,1,rho,0.6,2,8,5,0.5,0.5,0.6,0.6,1.0,0.5,82.800003,80,23,92.000007,138.000006,42.86667,1,1,1001,0
rho\set01\rho_0.7.py,rho,1,rho,0.7,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600004,80,23,92.000007,138.000006,42.86667,1,1,1001,0
rho\set01\rho_0.8.py,rho,1,rho,0.8,2,8,5,0.5,0.5,0.8,0.6,1.0,0.5,110.400005,80,23,92.000007,138.000006,42.86667,1,1,1001,0
rho\set01\rho_0.9.py,rho,1,rho,0.9,2,8,5,0.5,0.5,0.9,0.6,1.0,0.5,124.200005,80,23,92.000007,138.000006,42.86667,1,1,1001,0
rho\set01\rho_1.py,rho,1,rho,1,2,8,5,0.5,0.5,1.0,0.6,1.0,0.5,138.000006,80,23,92.000007,138.000006,42.86667,1,1,1001,0
rho\set02\rho_0.2.py,rho,2,rho,0.2,2,8,5,0.5,0.5,0.2,0.6,1.0,0.5,27.599999,80,30,91.999999,137.999993,42.799999,1,1,1002,0
rho\set02\rho_0.3.py,rho,2,rho,0.3,2,8,5,0.5,0.5,0.3,0.6,1.0,0.5,41.399998,80,30,91.999999,137.999993,42.799999,1,1,1002,0
rho\set02\rho_0.4.py,rho,2,rho,0.4,2,8,5,0.5,0.5,0.4,0.6,1.0,0.5,55.199997,80,30,91.999999,137.999993,42.799999,1,1,1002,0
rho\set02\rho_0.5.py,rho,2,rho,0.5,2,8,5,0.5,0.5,0.5,0.6,1.0,0.5,68.999997,80,30,91.999999,137.999993,42.799999,1,1,1002,0
rho\set02\rho_0.6.py,rho,2,rho,0.6,2,8,5,0.5,0.5,0.6,0.6,1.0,0.5,82.799996,80,30,91.999999,137.999993,42.799999,1,1,1002,0
rho\set02\rho_0.7.py,rho,2,rho,0.7,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599995,80,30,91.999999,137.999993,42.799999,1,1,1002,0
rho\set02\rho_0.8.py,rho,2,rho,0.8,2,8,5,0.5,0.5,0.8,0.6,1.0,0.5,110.399994,80,30,91.999999,137.999993,42.799999,1,1,1002,0
rho\set02\rho_0.9.py,rho,2,rho,0.9,2,8,5,0.5,0.5,0.9,0.6,1.0,0.5,124.199994,80,30,91.999999,137.999993,42.799999,1,1,1002,0
rho\set02\rho_1.py,rho,2,rho,1,2,8,5,0.5,0.5,1.0,0.6,1.0,0.5,137.999993,80,30,91.999999,137.999993,42.799999,1,1,1002,0
rho\set03\rho_0.2.py,rho,3,rho,0.2,2,8,5,0.5,0.5,0.2,0.6,1.0,0.5,27.6,80,27,92.000005,138.0,42.866669,1,1,1003,0
rho\set03\rho_0.3.py,rho,3,rho,0.3,2,8,5,0.5,0.5,0.3,0.6,1.0,0.5,41.4,80,27,92.000005,138.0,42.866669,1,1,1003,0
rho\set03\rho_0.4.py,rho,3,rho,0.4,2,8,5,0.5,0.5,0.4,0.6,1.0,0.5,55.2,80,27,92.000005,138.0,42.866669,1,1,1003,0
rho\set03\rho_0.5.py,rho,3,rho,0.5,2,8,5,0.5,0.5,0.5,0.6,1.0,0.5,69.0,80,27,92.000005,138.0,42.866669,1,1,1003,0
rho\set03\rho_0.6.py,rho,3,rho,0.6,2,8,5,0.5,0.5,0.6,0.6,1.0,0.5,82.8,80,27,92.000005,138.0,42.866669,1,1,1003,0
rho\set03\rho_0.7.py,rho,3,rho,0.7,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.6,80,27,92.000005,138.0,42.866669,1,1,1003,0
rho\set03\rho_0.8.py,rho,3,rho,0.8,2,8,5,0.5,0.5,0.8,0.6,1.0,0.5,110.4,80,27,92.000005,138.0,42.866669,1,1,1003,0
rho\set03\rho_0.9.py,rho,3,rho,0.9,2,8,5,0.5,0.5,0.9,0.6,1.0,0.5,124.2,80,27,92.000005,138.0,42.866669,1,1,1003,0
rho\set03\rho_1.py,rho,3,rho,1,2,8,5,0.5,0.5,1.0,0.6,1.0,0.5,138.0,80,27,92.000005,138.0,42.866669,1,1,1003,0
rho\set04\rho_0.2.py,rho,4,rho,0.2,2,8,5,0.5,0.5,0.2,0.6,1.0,0.5,27.6,80,33,92.000002,138.0,44.085715,1,1,1004,0
rho\set04\rho_0.3.py,rho,4,rho,0.3,2,8,5,0.5,0.5,0.3,0.6,1.0,0.5,41.4,80,33,92.000002,138.0,44.085715,1,1,1004,0
rho\set04\rho_0.4.py,rho,4,rho,0.4,2,8,5,0.5,0.5,0.4,0.6,1.0,0.5,55.2,80,33,92.000002,138.0,44.085715,1,1,1004,0
rho\set04\rho_0.5.py,rho,4,rho,0.5,2,8,5,0.5,0.5,0.5,0.6,1.0,0.5,69.0,80,33,92.000002,138.0,44.085715,1,1,1004,0
rho\set04\rho_0.6.py,rho,4,rho,0.6,2,8,5,0.5,0.5,0.6,0.6,1.0,0.5,82.8,80,33,92.000002,138.0,44.085715,1,1,1004,0
rho\set04\rho_0.7.py,rho,4,rho,0.7,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.6,80,33,92.000002,138.0,44.085715,1,1,1004,0
rho\set04\rho_0.8.py,rho,4,rho,0.8,2,8,5,0.5,0.5,0.8,0.6,1.0,0.5,110.4,80,33,92.000002,138.0,44.085715,1,1,1004,0
rho\set04\rho_0.9.py,rho,4,rho,0.9,2,8,5,0.5,0.5,0.9,0.6,1.0,0.5,124.2,80,33,92.000002,138.0,44.085715,1,1,1004,0
