file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws
xi\set00\xi_0.3.py,xi,0,xi,0.3,2,8,5,0.5,0.5,0.7,0.3,1.0,0.5,96.600007,80,29,91.999999,138.00001,44.085714,1,1,1000,0
xi\set00\xi_0.4.py,xi,0,xi,0.4,2,8,5,0.5,0.5,0.7,0.4,1.0,0.5,96.600007,80,29,91.999999,138.00001,44.085714,1,1,1000,0
xi\set00\xi_0.5.py,xi,0,xi,0.5,2,8,5,0.5,0.5,0.7,0.5,1.0,0.5,96.600007,80,29,91.999999,138.00001,44.085714,1,1,1000,0
xi\set00\xi_0.6.py,xi,0,xi,0.6,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600007,80,29,91.999999,138.00001,44.085714,1,1,1000,0
xi\set00\xi_0.7.py,xi,0,xi,0.7,2,8,5,0.5,0.5,0.7,0.7,1.0,0.5,96.600007,80,29,91.999999,138.00001,44.085714,1,1,1000,0
xi\set00\xi_0.8.py,xi,0,xi,0.8,2,8,5,0.5,0.5,0.7,0.8,1.0,0.5,96.600007,80,29,91.999999,138.00001,44.085714,1,1,1000,0
xi\set00\xi_0.9.py,xi,0,xi,0.9,2,8,5,0.5,0.5,0.7,0.9,1.0,0.5,96.600007,80,29,91.999999,138.00001,44.085714,1,1,1000,0
xi\set01\xi_0.3.py,xi,1,xi,0.3,2,8,5,0.5,0.5,0.7,0.3,1.0,0.5,96.600004,80,23,92.000007,138.000006,42.86667,1,1,1001,0
xi\set01\xi_0.4.py,xi,1,xi,0.4,2,8,5,0.5,0.5,0.7,0.4,1.0,0.5,96.600004,80,23,92.000007,138.000006,42.86667,1,1,1001,0
xi\set01\xi_0.5.py,xi,1,xi,0.5,2,8,5,0.5,0.5,0.7,0.5,1.0,0.5,96.600004,80,23,92.000007,138.000006,42.86667,1,1,1001,0
xi\set01\xi_0.6.py,xi,1,xi,0.6,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.600004,80,23,92.000007,138.000006,42.86667,1,1,1001,0
xi\set01\xi_0.7.py,xi,1,xi,0.7,2,8,5,0.5,0.5,0.7,0.7,1.0,0.5,96.600004,80,23,92.000007,138.000006,42.86667,1,1,1001,0
xi\set01\xi_0.8.py,xi,1,xi,0.8,2,8,5,0.5,0.5,0.7,0.8,1.0,0.5,96.600004,80,23,92.000007,138.000006,42.86667,1,1,1001,0
xi\set01\xi_0.9.py,xi,1,xi,0.9,2,8,5,0.5,0.5,0.7,0.9,1.0,0.5,96.600004,80,23,92.000007,138.000006,42.86667,1,1,1001,0
xi\set02\xi_0.3.py,xi,2,xi,0.3,2,8,5,0.5,0.5,0.7,0.3,1.0,0.5,96.599995,80,30,91.999999,137.999993,42.799999,1,1,1002,0
xi\set02\xi_0.4.py,xi,2,xi,0.4,2,8,5,0.5,0.5,0.7,0.4,1.0,0.5,96.599995,80,30,91.999999,137.999993,42.799999,1,1,1002,0
xi\set02\xi_0.5.py,xi,2,xi,0.5,2,8,5,0.5,0.5,0.7,0.5,1.0,0.5,96.599995,80,30,91.999999,137.999993,42.799999,1,1,1002,0
xi\set02\xi_0.6.py,xi,2,xi,0.6,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599995,80,30,91.999999,137.999993,42.799999,1,1,1002,0
xi\set02\xi_0.7.py,xi,2,xi,0.7,2,8,5,0.5,0.5,0.7,0.7,1.0,0.5,96.599995,80,30,91.999999,137.999993,42.799999,1,1,1002,0
xi\set02\xi_0.8.py,xi,2,xi,0.8,2,8,5,0.5,0.5,0.7,0.8,1.0,0.5,96.599995,80,30,91.999999,137.999993,42.799999,1,1,1002,0
xi\set02\xi_0.9.py,xi,2,xi,0.9,2,8,5,0.5,0.5,0.7,0.9,1.0,0.5,96.599995,80,30,91.999999,137.999993,42.799999,1,1,1002,0
