file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws
n_frq\set00\n_frq_2.py,n_frq,0,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,11,46.000001,69.0,24.400001,1,1,1000,0
n_frq\set00\n_frq_3.py,n_frq,0,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,11,46.000001,69.0,24.400001,1,1,1000,0
n_frq\set00\n_frq_5.py,n_frq,0,n_frq,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0
n_frq\set00\n_frq_8.py,n_frq,0,n_frq,8,2,5,8,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,10,46.000002,69.000001,22.042858,1,1,1000,0
n_frq\set00\n_frq_12.py,n_frq,0,n_frq,12,2,5,12,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,12,46.000001,69.000001,21.433334,1,1,1000,0
n_frq\set01\n_frq_2.py,n_frq,1,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,12,45.999998,68.999998,23.599999,1,1,1001,0
n_frq\set01\n_frq_3.py,n_frq,1,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,12,45.999998,68.999998,23.599999,1,1,1001,0
n_frq\set01\n_frq_5.py,n_frq,1,n_frq,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,13,46.000002,69.000003,21.433334,1,1,1001,0
n_frq\set01\n_frq_8.py,n_frq,1,n_frq,8,2,5,8,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,10,46.0,69.000001,21.4,1,1,1001,0
n_frq\set01\n_frq_12.py,n_frq,1,n_frq,12,2,5,12,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,12,45.999999,69.0,21.399999,1,1,1001,0
n_frq\set02\n_frq_2.py,n_frq,2,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,15,46.0,69.000001,28.171429,1,1,1002,0
n_frq\set02\n_frq_3.py,n_frq,2,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,15,46.000003,69.000001,24.400002,1,1,1002,0
n_frq\set02\n_frq_5.py,n_frq,2,n_frq,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,11,46.000001,68.999997,21.400001,1,1,1002,0
n_frq\set02\n_frq_8.py,n_frq,2,n_frq,8,2,5,8,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,9,45.999999,69.000001,21.399999,1,1,1002,0
n_frq\set02\n_frq_12.py,n_frq,2,n_frq,12,2,5,12,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,12,45.999999,68.999995,21.399999,1,1,1002,0
n_frq\set03\n_frq_2.py,n_frq,3,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,12,45.999997,68.999997,26.130767,1,1,1003,0
n_frq\set03\n_frq_3.py,n_frq,3,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,10,45.999999,68.999999,23.00909,1,1,1003,0
n_frq\set03\n_frq_5.py,n_frq,3,n_frq,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,10,46.0,68.999999,21.433333,1,1,1003,0
n_frq\set03\n_frq_8.py,n_frq,3,n_frq,8,2,5,8,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,12,46.000002,68.999998,21.433334,1,1,1003,0
n_frq\set03\n_frq_12.py,n_frq,3,n_frq,12,2,5,12,0.5,0.5,0.7,0.6,1.0,0.5,48.299995,40,10,45.999998,68.999993,21.399999,1,1,1003,0
n_frq\set04\n_frq_2.py,n_frq,4,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,13,46.000002,69.000003,22.042858,1,1,1004,0
n_frq\set04\n_frq_3.py,n_frq,4,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,13,46.000002,69.000003,22.042858,1,1,1004,0
n_frq\set04\n_frq_5.py,n_frq,4,n_frq,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,13,46.000002,69.000003,22.042858,1,1,1004,0
n_frq\set04\n_frq_8.py,n_frq,4,n_frq,8,2,5,8,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,12,46.000001,69.000002,21.433334,1,1,1004,0
n_frq\set04\n_frq_12.py,n_frq,4,n_frq,12,2,5,12,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,12,46.0,68.999999,21.4,1,1,1004,0
n_frq\set05\n_frq_2.py,n_frq,5,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,10,46.000002,69.0,26.130771,1,1,1005,0
n_frq\set05\n_frq_3.py,n_frq,5,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,9,46.0,68.999998,24.4,1,1,1005,0
n_frq\set05\n_frq_5.py,n_frq,5,n_frq,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,10,46.0,68.999999,24.4,1,1,1005,0
n_frq\set05\n_frq_8.py,n_frq,5,n_frq,8,2,5,8,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,13,45.999997,68.999998,21.999998,1,1,1005,0
n_frq\set05\n_frq_12.py,n_frq,5,n_frq,12,2,5,12,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,10,45.999998,68.999998,21.433332,1,1,1005,0
n_frq\set06\n_frq_2.py,n_frq,6,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,13,45.999999,69.000003,23.599999,1,1,1006,0
n_frq\set06\n_frq_3.py,n_frq,6,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,15,46.000002,68.999999,21.433334,1,1,1006,0
n_frq\set06\n_frq_5.py,n_frq,6,n_frq,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,10,46.000002,69.000002,21.433334,1,1,1006,0
n_frq\set06\n_frq_8.py,n_frq,6,n_frq,8,2,5,8,0.5,0.5,0.7,0.6,1.0,0.5,48.300004,40,10,46.000002,69.000006,21.433334,1,1,1006,0
n_frq\set06\n_frq_12.py,n_frq,6,n_frq,12,2,5,12,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,12,45.999999,69.000002,21.399999,1,1,1006,0
n_frq\set07\n_frq_2.py,n_frq,7,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,10,45.999999,68.999995,23.599999,1,1,1007,0
n_frq\set07\n_frq_3.py,n_frq,7,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,10,45.999999,68.999995,23.599999,1,1,1007,0
n_frq\set07\n_frq_5.py,n_frq,7,n_frq,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,9,45.999999,68.999997,21.399999,1,1,1007,0
n_frq\set07\n_frq_8.py,n_frq,7,n_frq,8,2,5,8,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,12,46.0,69.000005,21.4,1,1,1007,0
n_frq\set07\n_frq_12.py,n_frq,7,n_frq,12,2,5,12,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,10,45.999998,68.999999,21.399999,1,1,1007,0
n_frq\set08\n_frq_2.py,n_frq,8,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,12,46.000002,68.999997,26.130771,1,1,1008,0
n_frq\set08\n_frq_3.py,n_frq,8,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,12,46.000001,68.999999,23.009091,1,1,1008,0
n_frq\set08\n_frq_5.py,n_frq,8,n_frq,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,9,46.000002,69.0,22.042858,1,1,1008,0
n_frq\set08\n_frq_8.py,n_frq,8,n_frq,8,2,5,8,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,12,46.000003,69.000005,21.400002,1,1,1008,0
n_frq\set08\n_frq_12.py,n_frq,8,n_frq,12,2,5,12,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,13,45.999995,68.999995,21.399998,1,1,1008,0
n_frq\set09\n_frq_2.py,n_frq,9,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,12,45.999999,69.000005,23.599999,1,1,1009,0
n_frq\set09\n_frq_3.py,n_frq,9,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,9,46.000001,69.000001,21.400001,1,1,1009,0
n_frq\set09\n_frq_5.py,n_frq,9,n_frq,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,12,45.999999,68.999995,21.399999,1,1,1009,0
n_frq\set09\n_frq_8.py,n_frq,9,n_frq,8,2,5,8,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,13,46.000001,69.000001,21.400001,1,1,1009,0
n_frq\set09\n_frq_12.py,n_frq,9,n_frq,12,2,5,12,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,12,45.999999,69.000001,21.399999,1,1,1009,0
n_frq\set10\n_frq_2.py,n_frq,10,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,12,46.000001,69.000001,30.500001,1,1,1010,0
n_frq\set10\n_frq_3.py,n_frq,10,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.300006,40,11,46.000002,69.000008,21.433334,1,1,1010,0
n_frq\set10\n_frq_5.py,n_frq,10,n_frq,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,11,45.999998,68.999995,21.433332,1,1,1010,0
n_frq\set10\n_frq_8.py,n_frq,10,n_frq,8,2,5,8,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,13,45.999998,68.999997,21.433332,1,1,1010,0
n_frq\set10\n_frq_12.py,n_frq,10,n_frq,12,2,5,12,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,9,46.000002,69.000003,21.433334,1,1,1010,0
n_frq\set11\n_frq_2.py,n_frq,11,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,13,46.000001,69.0,22.000001,1,1,1011,0
n_frq\set11\n_frq_3.py,n_frq,11,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,12,46.000001,69.0,22.000001,1,1,1011,0
n_frq\set11\n_frq_5.py,n_frq,11,n_frq,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,10,46.000001,68.999999,21.400001,1,1,1011,0
n_frq\set11\n_frq_8.py,n_frq,11,n_frq,8,2,5,8,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,15,46.000003,69.000001,21.400002,1,1,1011,0
n_frq\set11\n_frq_12.py,n_frq,11,n_frq,12,2,5,12,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,10,45.999999,68.999999,21.399999,1,1,1011,0
n_frq\set12\n_frq_2.py,n_frq,12,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000001,69.000005,21.400001,1,1,1012,0
