file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws
n_prc\set00\n_prc_2.py,n_prc,0,n_prc,2,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0
n_prc\set00\n_prc_4.py,n_prc,0,n_prc,4,4,6,5,0.5,0.5,0.7,0.6,2.0,1.0,96.600002,40,17,91.999998,138.000003,44.085713,1,1,1000,0
n_prc\set00\n_prc_8.py,n_prc,0,n_prc,8,8,12,5,0.5,0.5,0.7,0.6,4.0,2.0,193.200002,40,33,184.000005,276.000002,88.171431,1,1,1000,0
n_prc\set00\n_prc_16.py,n_prc,0,n_prc,16,16,23,5,0.5,0.5,0.7,0.6,8.0,4.0,386.4,40,60,367.999999,552.0,176.342857,1,1,1000,0
n_prc\set01\n_prc_2.py,n_prc,1,n_prc,2,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,13,46.000002,69.000003,21.433334,1,1,1001,0
n_prc\set01\n_prc_4.py,n_prc,1,n_prc,4,4,6,5,0.5,0.5,0.7,0.6,2.0,1.0,96.600002,40,14,91.999998,138.000003,42.866666,1,1,1001,0
n_prc\set01\n_prc_8.py,n_prc,1,n_prc,8,8,12,5,0.5,0.5,0.7,0.6,4.0,2.0,193.200005,40,25,184.000002,276.000007,85.733334,1,1,1001,0
n_prc\set01\n_prc_16.py,n_prc,1,n_prc,16,16,23,5,0.5,0.5,0.7,0.6,8.0,4.0,386.4,40,43,367.999998,552.0,171.466666,1,1,1001,0
n_prc\set02\n_prc_2.py,n_prc,2,n_prc,2,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,11,46.000001,68.999997,21.400001,1,1,1002,0
n_prc\set02\n_prc_4.py,n_prc,2,n_prc,4,4,6,5,0.5,0.5,0.7,0.6,2.0,1.0,96.600001,40,15,92.000001,138.000001,42.800001,1,1,1002,0
n_prc\set02\n_prc_8.py,n_prc,2,n_prc,8,8,12,5,0.5,0.5,0.7,0.6,4.0,2.0,193.199998,40,25,183.999997,275.999997,85.599998,1,1,1002,0
n_prc\set02\n_prc_16.py,n_prc,2,n_prc,16,16,23,5,0.5,0.5,0.7,0.6,8.0,4.0,386.400008,40,55,368.0,552.000012,171.2,1,1,1002,0
