file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws
n_tsk\set00\n_tsk_4.py,n_tsk,0,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,11,45.999999,68.999999,22.042857,1,1,1000,0
n_tsk\set00\n_tsk_6.py,n_tsk,0,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,17,46.000002,69.000002,22.042858,1,1,1000,0
n_tsk\set00\n_tsk_8.py,n_tsk,0,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,20,45.999999,68.999998,22.042857,1,1,1000,0
n_tsk\set00\n_tsk_10.py,n_tsk,0,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,28,46.0,68.999997,22.042857,1,1,1000,0
n_tsk\set00\n_tsk_12.py,n_tsk,0,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299996,40,33,45.999994,68.999994,22.042854,1,1,1000,0
n_tsk\set01\n_tsk_4.py,n_tsk,1,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,11,46.000002,69.000005,21.433334,1,1,1001,0
n_tsk\set01\n_tsk_6.py,n_tsk,1,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,14,46.000001,69.0,21.433334,1,1,1001,0
n_tsk\set01\n_tsk_8.py,n_tsk,1,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,17,45.999995,68.999997,21.433331,1,1,1001,0
n_tsk\set01\n_tsk_10.py,n_tsk,1,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299995,40,20,45.999995,68.999993,21.433331,1,1,1001,0
n_tsk\set01\n_tsk_12.py,n_tsk,1,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,25,45.999998,69.000005,21.433332,1,1,1001,0
n_tsk\set02\n_tsk_4.py,n_tsk,2,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,9,46.0,69.000002,21.4,1,1,1002,0
n_tsk\set02\n_tsk_6.py,n_tsk,2,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,15,45.999998,69.000005,21.399999,1,1,1002,0
n_tsk\set02\n_tsk_8.py,n_tsk,2,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299995,40,17,46.000001,68.999993,21.400001,1,1,1002,0
n_tsk\set02\n_tsk_10.py,n_tsk,2,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,22,45.999998,69.0,21.399999,1,1,1002,0
n_tsk\set02\n_tsk_12.py,n_tsk,2,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,25,46.0,68.999999,21.4,1,1,1002,0
n_tsk\set03\n_tsk_4.py,n_tsk,3,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,8,45.999999,68.999998,21.433333,1,1,1003,0
n_tsk\set03\n_tsk_6.py,n_tsk,3,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,12,46.0,69.0,21.433333,1,1,1003,0
n_tsk\set03\n_tsk_8.py,n_tsk,3,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,17,45.999999,68.999999,21.433333,1,1,1003,0
n_tsk\set03\n_tsk_10.py,n_tsk,3,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300004,40,23,46.000002,69.000006,21.433334,1,1,1003,0
n_tsk\set03\n_tsk_12.py,n_tsk,3,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,26,46.000001,68.999995,21.433334,1,1,1003,0
n_tsk\set04\n_tsk_4.py,n_tsk,4,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,11,46.000001,69.0,22.042858,1,1,1004,0
n_tsk\set04\n_tsk_6.py,n_tsk,4,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,14,46.000002,69.000005,22.042858,1,1,1004,0
n_tsk\set04\n_tsk_8.py,n_tsk,4,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299996,40,19,45.999994,68.999994,22.042854,1,1,1004,0
n_tsk\set04\n_tsk_10.py,n_tsk,4,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,24,46.0,69.000005,22.042857,1,1,1004,0
n_tsk\set04\n_tsk_12.py,n_tsk,4,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,27,46.000003,69.000002,22.042859,1,1,1004,0
n_tsk\set05\n_tsk_4.py,n_tsk,5,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,9,46.000001,69.000007,24.400001,1,1,1005,0
n_tsk\set05\n_tsk_6.py,n_tsk,5,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,11,45.999999,68.999999,24.399999,1,1,1005,0
n_tsk\set05\n_tsk_8.py,n_tsk,5,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,17,46.000005,69.000005,24.400002,1,1,1005,0
n_tsk\set05\n_tsk_10.py,n_tsk,5,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,22,46.000001,68.999997,24.400001,1,1,1005,0
n_tsk\set05\n_tsk_12.py,n_tsk,5,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,26,46.000002,68.999998,24.400001,1,1,1005,0
n_tsk\set06\n_tsk_4.py,n_tsk,6,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,8,46.0,68.999998,21.433333,1,1,1006,0
n_tsk\set06\n_tsk_6.py,n_tsk,6,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,11,46.0,69.000001,21.433333,1,1,1006,0
n_tsk\set06\n_tsk_8.py,n_tsk,6,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,19,45.999997,69.000003,21.433332,1,1,1006,0
n_tsk\set06\n_tsk_10.py,n_tsk,6,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,22,46.0,68.999997,21.433333,1,1,1006,0
n_tsk\set06\n_tsk_12.py,n_tsk,6,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,27,45.999993,68.999998,21.43333,1,1,1006,0
n_tsk\set07\n_tsk_4.py,n_tsk,7,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,8,46.0,68.999998,21.4,1,1,1007,0
n_tsk\set07\n_tsk_6.py,n_tsk,7,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,13,45.999999,69.000002,21.399999,1,1,1007,0
n_tsk\set07\n_tsk_8.py,n_tsk,7,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,18,45.999999,69.0,21.399999,1,1,1007,0
n_tsk\set07\n_tsk_10.py,n_tsk,7,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,23,45.999999,69.000005,21.399999,1,1,1007,0
n_tsk\set07\n_tsk_12.py,n_tsk,7,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299994,40,28,45.999997,68.999991,21.399998,1,1,1007,0
n_tsk\set08\n_tsk_4.py,n_tsk,8,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300004,40,8,46.0,69.000006,22.042857,1,1,1008,0
n_tsk\set08\n_tsk_6.py,n_tsk,8,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,13,45.999998,68.999997,22.042856,1,1,1008,0
n_tsk\set08\n_tsk_8.py,n_tsk,8,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,15,45.999998,69.000002,22.042856,1,1,1008,0
n_tsk\set08\n_tsk_10.py,n_tsk,8,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299994,40,20,45.999995,68.999992,22.042855,1,1,1008,0
n_tsk\set08\n_tsk_12.py,n_tsk,8,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,23,46.000001,69.000001,22.042858,1,1,1008,0
n_tsk\set09\n_tsk_4.py,n_tsk,9,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,11,46.000001,68.999995,21.400001,1,1,1009,0
n_tsk\set09\n_tsk_6.py,n_tsk,9,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,16,46.000003,69.000001,21.400002,1,1,1009,0
n_tsk\set09\n_tsk_8.py,n_tsk,9,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,22,45.999999,69.000003,21.399999,1,1,1009,0
n_tsk\set09\n_tsk_10.py,n_tsk,9,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,30,46.000003,69.000003,21.400002,1,1,1009,0
n_tsk\set09\n_tsk_12.py,n_tsk,9,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,38,45.999998,68.999997,21.399999,1,1,1009,0
n_tsk\set10\n_tsk_4.py,n_tsk,10,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,9,46.000002,69.000002,21.433334,1,1,1010,0
n_tsk\set10\n_tsk_6.py,n_tsk,10,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,15,46.000002,69.000005,21.433334,1,1,1010,0
n_tsk\set10\n_tsk_8.py,n_tsk,10,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,21,46.000006,68.999997,21.433336,1,1,1010,0
n_tsk\set10\n_tsk_10.py,n_tsk,10,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299995,40,26,45.999999,68.999993,21.433333,1,1,1010,0
n_tsk\set10\n_tsk_12.py,n_tsk,10,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,31,45.999997,68.999997,21.433332,1,1,1010,0
n_tsk\set11\n_tsk_4.py,n_tsk,11,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,9,45.999999,68.999999,21.399999,1,1,1011,0
n_tsk\set11\n_tsk_6.py,n_tsk,11,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,12,46.000001,69.000001,21.400001,1,1,1011,0
n_tsk\set11\n_tsk_8.py,n_tsk,11,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,15,45.999999,68.999995,21.399999,1,1,1011,0
n_tsk\set11\n_tsk_10.py,n_tsk,11,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,23,45.999999,69.0,21.399999,1,1,1011,0
n_tsk\set11\n_tsk_12.py,n_tsk,11,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300006,40,26,46.000002,69.000009,21.400001,1,1,1011,0
n_tsk\set12\n_tsk_4.py,n_tsk,12,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,9,46.0,69.000002,21.4,1,1,1012,0
n_tsk\set12\n_tsk_6.py,n_tsk,12,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,12,46.0,68.999998,21.4,1,1,1012,0
n_tsk\set12\n_tsk_8.py,n_tsk,12,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,15,46.000001,69.0,21.400001,1,1,1012,0
n_tsk\set12\n_tsk_10.py,n_tsk,12,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,20,45.999999,68.999998,21.399999,1,1,1012,0
n_tsk\set12\n_tsk_12.py,n_tsk,12,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300004,40,25,46.000003,69.000006,21.400002,1,1,1012,0
n_tsk\set13\n_tsk_4.py,n_tsk,13,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,9,45.999998,68.999995,21.399999,1,1,1013,0
n_tsk\set13\n_tsk_6.py,n_tsk,13,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,15,46.0,68.999995,21.4,1,1,1013,0
n_tsk\set13\n_tsk_8.py,n_tsk,13,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,21,46.0,69.000005,21.4,1,1,1013,0
n_tsk\set13\n_tsk_10.py,n_tsk,13,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300004,40,26,46.000005,69.000006,21.400002,1,1,1013,0
n_tsk\set13\n_tsk_12.py,n_tsk,13,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,32,46.000006,69.000003,21.400003,1,1,1013,0
n_tsk\set14\n_tsk_4.py,n_tsk,14,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,9,46.000002,69.0,21.433334,1,1,1014,0
n_tsk\set14\n_tsk_6.py,n_tsk,14,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,11,45.999999,68.999999,21.433333,1,1,1014,0
n_tsk\set14\n_tsk_8.py,n_tsk,14,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,16,45.999999,68.999998,21.433333,1,1,1014,0
n_tsk\set14\n_tsk_10.py,n_tsk,14,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,19,45.999998,68.999995,21.433332,1,1,1014,0
n_tsk\set14\n_tsk_12.py,n_tsk,14,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,23,45.999999,69.0,21.433333,1,1,1014,0
n_tsk\set15\n_tsk_4.py,n_tsk,15,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,9,45.999998,69.000003,21.999999,1,1,1015,0
n_tsk\set15\n_tsk_6.py,n_tsk,15,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,12,46.000001,69.000002,22.000001,1,1,1015,0
n_tsk\set15\n_tsk_8.py,n_tsk,15,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299992,40,15,45.999997,68.999989,21.999998,1,1,1015,0
n_tsk\set15\n_tsk_10.py,n_tsk,15,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,18,45.999999,69.000001,21.999999,1,1,1015,0
n_tsk\set15\n_tsk_12.py,n_tsk,15,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,23,46.000003,69.000005,22.000002,1,1,1015,0
n_tsk\set16\n_tsk_4.py,n_tsk,16,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,8,45.999998,69.0,23.00909,1,1,1016,0
n_tsk\set16\n_tsk_6.py,n_tsk,16,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,10,46.000002,69.000005,23.009092,1,1,1016,0
n_tsk\set16\n_tsk_8.py,n_tsk,16,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,16,46.000002,69.000001,23.009092,1,1,1016,0
n_tsk\set16\n_tsk_10.py,n_tsk,16,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,22,46.000003,69.000007,23.009093,1,1,1016,0
n_tsk\set16\n_tsk_12.py,n_tsk,16,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,25,46.000001,69.000003,23.009091,1,1,1016,0
n_tsk\set17\n_tsk_4.py,n_tsk,17,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,9,46.0,68.999997,21.433333,1,1,1017,0
n_tsk\set17\n_tsk_6.py,n_tsk,17,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,15,45.999999,69.0,21.433333,1,1,1017,0
n_tsk\set17\n_tsk_8.py,n_tsk,17,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,21,45.999995,68.999997,21.433331,1,1,1017,0
n_tsk\set17\n_tsk_10.py,n_tsk,17,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,24,46.000001,68.999995,21.433334,1,1,1017,0
n_tsk\set17\n_tsk_12.py,n_tsk,17,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,27,46.0,69.000007,21.433333,1,1,1017,0
n_tsk\set18\n_tsk_4.py,n_tsk,18,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,8,46.000002,69.000002,22.042858,1,1,1018,0
n_tsk\set18\n_tsk_6.py,n_tsk,18,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,14,46.000002,69.000002,22.042858,1,1,1018,0
n_tsk\set18\n_tsk_8.py,n_tsk,18,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,19,45.999999,68.999995,22.042857,1,1,1018,0
n_tsk\set18\n_tsk_10.py,n_tsk,18,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,21,46.000003,69.000003,22.042859,1,1,1018,0
n_tsk\set18\n_tsk_12.py,n_tsk,18,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,24,46.000001,69.000002,22.042858,1,1,1018,0
n_tsk\set19\n_tsk_4.py,n_tsk,19,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,8,45.999998,68.999997,21.433332,1,1,1019,0
n_tsk\set19\n_tsk_6.py,n_tsk,19,n_tsk,6,2,6,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,10,45.999999,68.999998,21.433333,1,1,1019,0
n_tsk\set19\n_tsk_8.py,n_tsk,19,n_tsk,8,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,16,46.000005,69.0,21.433335,1,1,1019,0
n_tsk\set19\n_tsk_10.py,n_tsk,19,n_tsk,10,2,10,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299994,40,20,45.999998,68.999992,21.433332,1,1,1019,0
n_tsk\set19\n_tsk_12.py,n_tsk,19,n_tsk,12,2,12,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,24,45.999998,68.999999,21.433332,1,1,1019,0
n_tsk\set20\n_tsk_4.py,n_tsk,20,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,9,46.000001,68.999998,22.042858,1,1,1020,0
