file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws
u_mand_factor\set00\u_mand_factor_0.1.py,u_mand_factor,0,u_mand_factor,0.1,2,5,5,0.1,0.5,0.7,0.6,0.2,0.9,35.420002,40,13,9.200002,50.600002,4.408573,1,0,1000,0
u_mand_factor\set00\u_mand_factor_0.2.py,u_mand_factor,0,u_mand_factor,0.2,2,5,5,0.2,0.5,0.7,0.6,0.4,0.8,38.639998,40,13,18.400001,55.199997,8.817143,1,0,1000,0
u_mand_factor\set00\u_mand_factor_0.3.py,u_mand_factor,0,u_mand_factor,0.3,2,5,5,0.3,0.5,0.7,0.6,0.6,0.7,41.860001,40,13,27.600001,59.800001,13.225715,1,1,1000,0
u_mand_factor\set00\u_mand_factor_0.4.py,u_mand_factor,0,u_mand_factor,0.4,2,5,5,0.4,0.5,0.7,0.6,0.8,0.6,45.079998,40,13,36.800002,64.399997,17.634287,1,1,1000,0
u_mand_factor\set00\u_mand_factor_0.5.py,u_mand_factor,0,u_mand_factor,0.5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0
u_mand_factor\set00\u_mand_factor_0.6.py,u_mand_factor,0,u_mand_factor,0.6,2,5,5,0.6,0.5,0.7,0.6,1.2,0.4,51.520001,40,13,55.200003,73.600001,26.45143,1,1,1000,0
u_mand_factor\set00\u_mand_factor_0.7.py,u_mand_factor,0,u_mand_factor,0.7,2,5,5,0.7,0.5,0.7,0.6,1.4,0.3,54.74,40,13,64.399999,78.2,30.859999,1,1,1000,0
u_mand_factor\set00\u_mand_factor_0.8.py,u_mand_factor,0,u_mand_factor,0.8,2,5,5,0.8,0.5,0.7,0.6,1.6,0.2,57.959996,40,13,73.6,82.799994,35.268571,1,1,1000,0
u_mand_factor\set00\u_mand_factor_0.9.py,u_mand_factor,0,u_mand_factor,0.9,2,5,5,0.9,0.5,0.7,0.6,1.8,0.1,61.180003,40,13,82.8,87.400005,39.677143,1,1,1000,0
u_mand_factor\set01\u_mand_factor_0.1.py,u_mand_factor,1,u_mand_factor,0.1,2,5,5,0.1,0.5,0.7,0.6,0.2,0.9,35.420005,40,13,9.200001,50.600007,4.286667,1,0,1001,0
u_mand_factor\set01\u_mand_factor_0.2.py,u_mand_factor,1,u_mand_factor,0.2,2,5,5,0.2,0.5,0.7,0.6,0.4,0.8,38.639998,40,13,18.400001,55.199998,8.573334,1,0,1001,0
u_mand_factor\set01\u_mand_factor_0.3.py,u_mand_factor,1,u_mand_factor,0.3,2,5,5,0.3,0.5,0.7,0.6,0.6,0.7,41.860002,40,13,27.6,59.800002,12.86,1,1,1001,0
u_mand_factor\set01\u_mand_factor_0.4.py,u_mand_factor,1,u_mand_factor,0.4,2,5,5,0.4,0.5,0.7,0.6,0.8,0.6,45.08,40,13,36.800001,64.4,17.146667,1,1,1001,0
u_mand_factor\set01\u_mand_factor_0.5.py,u_mand_factor,1,u_mand_factor,0.5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,13,46.000002,69.000003,21.433334,1,1,1001,0
u_mand_factor\set01\u_mand_factor_0.6.py,u_mand_factor,1,u_mand_factor,0.6,2,5,5,0.6,0.5,0.7,0.6,1.2,0.4,51.520001,40,13,55.200003,73.600001,25.720002,1,1,1001,0
u_mand_factor\set01\u_mand_factor_0.7.py,u_mand_factor,1,u_mand_factor,0.7,2,5,5,0.7,0.5,0.7,0.6,1.4,0.3,54.739998,40,13,64.399995,78.199997,30.006665,1,1,1001,0
u_mand_factor\set01\u_mand_factor_0.8.py,u_mand_factor,1,u_mand_factor,0.8,2,5,5,0.8,0.5,0.7,0.6,1.6,0.2,57.960002,40,13,73.600001,82.800003,34.293334,1,1,1001,0
u_mand_factor\set01\u_mand_factor_0.9.py,u_mand_factor,1,u_mand_factor,0.9,2,5,5,0.9,0.5,0.7,0.6,1.8,0.1,61.180001,40,13,82.800002,87.400001,38.580001,1,1,1001,0
u_mand_factor\set02\u_mand_factor_0.1.py,u_mand_factor,2,u_mand_factor,0.1,2,5,5,0.1,0.5,0.7,0.6,0.2,0.9,35.420002,40,11,9.200002,50.600002,4.280001,1,0,1002,0
u_mand_factor\set02\u_mand_factor_0.2.py,u_mand_factor,2,u_mand_factor,0.2,2,5,5,0.2,0.5,0.7,0.6,0.4,0.8,38.64,40,11,18.4,55.2,8.56,1,0,1002,0
u_mand_factor\set02\u_mand_factor_0.3.py,u_mand_factor,2,u_mand_factor,0.3,2,5,5,0.3,0.5,0.7,0.6,0.6,0.7,41.859997,40,11,27.599997,59.799995,12.839998,1,1,1002,0
u_mand_factor\set02\u_mand_factor_0.4.py,u_mand_factor,2,u_mand_factor,0.4,2,5,5,0.4,0.5,0.7,0.6,0.8,0.6,45.079996,40,11,36.799999,64.399994,17.119999,1,1,1002,0
u_mand_factor\set02\u_mand_factor_0.5.py,u_mand_factor,2,u_mand_factor,0.5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,11,46.000001,68.999997,21.400001,1,1,1002,0
u_mand_factor\set02\u_mand_factor_0.6.py,u_mand_factor,2,u_mand_factor,0.6,2,5,5,0.6,0.5,0.7,0.6,1.2,0.4,51.520001,40,11,55.199999,73.600001,25.679999,1,1,1002,0
