file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws
u_opt_factor\set00\u_opt_factor_0.1.py,u_opt_factor,0,u_opt_factor,0.1,2,5,5,0.5,0.1,0.7,0.6,1.0,0.1,35.420005,40,13,46.000002,50.600007,22.042858,1,1,1000,0
u_opt_factor\set00\u_opt_factor_0.2.py,u_opt_factor,0,u_opt_factor,0.2,2,5,5,0.5,0.2,0.7,0.6,1.0,0.2,38.640001,40,13,46.000002,55.200001,22.042858,1,1,1000,0
u_opt_factor\set00\u_opt_factor_0.3.py,u_opt_factor,0,u_opt_factor,0.3,2,5,5,0.5,0.3,0.7,0.6,1.0,0.3,41.860002,40,13,46.000002,59.800003,22.042858,1,1,1000,0
u_opt_factor\set00\u_opt_factor_0.4.py,u_opt_factor,0,u_opt_factor,0.4,2,5,5,0.5,0.4,0.7,0.6,1.0,0.4,45.080003,40,13,46.000002,64.400005,22.042858,1,1,1000,0
u_opt_factor\set00\u_opt_factor_0.5.py,u_opt_factor,0,u_opt_factor,0.5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0
u_opt_factor\set00\u_opt_factor_0.6.py,u_opt_factor,0,u_opt_factor,0.6,2,5,5,0.5,0.6,0.7,0.6,1.0,0.6,51.520002,40,13,46.000002,73.600003,22.042858,1,1,1000,0
u_opt_factor\set00\u_opt_factor_0.7.py,u_opt_factor,0,u_opt_factor,0.7,2,5,5,0.5,0.7,0.7,0.6,1.0,0.7,54.740001,40,13,46.000002,78.200001,22.042858,1,1,1000,0
u_opt_factor\set00\u_opt_factor_0.8.py,u_opt_factor,0,u_opt_factor,0.8,2,5,5,0.5,0.8,0.7,0.6,1.0,0.8,57.960003,40,13,46.000002,82.800005,22.042858,1,1,1000,0
u_opt_factor\set00\u_opt_factor_0.9.py,u_opt_factor,0,u_opt_factor,0.9,2,5,5,0.5,0.9,0.7,0.6,1.0,0.9,61.180003,40,13,46.000002,87.400005,22.042858,1,1,1000,0
u_opt_factor\set01\u_opt_factor_0.1.py,u_opt_factor,1,u_opt_factor,0.1,2,5,5,0.5,0.1,0.7,0.6,1.0,0.1,35.420001,40,13,46.000002,50.600001,21.433334,1,1,1001,0
u_opt_factor\set01\u_opt_factor_0.2.py,u_opt_factor,1,u_opt_factor,0.2,2,5,5,0.5,0.2,0.7,0.6,1.0,0.2,38.640003,40,13,46.000002,55.200005,21.433334,1,1,1001,0
u_opt_factor\set01\u_opt_factor_0.3.py,u_opt_factor,1,u_opt_factor,0.3,2,5,5,0.5,0.3,0.7,0.6,1.0,0.3,41.860002,40,13,46.000002,59.800003,21.433334,1,1,1001,0
