file,sweep,regime,set,factor,value,rho,B,n_prc,n_tsk,n_frq,util_per_core,opt_ratio,u_mand_abs,u_opt_abs,H,J,e_mand_fmax,e_full_fmax,feasible,seed,redraws
energy_rho\LL\set00\rho_0.00.py,energy_rho,LL,0,rho,0.00,0.0,36.799998,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set00\rho_0.25.py,energy_rho,LL,0,rho,0.25,0.25,41.399997,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set00\rho_0.50.py,energy_rho,LL,0,rho,0.50,0.5,45.999996,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set00\rho_0.75.py,energy_rho,LL,0,rho,0.75,0.75,50.599995,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set00\rho_1.00.py,energy_rho,LL,0,rho,1.00,1.0,55.199994,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set01\rho_0.00.py,energy_rho,LL,1,rho,0.00,0.0,36.800001,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
energy_rho\LL\set01\rho_0.25.py,energy_rho,LL,1,rho,0.25,0.25,41.400003,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
energy_rho\LL\set01\rho_0.50.py,energy_rho,LL,1,rho,0.50,0.5,46.000005,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
energy_rho\LL\set01\rho_0.75.py,energy_rho,LL,1,rho,0.75,0.75,50.600006,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
energy_rho\LL\set01\rho_1.00.py,energy_rho,LL,1,rho,1.00,1.0,55.200008,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
