file,sweep,regime,set,factor,value,rho,B,n_prc,n_tsk,n_frq,util_per_core,opt_ratio,u_mand_abs,u_opt_abs,H,J,e_mand_fmax,e_full_fmax,feasible,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error
energy_rho\LL\set00\rho_0.00.py,energy_rho,LL,0,rho,0.00,0.0,36.799998,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,ilp_v1,optimal,1,44.17055,36.492081,1.210415,0.1664,0.0,
energy_rho\LL\set00\rho_0.00.py,energy_rho,LL,0,rho,0.00,0.0,36.799998,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,ilp_v2,optimal,1,44.17055,25.679997,1.720037,0.0326,0.0,
energy_rho\LL\set00\rho_0.00.py,energy_rho,LL,0,rho,0.00,0.0,36.799998,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,heuristic_v5b,solved,1,34.93927,36.769188,0.950232,0.0226,,
energy_rho\LL\set00\rho_0.25.py,energy_rho,LL,0,rho,0.25,0.25,41.399997,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,ilp_v1,optimal,1,44.17055,35.354622,1.249357,0.1028,0.0,
energy_rho\LL\set00\rho_0.25.py,energy_rho,LL,0,rho,0.25,0.25,41.399997,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,ilp_v2,optimal,1,44.17055,25.679997,1.720037,0.0213,0.0,
energy_rho\LL\set00\rho_0.25.py,energy_rho,LL,0,rho,0.25,0.25,41.399997,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,heuristic_v5b,solved,1,41.52162,41.358632,1.003941,0.0156,,
energy_rho\LL\set00\rho_0.50.py,energy_rho,LL,0,rho,0.50,0.5,45.999996,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,ilp_v1,optimal,1,44.17055,33.932727,1.301709,0.0967,0.0,
energy_rho\LL\set00\rho_0.50.py,energy_rho,LL,0,rho,0.50,0.5,45.999996,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,ilp_v2,optimal,1,44.17055,25.679997,1.720037,0.0197,0.0,
energy_rho\LL\set00\rho_0.50.py,energy_rho,LL,0,rho,0.50,0.5,45.999996,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,heuristic_v5b,solved,1,43.272871,45.972492,0.941277,0.0114,,
energy_rho\LL\set00\rho_0.75.py,energy_rho,LL,0,rho,0.75,0.75,50.599995,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,ilp_v1,optimal,1,44.17055,34.410601,1.283632,0.1116,0.0,
energy_rho\LL\set00\rho_0.75.py,energy_rho,LL,0,rho,0.75,0.75,50.599995,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,ilp_v2,optimal,1,44.17055,25.679997,1.720037,0.0189,0.0,
energy_rho\LL\set00\rho_0.75.py,energy_rho,LL,0,rho,0.75,0.75,50.599995,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,heuristic_v5b,solved,1,43.606618,50.576955,0.862184,0.009,,
energy_rho\LL\set00\rho_1.00.py,energy_rho,LL,0,rho,1.00,1.0,55.199994,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,ilp_v1,optimal,1,44.17055,34.060259,1.296835,0.0969,0.0,
energy_rho\LL\set00\rho_1.00.py,energy_rho,LL,0,rho,1.00,1.0,55.199994,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,ilp_v2,optimal,1,44.17055,25.679997,1.720037,0.0215,0.0,
energy_rho\LL\set00\rho_1.00.py,energy_rho,LL,0,rho,1.00,1.0,55.199994,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,heuristic_v5b,solved,1,44.17055,55.009858,0.802957,0.0054,,
energy_rho\LL\set01\rho_0.00.py,energy_rho,LL,1,rho,0.00,0.0,36.800001,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0,ilp_v1,optimal,1,65.148625,31.552937,2.06474,0.081,0.0,
energy_rho\LL\set01\rho_0.00.py,energy_rho,LL,1,rho,0.00,0.0,36.800001,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0,ilp_v2,optimal,1,65.148625,25.680004,2.53694,0.0149,0.0,
energy_rho\LL\set01\rho_0.00.py,energy_rho,LL,1,rho,0.00,0.0,36.800001,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0,heuristic_v5b,solved,1,0.0,36.800001,0.0,0.0014,,
energy_rho\LL\set01\rho_0.25.py,energy_rho,LL,1,rho,0.25,0.25,41.400003,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0,ilp_v1,optimal,1,65.148625,39.035906,1.668941,0.071,0.0,
energy_rho\LL\set01\rho_0.25.py,energy_rho,LL,1,rho,0.25,0.25,41.400003,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0,ilp_v2,optimal,1,65.148625,25.680004,2.53694,0.0135,0.0,
energy_rho\LL\set01\rho_0.25.py,energy_rho,LL,1,rho,0.25,0.25,41.400003,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0,heuristic_v5b,solved,1,28.781277,41.383073,0.695484,0.0158,,
energy_rho\LL\set01\rho_0.50.py,energy_rho,LL,1,rho,0.50,0.5,46.000005,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0,ilp_v1,optimal,1,65.148625,28.402765,2.293742,0.0825,0.0,
energy_rho\LL\set01\rho_0.50.py,energy_rho,LL,1,rho,0.50,0.5,46.000005,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0,ilp_v2,optimal,1,65.148625,25.680004,2.53694,0.0164,0.0,
energy_rho\LL\set01\rho_0.50.py,energy_rho,LL,1,rho,0.50,0.5,46.000005,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0,heuristic_v5b,solved,1,49.339717,45.962575,1.073476,0.0132,,
energy_rho\LL\set01\rho_0.75.py,energy_rho,LL,1,rho,0.75,0.75,50.600006,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0,ilp_v1,optimal,1,65.148625,29.281716,2.224891,0.1468,0.0,
energy_rho\LL\set01\rho_0.75.py,energy_rho,LL,1,rho,0.75,0.75,50.600006,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0,ilp_v2,optimal,1,65.148625,25.680004,2.53694,0.0169,0.0,
energy_rho\LL\set01\rho_0.75.py,energy_rho,LL,1,rho,0.75,0.75,50.600006,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0,heuristic_v5b,solved,1,59.260154,50.581814,1.17157,0.011,,
energy_rho\LL\set01\rho_1.00.py,energy_rho,LL,1,rho,1.00,1.0,55.200008,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0,ilp_v1,optimal,1,65.148625,33.297446,1.956565,0.0799,0.0,
energy_rho\LL\set01\rho_1.00.py,energy_rho,LL,1,rho,1.00,1.0,55.200008,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0,ilp_v2,optimal,1,65.148625,25.680004,2.53694,0.0205,0.0,
energy_rho\LL\set01\rho_1.00.py,energy_rho,LL,1,rho,1.00,1.0,55.200008,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0,heuristic_v5b,solved,1,65.148625,54.780585,1.189265,0.0084,,
energy_rho\LL\set00\rho_0.00.py,energy_rho,LL,0,rho,0.00,0.0,36.799998,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,ilp_v2,optimal,1,44.17055,25.679997,1.720037,0.0638,0.0,
energy_rho\LL\set00\rho_0.25.py,energy_rho,LL,0,rho,0.25,0.25,41.399997,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,ilp_v2,optimal,1,44.17055,25.679997,1.720037,0.02,0.0,
energy_rho\LL\set00\rho_0.50.py,energy_rho,LL,0,rho,0.50,0.5,45.999996,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,ilp_v2,optimal,1,44.17055,25.679997,1.720037,0.0191,0.0,
energy_rho\LL\set00\rho_0.75.py,energy_rho,LL,0,rho,0.75,0.75,50.599995,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,ilp_v2,optimal,1,44.17055,25.679997,1.720037,0.022,0.0,
energy_rho\LL\set00\rho_1.00.py,energy_rho,LL,0,rho,1.00,1.0,55.199994,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0,ilp_v2,optimal,1,44.17055,25.679997,1.720037,0.0189,0.0,
energy_rho\LL\set01\rho_0.00.py,energy_rho,LL,1,rho,0.00,0.0,36.800001,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0,ilp_v2,optimal,1,65.148625,25.680004,2.53694,0.0144,0.0,
