file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error,runtime_best,runtime_worst,repeats,censored,nondeterministic
n_frq\set00\n_frq_2.py,n_frq,0,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,11,46.000001,69.0,24.400001,1,1,1000,0,ilp_v2,optimal,1,43.596575,48.217125,0.904172,0.009236,0.0,,0.009236,0.055345,3,0,0
n_frq\set00\n_frq_2.py,n_frq,0,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,11,46.000001,69.0,24.400001,1,1,1000,0,ilp_v3,optimal,1,53.477047,47.999952,1.114106,0.053942,0.0,,0.053942,0.060526,3,0,0
n_frq\set00\n_frq_2.py,n_frq,0,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,11,46.000001,69.0,24.400001,1,1,1000,0,ilp_v4,optimal,1,53.477047,47.999952,1.114106,0.094164,0.0,,0.094164,0.102024,3,0,0
n_frq\set00\n_frq_2.py,n_frq,0,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,11,46.000001,69.0,24.400001,1,1,1000,0,greedy_sps_baseline,solved,1,7.19379,48.128772,0.14947,0.001,,,0.001,0.013482,3,0,0
n_frq\set00\n_frq_3.py,n_frq,0,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,11,46.000001,69.0,24.400001,1,1,1000,0,ilp_v2,optimal,1,47.201465,48.075085,0.981828,0.067218,0.0,,0.067218,0.07527,3,0,0
n_frq\set00\n_frq_3.py,n_frq,0,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,11,46.000001,69.0,24.400001,1,1,1000,0,ilp_v3,optimal,1,61.761488,47.564979,1.298466,0.021348,0.0,,0.021348,0.022733,3,0,0
n_frq\set00\n_frq_3.py,n_frq,0,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,11,46.000001,69.0,24.400001,1,1,1000,0,ilp_v4,optimal,1,61.761488,47.564979,1.298466,0.11401,0.0,,0.11401,0.117199,3,0,0
n_frq\set00\n_frq_3.py,n_frq,0,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,11,46.000001,69.0,24.400001,1,1,1000,0,greedy_sps_baseline,solved,1,7.19379,48.128772,0.14947,0.001073,,,0.001073,0.001195,3,0,0
n_frq\set00\n_frq_5.py,n_frq,0,n_frq,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v2,optimal,1,64.70866,48.292486,1.339932,0.03197,0.0,,0.03197,0.041257,3,0,0
n_frq\set00\n_frq_5.py,n_frq,0,n_frq,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v3,optimal,1,61.915628,47.940817,1.291501,0.05365,0.0,,0.05365,0.061832,3,0,0
n_frq\set00\n_frq_5.py,n_frq,0,n_frq,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v4,optimal,1,67.365432,47.602778,1.415158,0.066794,0.0,,0.066794,0.070068,3,0,0
n_frq\set00\n_frq_5.py,n_frq,0,n_frq,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,greedy_sps_baseline,solved,1,8.364274,48.284027,0.173231,0.001209,,,0.001209,0.001416,3,0,0
n_frq\set00\n_frq_8.py,n_frq,0,n_frq,8,2,5,8,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,10,46.000002,69.000001,22.042858,1,1,1000,0,ilp_v2,optimal,1,42.924736,48.231784,0.889968,0.01068,0.0,,0.01068,0.012213,3,0,0
n_frq\set00\n_frq_8.py,n_frq,0,n_frq,8,2,5,8,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,10,46.000002,69.000001,22.042858,1,1,1000,0,ilp_v3,optimal,1,61.250937,48.212357,1.270441,0.007697,0.0,,0.007697,0.00874,3,0,0
n_frq\set00\n_frq_8.py,n_frq,0,n_frq,8,2,5,8,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,10,46.000002,69.000001,22.042858,1,1,1000,0,ilp_v4,optimal,1,61.250937,48.184693,1.27117,0.021663,0.0,,0.021663,0.023833,3,0,0
n_frq\set00\n_frq_8.py,n_frq,0,n_frq,8,2,5,8,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,10,46.000002,69.000001,22.042858,1,1,1000,0,greedy_sps_baseline,solved,1,7.94582,48.188359,0.164891,0.000447,,,0.000447,0.000553,3,0,0
n_frq\set00\n_frq_12.py,n_frq,0,n_frq,12,2,5,12,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,12,46.000001,69.000007,21.433334,1,1,1000,0,ilp_v2,optimal,1,26.744724,48.277668,0.553977,0.164413,0.0,,0.164413,0.171919,3,0,0
n_frq\set00\n_frq_12.py,n_frq,0,n_frq,12,2,5,12,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,12,46.000001,69.000007,21.433334,1,1,1000,0,ilp_v3,optimal,1,32.639199,48.2097,0.677026,0.139447,0.0,,0.139447,0.153027,3,0,0
n_frq\set00\n_frq_12.py,n_frq,0,n_frq,12,2,5,12,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,12,46.000001,69.000007,21.433334,1,1,1000,0,ilp_v4,optimal,1,32.979276,48.279227,0.683095,0.200579,0.0,,0.200579,0.20293,3,0,0
n_frq\set00\n_frq_12.py,n_frq,0,n_frq,12,2,5,12,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,12,46.000001,69.000007,21.433334,1,1,1000,0,greedy_sps_baseline,solved,1,8.470317,48.159647,0.17588,0.001274,,,0.001274,0.001409,3,0,0
n_frq\set01\n_frq_2.py,n_frq,1,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,12,45.999998,68.999995,23.599999,1,1,1001,0,ilp_v2,optimal,1,30.265868,48.159731,0.628448,0.008521,0.0,,0.008521,0.008663,3,0,0
n_frq\set01\n_frq_2.py,n_frq,1,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,12,45.999998,68.999995,23.599999,1,1,1001,0,ilp_v3,optimal,1,29.846774,48.152783,0.619835,0.005452,0.0,,0.005452,0.005544,3,0,0
n_frq\set01\n_frq_2.py,n_frq,1,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,12,45.999998,68.999995,23.599999,1,1,1001,0,ilp_v4,optimal,1,31.273131,48.091622,0.650282,0.066151,0.0,,0.066151,0.067487,3,0,0
n_frq\set01\n_frq_2.py,n_frq,1,n_frq,2,2,5,2,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,12,45.999998,68.999995,23.599999,1,1,1001,0,greedy_sps_baseline,solved,1,8.798943,48.270015,0.182286,0.000729,,,0.000729,0.001044,3,0,0
n_frq\set01\n_frq_3.py,n_frq,1,n_frq,3,2,5,3,0.5,0.5,0.7,0.6,1.0,0.5,48.299997,40,12,45.999998,68.999995,23.599999,1,1,1001,0,ilp_v2,optimal,1,42.790269,46.726546,0.915759,0.004934,0.0,,0.004934,0.00587,3,0,0
