file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error,runtime_best,runtime_worst,repeats,censored,nondeterministic
n_tsk\set00\n_tsk_3.py,n_tsk,0,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,7,46.0,68.999997,22.042857,1,1,1000,0,ilp_v2,optimal,1,55.001574,48.096283,1.143572,0.010131,0.0,,0.010131,0.010669,3,0,0
n_tsk\set00\n_tsk_3.py,n_tsk,0,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,7,46.0,68.999997,22.042857,1,1,1000,0,ilp_v3,optimal,1,55.001574,47.186163,1.165629,0.006554,0.0,,0.006554,0.007336,3,0,0
n_tsk\set00\n_tsk_3.py,n_tsk,0,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,7,46.0,68.999997,22.042857,1,1,1000,0,ilp_v4,optimal,1,55.001574,47.186163,1.165629,0.016472,0.0,,0.016472,0.016864,3,0,0
n_tsk\set00\n_tsk_3.py,n_tsk,0,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,7,46.0,68.999997,22.042857,1,1,1000,0,greedy_sps_baseline,solved,1,5.116044,47.994008,0.106598,0.000635,,,0.000635,0.00105,3,0,0
n_tsk\set00\n_tsk_4.py,n_tsk,0,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,11,45.999999,69.000007,22.042857,1,1,1000,0,ilp_v2,optimal,1,28.486685,47.853268,0.595292,0.084012,0.0,,0.084012,0.087074,3,0,0
n_tsk\set00\n_tsk_4.py,n_tsk,0,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,11,45.999999,69.000007,22.042857,1,1,1000,0,ilp_v3,optimal,1,28.726481,48.207094,0.595897,0.032787,0.0,,0.032787,0.035566,3,0,0
n_tsk\set00\n_tsk_4.py,n_tsk,0,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,11,45.999999,69.000007,22.042857,1,1,1000,0,ilp_v4,optimal,1,30.746305,48.187375,0.638057,0.062438,0.0,,0.062438,0.070598,3,0,0
n_tsk\set00\n_tsk_4.py,n_tsk,0,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300005,40,11,45.999999,69.000007,22.042857,1,1,1000,0,greedy_sps_baseline,solved,1,3.305498,48.107162,0.068711,0.000916,,,0.000916,0.00105,3,0,0
n_tsk\set00\n_tsk_5.py,n_tsk,0,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v2,optimal,1,64.70866,48.292486,1.339932,0.025026,0.0,,0.025026,0.028324,3,0,0
n_tsk\set00\n_tsk_5.py,n_tsk,0,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v3,optimal,1,61.915628,47.940817,1.291501,0.052372,0.0,,0.052372,0.055934,3,0,0
n_tsk\set00\n_tsk_5.py,n_tsk,0,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v4,optimal,1,67.365432,47.602778,1.415158,0.059314,0.0,,0.059314,0.064935,3,0,0
n_tsk\set00\n_tsk_5.py,n_tsk,0,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,greedy_sps_baseline,solved,1,8.364274,48.284027,0.173231,0.000861,,,0.000861,0.000973,3,0,0
n_tsk\set01\n_tsk_3.py,n_tsk,1,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,7,46.0,69.000002,21.433333,1,1,1001,0,ilp_v2,optimal,1,63.086839,48.266302,1.307058,0.005488,0.0,,0.005488,0.0063,3,0,0
n_tsk\set01\n_tsk_3.py,n_tsk,1,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,7,46.0,69.000002,21.433333,1,1,1001,0,ilp_v3,optimal,1,53.3672,48.151247,1.108324,0.007956,0.0,,0.007956,0.00856,3,0,0
n_tsk\set01\n_tsk_3.py,n_tsk,1,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,7,46.0,69.000002,21.433333,1,1,1001,0,ilp_v4,optimal,1,63.086839,48.266302,1.307058,0.019551,0.0,,0.019551,0.021131,3,0,0
n_tsk\set01\n_tsk_3.py,n_tsk,1,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,7,46.0,69.000002,21.433333,1,1,1001,0,greedy_sps_baseline,solved,1,9.427611,48.25997,0.195351,0.000453,,,0.000453,0.000713,3,0,0
n_tsk\set01\n_tsk_4.py,n_tsk,1,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,11,46.000002,68.999999,21.433334,1,1,1001,0,ilp_v2,optimal,1,55.71619,48.225756,1.15532,0.030314,0.0,,0.030314,0.034022,3,0,0
n_tsk\set01\n_tsk_4.py,n_tsk,1,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,11,46.000002,68.999999,21.433334,1,1,1001,0,ilp_v3,optimal,1,54.794232,48.272247,1.135108,0.063246,0.0,,0.063246,0.073065,3,0,0
n_tsk\set01\n_tsk_4.py,n_tsk,1,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,11,46.000002,68.999999,21.433334,1,1,1001,0,ilp_v4,optimal,1,55.71619,48.225756,1.15532,0.042613,0.0,,0.042613,0.050167,3,0,0
n_tsk\set01\n_tsk_4.py,n_tsk,1,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,11,46.000002,68.999999,21.433334,1,1,1001,0,greedy_sps_baseline,solved,1,7.782797,47.902118,0.162473,0.000841,,,0.000841,0.001234,3,0,0
n_tsk\set01\n_tsk_5.py,n_tsk,1,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300007,40,13,46.000002,69.00001,21.433334,1,1,1001,0,ilp_v2,optimal,1,44.434702,48.263013,0.920678,0.028822,0.0,,0.028822,0.030258,3,0,0
n_tsk\set01\n_tsk_5.py,n_tsk,1,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300007,40,13,46.000002,69.00001,21.433334,1,1,1001,0,ilp_v3,optimal,1,38.281158,48.280096,0.792897,0.16149,0.0,,0.16149,0.167326,3,0,0
n_tsk\set01\n_tsk_5.py,n_tsk,1,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300007,40,13,46.000002,69.00001,21.433334,1,1,1001,0,ilp_v4,optimal,1,45.172125,48.226295,0.93667,0.109546,0.0,,0.109546,0.122213,3,0,0
n_tsk\set01\n_tsk_5.py,n_tsk,1,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300007,40,13,46.000002,69.00001,21.433334,1,1,1001,0,greedy_sps_baseline,solved,1,6.057065,48.182155,0.125712,0.003236,,,0.003236,0.003315,3,0,0
n_tsk\set02\n_tsk_3.py,n_tsk,2,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300006,40,7,46.000003,69.000008,21.400002,1,1,1002,0,ilp_v2,optimal,1,33.244879,48.282635,0.688547,0.009421,0.0,,0.009421,0.010712,3,0,0
n_tsk\set02\n_tsk_3.py,n_tsk,2,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300006,40,7,46.000003,69.000008,21.400002,1,1,1002,0,ilp_v3,optimal,1,29.209533,48.121868,0.606991,0.007771,0.0,,0.007771,0.008319,3,0,0
n_tsk\set02\n_tsk_3.py,n_tsk,2,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300006,40,7,46.000003,69.000008,21.400002,1,1,1002,0,ilp_v4,optimal,1,40.816993,45.663174,0.893871,0.021737,0.0,,0.021737,0.023483,3,0,0
n_tsk\set02\n_tsk_3.py,n_tsk,2,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300006,40,7,46.000003,69.000008,21.400002,1,1,1002,0,greedy_sps_baseline,solved,1,5.768908,48.27839,0.119493,0.000505,,,0.000505,0.000768,3,0,0
n_tsk\set02\n_tsk_4.py,n_tsk,2,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,9,46.0,68.999997,21.4,1,1,1002,0,ilp_v2,optimal,1,57.645259,48.219681,1.195472,0.008613,0.0,,0.008613,0.00958,3,0,0
n_tsk\set02\n_tsk_4.py,n_tsk,2,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,9,46.0,68.999997,21.4,1,1,1002,0,ilp_v3,optimal,1,55.531587,48.295655,1.149826,0.014066,6.7e-05,,0.014066,0.014503,3,0,0
n_tsk\set02\n_tsk_4.py,n_tsk,2,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,9,46.0,68.999997,21.4,1,1,1002,0,ilp_v4,optimal,1,57.056627,47.822248,1.193098,0.060533,0.0,,0.060533,0.082959,3,0,0
n_tsk\set02\n_tsk_4.py,n_tsk,2,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,9,46.0,68.999997,21.4,1,1,1002,0,greedy_sps_baseline,solved,1,3.565285,48.244515,0.0739,0.001127,,,0.001127,0.001258,3,0,0
n_tsk\set02\n_tsk_5.py,n_tsk,2,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,11,46.000001,69.000001,21.400001,1,1,1002,0,ilp_v2,optimal,1,68.404718,47.739505,1.432874,0.01339,0.0,,0.01339,0.013999,3,0,0
n_tsk\set02\n_tsk_5.py,n_tsk,2,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,11,46.000001,69.000001,21.400001,1,1,1002,0,ilp_v3,optimal,1,60.599474,48.298349,1.25469,0.019423,5.8e-05,,0.019423,0.020428,3,0,0
n_tsk\set02\n_tsk_5.py,n_tsk,2,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,11,46.000001,69.000001,21.400001,1,1,1002,0,ilp_v4,optimal,1,69.490474,47.197065,1.472347,0.033321,0.0,,0.033321,0.039893,3,0,0
n_tsk\set02\n_tsk_5.py,n_tsk,2,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,11,46.000001,69.000001,21.400001,1,1,1002,0,greedy_sps_baseline,solved,1,8.500133,48.282551,0.17605,0.001359,,,0.001359,0.002653,3,0,0
n_tsk\set03\n_tsk_3.py,n_tsk,3,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,7,45.999998,69.000001,21.433332,1,1,1003,0,ilp_v2,optimal,1,37.474446,48.205482,0.77739,0.006571,0.0,,0.006571,0.007486,3,0,0
n_tsk\set03\n_tsk_3.py,n_tsk,3,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,7,45.999998,69.000001,21.433332,1,1,1003,0,ilp_v3,optimal,1,37.474446,48.114909,0.778853,0.007609,0.0,,0.007609,0.008621,3,0,0
n_tsk\set03\n_tsk_3.py,n_tsk,3,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,7,45.999998,69.000001,21.433332,1,1,1003,0,ilp_v4,optimal,1,38.302336,45.435914,0.842997,0.017154,0.0,,0.017154,0.018072,3,0,0
n_tsk\set03\n_tsk_3.py,n_tsk,3,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,7,45.999998,69.000001,21.433332,1,1,1003,0,greedy_sps_baseline,solved,1,9.152161,48.290777,0.189522,0.00058,,,0.00058,0.000861,3,0,0
n_tsk\set03\n_tsk_4.py,n_tsk,3,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,8,45.999999,68.999999,21.433333,1,1,1003,0,ilp_v2,optimal,1,45.265478,48.058773,0.941878,0.028993,0.0,,0.028993,0.033286,3,0,0
n_tsk\set03\n_tsk_4.py,n_tsk,3,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,8,45.999999,68.999999,21.433333,1,1,1003,0,ilp_v3,optimal,1,44.842028,47.593311,0.942192,0.013151,0.0,,0.013151,0.013692,3,0,0
n_tsk\set03\n_tsk_4.py,n_tsk,3,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,8,45.999999,68.999999,21.433333,1,1,1003,0,ilp_v4,optimal,1,45.265478,48.058773,0.941878,0.035048,0.0,,0.035048,0.037755,3,0,0
n_tsk\set03\n_tsk_4.py,n_tsk,3,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,8,45.999999,68.999999,21.433333,1,1,1003,0,greedy_sps_baseline,solved,1,7.603281,48.16801,0.157849,0.000543,,,0.000543,0.000681,3,0,0
n_tsk\set03\n_tsk_5.py,n_tsk,3,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,10,46.0,68.999999,21.433333,1,1,1003,0,ilp_v2,optimal,1,65.652181,48.288722,1.359576,0.019412,0.0,,0.019412,0.020942,3,0,0
n_tsk\set03\n_tsk_5.py,n_tsk,3,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,10,46.0,68.999999,21.433333,1,1,1003,0,ilp_v3,optimal,1,62.894954,48.298718,1.302208,0.052843,0.0,,0.052843,0.057775,3,0,0
n_tsk\set03\n_tsk_5.py,n_tsk,3,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,10,46.0,68.999999,21.433333,1,1,1003,0,ilp_v4,optimal,1,65.814743,48.274164,1.363353,0.042605,0.0,,0.042605,0.048002,3,0,0
n_tsk\set03\n_tsk_5.py,n_tsk,3,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,10,46.0,68.999999,21.433333,1,1,1003,0,greedy_sps_baseline,solved,1,3.970118,48.2699,0.082248,0.000694,,,0.000694,0.000799,3,0,0
n_tsk\set04\n_tsk_3.py,n_tsk,4,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300004,40,7,46.000002,69.000006,22.042858,1,1,1004,0,ilp_v2,optimal,1,29.903551,48.16639,0.620839,0.005527,0.0,,0.005527,0.006431,3,0,0
n_tsk\set04\n_tsk_3.py,n_tsk,4,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300004,40,7,46.000002,69.000006,22.042858,1,1,1004,0,ilp_v3,optimal,1,29.903551,48.16639,0.620839,0.005421,0.0,,0.005421,0.005862,3,0,0
n_tsk\set04\n_tsk_3.py,n_tsk,4,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300004,40,7,46.000002,69.000006,22.042858,1,1,1004,0,ilp_v4,optimal,1,35.844335,48.281674,0.7424,0.013344,0.0,,0.013344,0.013981,3,0,0
n_tsk\set04\n_tsk_3.py,n_tsk,4,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300004,40,7,46.000002,69.000006,22.042858,1,1,1004,0,greedy_sps_baseline,solved,1,7.605999,48.064703,0.158245,0.000384,,,0.000384,0.00051,3,0,0
