file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws
rho\set00\rho_0.2.py,rho,0,rho,0.2,2,5,5,0.5,0.5,0.2,0.6,1.0,0.5,13.800001,40,13,46.000002,69.000005,22.042858,1,1,1000,0
rho\set00\rho_0.3.py,rho,0,rho,0.3,2,5,5,0.5,0.5,0.3,0.6,1.0,0.5,20.700001,40,13,46.000002,69.000005,22.042858,1,1,1000,0
rho\set00\rho_0.4.py,rho,0,rho,0.4,2,5,5,0.5,0.5,0.4,0.6,1.0,0.5,27.600002,40,13,46.000002,69.000005,22.042858,1,1,1000,0
rho\set00\rho_0.5.py,rho,0,rho,0.5,2,5,5,0.5,0.5,0.5,0.6,1.0,0.5,34.500002,40,13,46.000002,69.000005,22.042858,1,1,1000,0
rho\set00\rho_0.6.py,rho,0,rho,0.6,2,5,5,0.5,0.5,0.6,0.6,1.0,0.5,41.400003,40,13,46.000002,69.000005,22.042858,1,1,1000,0
rho\set00\rho_0.7.py,rho,0,rho,0.7,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0
rho\set00\rho_0.8.py,rho,0,rho,0.8,2,5,5,0.5,0.5,0.8,0.6,1.0,0.5,55.200004,40,13,46.000002,69.000005,22.042858,1,1,1000,0
rho\set00\rho_0.9.py,rho,0,rho,0.9,2,5,5,0.5,0.5,0.9,0.6,1.0,0.5,62.100004,40,13,46.000002,69.000005,22.042858,1,1,1000,0
rho\set00\rho_1.py,rho,0,rho,1,2,5,5,0.5,0.5,1.0,0.6,1.0,0.5,69.000005,40,13,46.000002,69.000005,22.042858,1,1,1000,0
rho\set01\rho_0.2.py,rho,1,rho,0.2,2,5,5,0.5,0.5,0.2,0.6,1.0,0.5,13.800002,40,13,46.000002,69.00001,21.433334,1,1,1001,0
rho\set01\rho_0.3.py,rho,1,rho,0.3,2,5,5,0.5,0.5,0.3,0.6,1.0,0.5,20.700003,40,13,46.000002,69.00001,21.433334,1,1,1001,0
