file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error,runtime_best,runtime_worst,repeats,censored,nondeterministic
rho\set00\rho_0.2.py,rho,0,rho,0.2,2,5,5,0.5,0.5,0.2,0.6,1.0,0.5,13.800001,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v2,infeasible,0,,,,0.002681,,,0.002681,0.00332,3,0,0
rho\set00\rho_0.2.py,rho,0,rho,0.2,2,5,5,0.5,0.5,0.2,0.6,1.0,0.5,13.800001,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v3,infeasible,0,,,,0.002754,,,0.002754,0.003263,3,0,0
rho\set00\rho_0.2.py,rho,0,rho,0.2,2,5,5,0.5,0.5,0.2,0.6,1.0,0.5,13.800001,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v4,infeasible,0,,,,0.002819,,,0.002819,0.003281,3,0,0
rho\set00\rho_0.2.py,rho,0,rho,0.2,2,5,5,0.5,0.5,0.2,0.6,1.0,0.5,13.800001,40,13,46.000002,69.000005,22.042858,1,1,1000,0,greedy_sps_baseline,infeasible,0,,46.000002,,0.00053,,over budget: E=46.0000 > B=13.8000,0.00053,0.000989,3,0,0
rho\set00\rho_0.3.py,rho,0,rho,0.3,2,5,5,0.5,0.5,0.3,0.6,1.0,0.5,20.700001,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v2,infeasible,0,,,,0.002612,,,0.002612,0.003038,3,0,0
rho\set00\rho_0.3.py,rho,0,rho,0.3,2,5,5,0.5,0.5,0.3,0.6,1.0,0.5,20.700001,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v3,infeasible,0,,,,0.002633,,,0.002633,0.003243,3,0,0
rho\set00\rho_0.3.py,rho,0,rho,0.3,2,5,5,0.5,0.5,0.3,0.6,1.0,0.5,20.700001,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v4,infeasible,0,,,,0.002755,,,0.002755,0.003128,3,0,0
rho\set00\rho_0.3.py,rho,0,rho,0.3,2,5,5,0.5,0.5,0.3,0.6,1.0,0.5,20.700001,40,13,46.000002,69.000005,22.042858,1,1,1000,0,greedy_sps_baseline,infeasible,0,,46.000002,,0.000332,,over budget: E=46.0000 > B=20.7000,0.000332,0.000421,3,0,0
rho\set00\rho_0.4.py,rho,0,rho,0.4,2,5,5,0.5,0.5,0.4,0.6,1.0,0.5,27.600002,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v2,optimal,1,17.295802,27.515445,0.628585,0.014679,0.0,,0.014679,0.014824,3,0,0
rho\set00\rho_0.4.py,rho,0,rho,0.4,2,5,5,0.5,0.5,0.4,0.6,1.0,0.5,27.600002,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v3,optimal,1,17.295802,27.515445,0.628585,0.014361,0.0,,0.014361,0.014912,3,0,0
rho\set00\rho_0.4.py,rho,0,rho,0.4,2,5,5,0.5,0.5,0.4,0.6,1.0,0.5,27.600002,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v4,optimal,1,21.226414,27.594223,0.769234,0.191706,0.0,,0.191706,0.192695,3,0,0
rho\set00\rho_0.4.py,rho,0,rho,0.4,2,5,5,0.5,0.5,0.4,0.6,1.0,0.5,27.600002,40,13,46.000002,69.000005,22.042858,1,1,1000,0,greedy_sps_baseline,infeasible,0,,46.000002,,0.000332,,over budget: E=46.0000 > B=27.6000,0.000332,0.000443,3,0,0
rho\set00\rho_0.5.py,rho,0,rho,0.5,2,5,5,0.5,0.5,0.5,0.6,1.0,0.5,34.500002,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v2,optimal,1,37.439498,34.486117,1.08564,0.158419,0.0,,0.158419,0.165509,3,0,0
rho\set00\rho_0.5.py,rho,0,rho,0.5,2,5,5,0.5,0.5,0.5,0.6,1.0,0.5,34.500002,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v3,optimal,1,36.966056,34.432134,1.073592,0.136969,0.0,,0.136969,0.14174,3,0,0
