file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error,runtime_best,runtime_worst,repeats,censored,nondeterministic
xi\set00\xi_0.3.py,xi,0,xi,0.3,2,5,5,0.5,0.5,0.7,0.3,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v2,optimal,1,64.70866,48.292486,1.339932,0.026027,0.0,,0.026027,0.028131,3,0,0
xi\set00\xi_0.3.py,xi,0,xi,0.3,2,5,5,0.5,0.5,0.7,0.3,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v3,optimal,1,61.915628,47.940817,1.291501,0.052271,0.0,,0.052271,0.059307,3,0,0
xi\set00\xi_0.3.py,xi,0,xi,0.3,2,5,5,0.5,0.5,0.7,0.3,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v4,optimal,1,67.365432,47.602778,1.415158,0.065941,0.0,,0.065941,0.078327,3,0,0
xi\set00\xi_0.3.py,xi,0,xi,0.3,2,5,5,0.5,0.5,0.7,0.3,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,greedy_sps_baseline,solved,1,8.364274,48.284027,0.173231,0.000948,,,0.000948,0.001049,3,0,0
xi\set00\xi_0.4.py,xi,0,xi,0.4,2,5,5,0.5,0.5,0.7,0.4,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v2,optimal,1,64.70866,48.292486,1.339932,0.025812,0.0,,0.025812,0.027628,3,0,0
xi\set00\xi_0.4.py,xi,0,xi,0.4,2,5,5,0.5,0.5,0.7,0.4,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v3,optimal,1,61.915628,47.940817,1.291501,0.051168,0.0,,0.051168,0.056263,3,0,0
xi\set00\xi_0.4.py,xi,0,xi,0.4,2,5,5,0.5,0.5,0.7,0.4,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v4,optimal,1,67.365432,47.602778,1.415158,0.069791,0.0,,0.069791,0.078654,3,0,0
xi\set00\xi_0.4.py,xi,0,xi,0.4,2,5,5,0.5,0.5,0.7,0.4,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,greedy_sps_baseline,solved,1,8.364274,48.284027,0.173231,0.001028,,,0.001028,0.001182,3,0,0
xi\set00\xi_0.5.py,xi,0,xi,0.5,2,5,5,0.5,0.5,0.7,0.5,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v2,optimal,1,64.70866,48.292486,1.339932,0.025321,0.0,,0.025321,0.0287,3,0,0
xi\set00\xi_0.5.py,xi,0,xi,0.5,2,5,5,0.5,0.5,0.7,0.5,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v3,optimal,1,61.915628,47.940817,1.291501,0.054689,0.0,,0.054689,0.067454,3,0,0
xi\set00\xi_0.5.py,xi,0,xi,0.5,2,5,5,0.5,0.5,0.7,0.5,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v4,optimal,1,67.365432,47.602778,1.415158,0.072563,0.0,,0.072563,0.089407,3,0,0
xi\set00\xi_0.5.py,xi,0,xi,0.5,2,5,5,0.5,0.5,0.7,0.5,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,greedy_sps_baseline,solved,1,8.364274,48.284027,0.173231,0.001061,,,0.001061,0.001453,3,0,0
xi\set00\xi_0.6.py,xi,0,xi,0.6,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v2,optimal,1,64.70866,48.292486,1.339932,0.024282,0.0,,0.024282,0.029438,3,0,0
xi\set00\xi_0.6.py,xi,0,xi,0.6,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v3,optimal,1,61.915628,47.940817,1.291501,0.054736,0.0,,0.054736,0.06214,3,0,0
