file,sweep,regime,set,factor,value,rho,B,n_prc,n_tsk,n_frq,util_per_core,opt_ratio,u_mand_abs,u_opt_abs,H,J,e_mand_fmax,e_full_fmax,feasible,seed,redraws
energy_rho\LL\set00\rho_0.00.py,energy_rho,LL,0,rho,0.00,0.0,36.799998,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set00\rho_0.10.py,energy_rho,LL,0,rho,0.10,0.1,38.639997,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set00\rho_0.20.py,energy_rho,LL,0,rho,0.20,0.2,40.479997,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set00\rho_0.30.py,energy_rho,LL,0,rho,0.30,0.3,42.319997,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set00\rho_0.40.py,energy_rho,LL,0,rho,0.40,0.4,44.159996,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set00\rho_0.50.py,energy_rho,LL,0,rho,0.50,0.5,45.999996,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set00\rho_0.60.py,energy_rho,LL,0,rho,0.60,0.6,47.839996,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set00\rho_0.70.py,energy_rho,LL,0,rho,0.70,0.7,49.679995,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set00\rho_0.80.py,energy_rho,LL,0,rho,0.80,0.8,51.519995,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set00\rho_0.90.py,energy_rho,LL,0,rho,0.90,0.9,53.359995,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set00\rho_1.00.py,energy_rho,LL,0,rho,1.00,1.0,55.199994,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set00\rho_1.10.py,energy_rho,LL,0,rho,1.10,1.1,57.039994,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set00\rho_1.20.py,energy_rho,LL,0,rho,1.20,1.2,58.879994,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set00\rho_1.30.py,energy_rho,LL,0,rho,1.30,1.3,60.719993,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set00\rho_1.40.py,energy_rho,LL,0,rho,1.40,1.4,62.559993,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set00\rho_1.50.py,energy_rho,LL,0,rho,1.50,1.5,64.399993,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
energy_rho\LL\set01\rho_0.00.py,energy_rho,LL,1,rho,0.00,0.0,36.800001,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
energy_rho\LL\set01\rho_0.10.py,energy_rho,LL,1,rho,0.10,0.1,38.640002,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
energy_rho\LL\set01\rho_0.20.py,energy_rho,LL,1,rho,0.20,0.2,40.480003,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
energy_rho\LL\set01\rho_0.30.py,energy_rho,LL,1,rho,0.30,0.3,42.320003,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
