file,sweep,regime,set,factor,value,rho,B,n_prc,n_tsk,n_frq,util_per_core,opt_ratio,u_mand_abs,u_opt_abs,H,J,e_mand_fmax,e_full_fmax,feasible,seed,redraws
freq\LL\set00\n_frq_2.py,freq,LL,0,n_frq,2,1.0,55.199994,2,8,2,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
freq\LL\set00\n_frq_3.py,freq,LL,0,n_frq,3,1.0,55.199994,2,8,3,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
freq\LL\set00\n_frq_4.py,freq,LL,0,n_frq,4,1.0,55.199994,2,8,4,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
freq\LL\set00\n_frq_8.py,freq,LL,0,n_frq,8,1.0,55.199994,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
freq\LL\set00\n_frq_16.py,freq,LL,0,n_frq,16,1.0,55.199994,2,8,16,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
freq\LL\set01\n_frq_2.py,freq,LL,1,n_frq,2,1.0,55.200008,2,8,2,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
freq\LL\set01\n_frq_3.py,freq,LL,1,n_frq,3,1.0,55.200008,2,8,3,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
freq\LL\set01\n_frq_4.py,freq,LL,1,n_frq,4,1.0,55.200008,2,8,4,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
freq\LL\set01\n_frq_8.py,freq,LL,1,n_frq,8,1.0,55.200008,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
freq\LL\set01\n_frq_16.py,freq,LL,1,n_frq,16,1.0,55.200008,2,8,16,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
freq\LL\set02\n_frq_2.py,freq,LL,2,n_frq,2,1.0,55.200001,2,8,2,0.2,0.5,0.4,0.2,80,32,36.799999,55.200001,1,1002,0
freq\LL\set02\n_frq_3.py,freq,LL,2,n_frq,3,1.0,55.200001,2,8,3,0.2,0.5,0.4,0.2,80,32,36.799999,55.200001,1,1002,0
freq\LL\set02\n_frq_4.py,freq,LL,2,n_frq,4,1.0,55.200001,2,8,4,0.2,0.5,0.4,0.2,80,32,36.799999,55.200001,1,1002,0
freq\LL\set02\n_frq_8.py,freq,LL,2,n_frq,8,1.0,55.200001,2,8,8,0.2,0.5,0.4,0.2,80,32,36.799999,55.200001,1,1002,0
freq\LL\set02\n_frq_16.py,freq,LL,2,n_frq,16,1.0,55.200001,2,8,16,0.2,0.5,0.4,0.2,80,32,36.799999,55.200001,1,1002,0
freq\LL\set03\n_frq_2.py,freq,LL,3,n_frq,2,1.0,55.200002,2,8,2,0.2,0.5,0.4,0.2,80,27,36.800003,55.200002,1,1003,0
freq\LL\set03\n_frq_3.py,freq,LL,3,n_frq,3,1.0,55.200002,2,8,3,0.2,0.5,0.4,0.2,80,27,36.800003,55.200002,1,1003,0
freq\LL\set03\n_frq_4.py,freq,LL,3,n_frq,4,1.0,55.200002,2,8,4,0.2,0.5,0.4,0.2,80,27,36.800003,55.200002,1,1003,0
freq\LL\set03\n_frq_8.py,freq,LL,3,n_frq,8,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800003,55.200002,1,1003,0
freq\LL\set03\n_frq_16.py,freq,LL,3,n_frq,16,1.0,55.200002,2,8,16,0.2,0.5,0.4,0.2,80,27,36.800003,55.200002,1,1003,0
freq\LL\set04\n_frq_2.py,freq,LL,4,n_frq,2,1.0,55.199991,2,8,2,0.2,0.5,0.4,0.2,80,33,36.799998,55.199991,1,1004,0
freq\LL\set04\n_frq_3.py,freq,LL,4,n_frq,3,1.0,55.199991,2,8,3,0.2,0.5,0.4,0.2,80,33,36.799998,55.199991,1,1004,0
freq\LL\set04\n_frq_4.py,freq,LL,4,n_frq,4,1.0,55.199991,2,8,4,0.2,0.5,0.4,0.2,80,33,36.799998,55.199991,1,1004,0
freq\LL\set04\n_frq_8.py,freq,LL,4,n_frq,8,1.0,55.199991,2,8,8,0.2,0.5,0.4,0.2,80,33,36.799998,55.199991,1,1004,0
freq\LL\set04\n_frq_16.py,freq,LL,4,n_frq,16,1.0,55.199991,2,8,16,0.2,0.5,0.4,0.2,80,33,36.799998,55.199991,1,1004,0
freq\LL\set05\n_frq_2.py,freq,LL,5,n_frq,2,1.0,55.200002,2,8,2,0.2,0.5,0.4,0.2,80,30,36.800006,55.200002,1,1005,0
freq\LL\set05\n_frq_3.py,freq,LL,5,n_frq,3,1.0,55.200002,2,8,3,0.2,0.5,0.4,0.2,80,30,36.800006,55.200002,1,1005,0
freq\LL\set05\n_frq_4.py,freq,LL,5,n_frq,4,1.0,55.200002,2,8,4,0.2,0.5,0.4,0.2,80,30,36.800006,55.200002,1,1005,0
freq\LL\set05\n_frq_8.py,freq,LL,5,n_frq,8,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800006,55.200002,1,1005,0
freq\LL\set05\n_frq_16.py,freq,LL,5,n_frq,16,1.0,55.200002,2,8,16,0.2,0.5,0.4,0.2,80,30,36.800006,55.200002,1,1005,0
freq\LL\set06\n_frq_2.py,freq,LL,6,n_frq,2,1.0,55.2,2,8,2,0.2,0.5,0.4,0.2,80,30,36.799994,55.2,1,1006,0
freq\LL\set06\n_frq_3.py,freq,LL,6,n_frq,3,1.0,55.2,2,8,3,0.2,0.5,0.4,0.2,80,30,36.799994,55.2,1,1006,0
freq\LL\set06\n_frq_4.py,freq,LL,6,n_frq,4,1.0,55.2,2,8,4,0.2,0.5,0.4,0.2,80,30,36.799994,55.2,1,1006,0
freq\LL\set06\n_frq_8.py,freq,LL,6,n_frq,8,1.0,55.2,2,8,8,0.2,0.5,0.4,0.2,80,30,36.799994,55.2,1,1006,0
freq\LL\set06\n_frq_16.py,freq,LL,6,n_frq,16,1.0,55.2,2,8,16,0.2,0.5,0.4,0.2,80,30,36.799994,55.2,1,1006,0
freq\LL\set07\n_frq_2.py,freq,LL,7,n_frq,2,1.0,55.200009,2,8,2,0.2,0.5,0.4,0.2,80,36,36.800005,55.200009,1,1007,0
freq\LL\set07\n_frq_3.py,freq,LL,7,n_frq,3,1.0,55.200009,2,8,3,0.2,0.5,0.4,0.2,80,36,36.800005,55.200009,1,1007,0
freq\LL\set07\n_frq_4.py,freq,LL,7,n_frq,4,1.0,55.200009,2,8,4,0.2,0.5,0.4,0.2,80,36,36.800005,55.200009,1,1007,0
freq\LL\set07\n_frq_8.py,freq,LL,7,n_frq,8,1.0,55.200009,2,8,8,0.2,0.5,0.4,0.2,80,36,36.800005,55.200009,1,1007,0
freq\LL\set07\n_frq_16.py,freq,LL,7,n_frq,16,1.0,55.200009,2,8,16,0.2,0.5,0.4,0.2,80,36,36.800005,55.200009,1,1007,0
freq\LL\set08\n_frq_2.py,freq,LL,8,n_frq,2,1.0,55.200013,2,8,2,0.2,0.5,0.4,0.2,80,37,36.8,55.200013,1,1008,0
freq\LL\set08\n_frq_3.py,freq,LL,8,n_frq,3,1.0,55.200013,2,8,3,0.2,0.5,0.4,0.2,80,37,36.8,55.200013,1,1008,0
freq\LL\set08\n_frq_4.py,freq,LL,8,n_frq,4,1.0,55.200013,2,8,4,0.2,0.5,0.4,0.2,80,37,36.8,55.200013,1,1008,0
freq\LL\set08\n_frq_8.py,freq,LL,8,n_frq,8,1.0,55.200013,2,8,8,0.2,0.5,0.4,0.2,80,37,36.8,55.200013,1,1008,0
freq\LL\set08\n_frq_16.py,freq,LL,8,n_frq,16,1.0,55.200013,2,8,16,0.2,0.5,0.4,0.2,80,37,36.8,55.200013,1,1008,0
freq\LL\set09\n_frq_2.py,freq,LL,9,n_frq,2,1.0,55.200005,2,8,2,0.2,0.5,0.4,0.2,80,33,36.800002,55.200005,1,1009,0
freq\LL\set09\n_frq_3.py,freq,LL,9,n_frq,3,1.0,55.200005,2,8,3,0.2,0.5,0.4,0.2,80,33,36.800002,55.200005,1,1009,0
freq\LL\set09\n_frq_4.py,freq,LL,9,n_frq,4,1.0,55.200005,2,8,4,0.2,0.5,0.4,0.2,80,33,36.800002,55.200005,1,1009,0
freq\LL\set09\n_frq_8.py,freq,LL,9,n_frq,8,1.0,55.200005,2,8,8,0.2,0.5,0.4,0.2,80,33,36.800002,55.200005,1,1009,0
freq\LL\set09\n_frq_16.py,freq,LL,9,n_frq,16,1.0,55.200005,2,8,16,0.2,0.5,0.4,0.2,80,33,36.800002,55.200005,1,1009,0
freq\LL\set10\n_frq_2.py,freq,LL,10,n_frq,2,1.0,55.200007,2,8,2,0.2,0.5,0.4,0.2,80,31,36.8,55.200007,1,1010,0
freq\LL\set10\n_frq_3.py,freq,LL,10,n_frq,3,1.0,55.200007,2,8,3,0.2,0.5,0.4,0.2,80,31,36.8,55.200007,1,1010,0
freq\LL\set10\n_frq_4.py,freq,LL,10,n_frq,4,1.0,55.200007,2,8,4,0.2,0.5,0.4,0.2,80,31,36.8,55.200007,1,1010,0
freq\LL\set10\n_frq_8.py,freq,LL,10,n_frq,8,1.0,55.200007,2,8,8,0.2,0.5,0.4,0.2,80,31,36.8,55.200007,1,1010,0
freq\LL\set10\n_frq_16.py,freq,LL,10,n_frq,16,1.0,55.200007,2,8,16,0.2,0.5,0.4,0.2,80,31,36.8,55.200007,1,1010,0
freq\LL\set11\n_frq_2.py,freq,LL,11,n_frq,2,1.0,55.200017,2,8,2,0.2,0.5,0.4,0.2,80,30,36.800005,55.200017,1,1011,0
freq\LL\set11\n_frq_3.py,freq,LL,11,n_frq,3,1.0,55.200017,2,8,3,0.2,0.5,0.4,0.2,80,30,36.800005,55.200017,1,1011,0
freq\LL\set11\n_frq_4.py,freq,LL,11,n_frq,4,1.0,55.200017,2,8,4,0.2,0.5,0.4,0.2,80,30,36.800005,55.200017,1,1011,0
freq\LL\set11\n_frq_8.py,freq,LL,11,n_frq,8,1.0,55.200017,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800005,55.200017,1,1011,0
freq\LL\set11\n_frq_16.py,freq,LL,11,n_frq,16,1.0,55.200017,2,8,16,0.2,0.5,0.4,0.2,80,30,36.800005,55.200017,1,1011,0
freq\LL\set12\n_frq_2.py,freq,LL,12,n_frq,2,1.0,55.199997,2,8,2,0.2,0.5,0.4,0.2,80,25,36.799998,55.199997,1,1012,0
freq\LL\set12\n_frq_3.py,freq,LL,12,n_frq,3,1.0,55.199997,2,8,3,0.2,0.5,0.4,0.2,80,25,36.799998,55.199997,1,1012,0
freq\LL\set12\n_frq_4.py,freq,LL,12,n_frq,4,1.0,55.199997,2,8,4,0.2,0.5,0.4,0.2,80,25,36.799998,55.199997,1,1012,0
freq\LL\set12\n_frq_8.py,freq,LL,12,n_frq,8,1.0,55.199997,2,8,8,0.2,0.5,0.4,0.2,80,25,36.799998,55.199997,1,1012,0
freq\LL\set12\n_frq_16.py,freq,LL,12,n_frq,16,1.0,55.199997,2,8,16,0.2,0.5,0.4,0.2,80,25,36.799998,55.199997,1,1012,0
freq\LL\set13\n_frq_2.py,freq,LL,13,n_frq,2,1.0,55.199997,2,8,2,0.2,0.5,0.4,0.2,80,33,36.799988,55.199997,1,1013,0
freq\LL\set13\n_frq_3.py,freq,LL,13,n_frq,3,1.0,55.199997,2,8,3,0.2,0.5,0.4,0.2,80,33,36.799988,55.199997,1,1013,0
freq\LL\set13\n_frq_4.py,freq,LL,13,n_frq,4,1.0,55.199997,2,8,4,0.2,0.5,0.4,0.2,80,33,36.799988,55.199997,1,1013,0
freq\LL\set13\n_frq_8.py,freq,LL,13,n_frq,8,1.0,55.199997,2,8,8,0.2,0.5,0.4,0.2,80,33,36.799988,55.199997,1,1013,0
freq\LL\set13\n_frq_16.py,freq,LL,13,n_frq,16,1.0,55.199997,2,8,16,0.2,0.5,0.4,0.2,80,33,36.799988,55.199997,1,1013,0
freq\LL\set14\n_frq_2.py,freq,LL,14,n_frq,2,1.0,55.199995,2,8,2,0.2,0.5,0.4,0.2,80,20,36.8,55.199995,1,1014,0
freq\LL\set14\n_frq_3.py,freq,LL,14,n_frq,3,1.0,55.199995,2,8,3,0.2,0.5,0.4,0.2,80,20,36.8,55.199995,1,1014,0
freq\LL\set14\n_frq_4.py,freq,LL,14,n_frq,4,1.0,55.199995,2,8,4,0.2,0.5,0.4,0.2,80,20,36.8,55.199995,1,1014,0
