file,sweep,regime,set,factor,value,rho,B,n_prc,n_tsk,n_frq,util_per_core,opt_ratio,u_mand_abs,u_opt_abs,H,J,e_mand_fmax,e_full_fmax,feasible,seed,redraws
processors\LL\set00\n_prc_1.py,processors,LL,0,n_prc,1,1.0,27.600006,1,12,8,0.2,0.5,0.2,0.1,80,43,18.399998,27.600006,1,1000,0
processors\LL\set00\n_prc_2.py,processors,LL,0,n_prc,2,1.0,55.199997,2,12,8,0.2,0.5,0.4,0.2,80,43,36.800008,55.199997,1,1000,0
processors\LL\set00\n_prc_3.py,processors,LL,0,n_prc,3,1.0,82.799994,3,12,8,0.2,0.5,0.6,0.3,80,43,55.199993,82.799994,1,1000,0
processors\LL\set00\n_prc_4.py,processors,LL,0,n_prc,4,1.0,110.400006,4,12,8,0.2,0.5,0.8,0.4,80,43,73.600002,110.400006,1,1000,0
processors\LL\set00\n_prc_6.py,processors,LL,0,n_prc,6,1.0,165.600018,6,12,8,0.2,0.5,1.2,0.6,80,43,110.400008,165.600018,1,1000,0
processors\LL\set00\n_prc_8.py,processors,LL,0,n_prc,8,1.0,220.799995,8,12,8,0.2,0.5,1.6,0.8,80,43,147.199997,220.799995,1,1000,0
processors\LL\set01\n_prc_1.py,processors,LL,1,n_prc,1,1.0,27.599983,1,12,8,0.2,0.5,0.2,0.1,80,60,18.400002,27.599983,1,1001,0
processors\LL\set01\n_prc_2.py,processors,LL,1,n_prc,2,1.0,55.200003,2,12,8,0.2,0.5,0.4,0.2,80,60,36.799995,55.200003,1,1001,0
processors\LL\set01\n_prc_3.py,processors,LL,1,n_prc,3,1.0,82.8,3,12,8,0.2,0.5,0.6,0.3,80,60,55.199998,82.8,1,1001,0
processors\LL\set01\n_prc_4.py,processors,LL,1,n_prc,4,1.0,110.399999,4,12,8,0.2,0.5,0.8,0.4,80,60,73.599994,110.399999,1,1001,0
processors\LL\set01\n_prc_6.py,processors,LL,1,n_prc,6,1.0,165.599992,6,12,8,0.2,0.5,1.2,0.6,80,60,110.4,165.599992,1,1001,0
processors\LL\set01\n_prc_8.py,processors,LL,1,n_prc,8,1.0,220.800006,8,12,8,0.2,0.5,1.6,0.8,80,60,147.200005,220.800006,1,1001,0
processors\LL\set02\n_prc_1.py,processors,LL,2,n_prc,1,1.0,27.599995,1,12,8,0.2,0.5,0.2,0.1,80,45,18.399991,27.599995,1,1002,0
processors\LL\set02\n_prc_2.py,processors,LL,2,n_prc,2,1.0,55.200006,2,12,8,0.2,0.5,0.4,0.2,80,45,36.800007,55.200006,1,1002,0
processors\LL\set02\n_prc_3.py,processors,LL,2,n_prc,3,1.0,82.800018,3,12,8,0.2,0.5,0.6,0.3,80,45,55.199992,82.800018,1,1002,0
processors\LL\set02\n_prc_4.py,processors,LL,2,n_prc,4,1.0,110.40002,4,12,8,0.2,0.5,0.8,0.4,80,45,73.600001,110.40002,1,1002,0
processors\LL\set02\n_prc_6.py,processors,LL,2,n_prc,6,1.0,165.600016,6,12,8,0.2,0.5,1.2,0.6,80,45,110.400008,165.600016,1,1002,0
processors\LL\set02\n_prc_8.py,processors,LL,2,n_prc,8,1.0,220.799986,8,12,8,0.2,0.5,1.6,0.8,80,45,147.199997,220.799986,1,1002,0
processors\LL\set03\n_prc_1.py,processors,LL,3,n_prc,1,1.0,27.600016,1,12,8,0.2,0.5,0.2,0.1,80,55,18.399999,27.600016,1,1003,0
processors\LL\set03\n_prc_2.py,processors,LL,3,n_prc,2,1.0,55.200003,2,12,8,0.2,0.5,0.4,0.2,80,55,36.799995,55.200003,1,1003,0
processors\LL\set03\n_prc_3.py,processors,LL,3,n_prc,3,1.0,82.800008,3,12,8,0.2,0.5,0.6,0.3,80,55,55.199994,82.800008,1,1003,0
processors\LL\set03\n_prc_4.py,processors,LL,3,n_prc,4,1.0,110.399967,4,12,8,0.2,0.5,0.8,0.4,80,55,73.599991,110.399967,1,1003,0
processors\LL\set03\n_prc_6.py,processors,LL,3,n_prc,6,1.0,165.600017,6,12,8,0.2,0.5,1.2,0.6,80,55,110.4,165.600017,1,1003,0
processors\LL\set03\n_prc_8.py,processors,LL,3,n_prc,8,1.0,220.800011,8,12,8,0.2,0.5,1.6,0.8,80,55,147.200011,220.800011,1,1003,0
processors\LL\set04\n_prc_1.py,processors,LL,4,n_prc,1,1.0,27.599985,1,12,8,0.2,0.5,0.2,0.1,80,57,18.399999,27.599985,1,1004,0
processors\LL\set04\n_prc_2.py,processors,LL,4,n_prc,2,1.0,55.199997,2,12,8,0.2,0.5,0.4,0.2,80,57,36.800002,55.199997,1,1004,0
processors\LL\set04\n_prc_3.py,processors,LL,4,n_prc,3,1.0,82.8,3,12,8,0.2,0.5,0.6,0.3,80,57,55.199999,82.8,1,1004,0
processors\LL\set04\n_prc_4.py,processors,LL,4,n_prc,4,1.0,110.400014,4,12,8,0.2,0.5,0.8,0.4,80,57,73.599998,110.400014,1,1004,0
processors\LL\set04\n_prc_6.py,processors,LL,4,n_prc,6,1.0,165.600001,6,12,8,0.2,0.5,1.2,0.6,80,57,110.399988,165.600001,1,1004,0
processors\LL\set04\n_prc_8.py,processors,LL,4,n_prc,8,1.0,220.800031,8,12,8,0.2,0.5,1.6,0.8,80,57,147.200002,220.800031,1,1004,0
processors\LL\set05\n_prc_1.py,processors,LL,5,n_prc,1,1.0,27.60002,1,12,8,0.2,0.5,0.2,0.1,80,56,18.399997,27.60002,1,1005,0
processors\LL\set05\n_prc_2.py,processors,LL,5,n_prc,2,1.0,55.200031,2,12,8,0.2,0.5,0.4,0.2,80,56,36.800007,55.200031,1,1005,0
processors\LL\set05\n_prc_3.py,processors,LL,5,n_prc,3,1.0,82.799997,3,12,8,0.2,0.5,0.6,0.3,80,56,55.200003,82.799997,1,1005,0
processors\LL\set05\n_prc_4.py,processors,LL,5,n_prc,4,1.0,110.39997,4,12,8,0.2,0.5,0.8,0.4,80,56,73.59999,110.39997,1,1005,0
processors\LL\set05\n_prc_6.py,processors,LL,5,n_prc,6,1.0,165.599998,6,12,8,0.2,0.5,1.2,0.6,80,56,110.399994,165.599998,1,1005,0
processors\LL\set05\n_prc_8.py,processors,LL,5,n_prc,8,1.0,220.799989,8,12,8,0.2,0.5,1.6,0.8,80,56,147.200002,220.799989,1,1005,0
processors\LL\set06\n_prc_1.py,processors,LL,6,n_prc,1,1.0,27.600001,1,12,8,0.2,0.5,0.2,0.1,80,54,18.400002,27.600001,1,1006,0
processors\LL\set06\n_prc_2.py,processors,LL,6,n_prc,2,1.0,55.200016,2,12,8,0.2,0.5,0.4,0.2,80,54,36.799998,55.200016,1,1006,0
processors\LL\set06\n_prc_3.py,processors,LL,6,n_prc,3,1.0,82.8,3,12,8,0.2,0.5,0.6,0.3,80,54,55.200002,82.8,1,1006,0
processors\LL\set06\n_prc_4.py,processors,LL,6,n_prc,4,1.0,110.399977,4,12,8,0.2,0.5,0.8,0.4,80,54,73.599986,110.399977,1,1006,0
processors\LL\set06\n_prc_6.py,processors,LL,6,n_prc,6,1.0,165.599993,6,12,8,0.2,0.5,1.2,0.6,80,54,110.399995,165.599993,1,1006,0
processors\LL\set06\n_prc_8.py,processors,LL,6,n_prc,8,1.0,220.800009,8,12,8,0.2,0.5,1.6,0.8,80,54,147.200002,220.800009,1,1006,0
processors\LL\set07\n_prc_1.py,processors,LL,7,n_prc,1,1.0,27.60001,1,12,8,0.2,0.5,0.2,0.1,80,58,18.400005,27.60001,1,1007,0
processors\LL\set07\n_prc_2.py,processors,LL,7,n_prc,2,1.0,55.199998,2,12,8,0.2,0.5,0.4,0.2,80,58,36.800006,55.199998,1,1007,0
processors\LL\set07\n_prc_3.py,processors,LL,7,n_prc,3,1.0,82.800016,3,12,8,0.2,0.5,0.6,0.3,80,58,55.199997,82.800016,1,1007,0
processors\LL\set07\n_prc_4.py,processors,LL,7,n_prc,4,1.0,110.399989,4,12,8,0.2,0.5,0.8,0.4,80,58,73.599987,110.399989,1,1007,0
processors\LL\set07\n_prc_6.py,processors,LL,7,n_prc,6,1.0,165.599994,6,12,8,0.2,0.5,1.2,0.6,80,58,110.400001,165.599994,1,1007,0
processors\LL\set07\n_prc_8.py,processors,LL,7,n_prc,8,1.0,220.799999,8,12,8,0.2,0.5,1.6,0.8,80,58,147.200007,220.799999,1,1007,0
processors\LL\set08\n_prc_1.py,processors,LL,8,n_prc,1,1.0,27.599991,1,12,8,0.2,0.5,0.2,0.1,80,46,18.399998,27.599991,1,1008,0
processors\LL\set08\n_prc_2.py,processors,LL,8,n_prc,2,1.0,55.200001,2,12,8,0.2,0.5,0.4,0.2,80,46,36.799997,55.200001,1,1008,0
processors\LL\set08\n_prc_3.py,processors,LL,8,n_prc,3,1.0,82.800003,3,12,8,0.2,0.5,0.6,0.3,80,46,55.199997,82.800003,1,1008,0
processors\LL\set08\n_prc_4.py,processors,LL,8,n_prc,4,1.0,110.399985,4,12,8,0.2,0.5,0.8,0.4,80,46,73.599998,110.399985,1,1008,0
processors\LL\set08\n_prc_6.py,processors,LL,8,n_prc,6,1.0,165.599979,6,12,8,0.2,0.5,1.2,0.6,80,46,110.399994,165.599979,1,1008,0
processors\LL\set08\n_prc_8.py,processors,LL,8,n_prc,8,1.0,220.80001,8,12,8,0.2,0.5,1.6,0.8,80,46,147.199997,220.80001,1,1008,0
processors\LL\set09\n_prc_1.py,processors,LL,9,n_prc,1,1.0,27.599989,1,12,8,0.2,0.5,0.2,0.1,80,47,18.400001,27.599989,1,1009,0
processors\LL\set09\n_prc_2.py,processors,LL,9,n_prc,2,1.0,55.199994,2,12,8,0.2,0.5,0.4,0.2,80,47,36.799994,55.199994,1,1009,0
processors\LL\set09\n_prc_3.py,processors,LL,9,n_prc,3,1.0,82.799985,3,12,8,0.2,0.5,0.6,0.3,80,47,55.2,82.799985,1,1009,0
processors\LL\set09\n_prc_4.py,processors,LL,9,n_prc,4,1.0,110.400005,4,12,8,0.2,0.5,0.8,0.4,80,47,73.599997,110.400005,1,1009,0
processors\LL\set09\n_prc_6.py,processors,LL,9,n_prc,6,1.0,165.599999,6,12,8,0.2,0.5,1.2,0.6,80,47,110.399995,165.599999,1,1009,0
processors\LL\set09\n_prc_8.py,processors,LL,9,n_prc,8,1.0,220.800015,8,12,8,0.2,0.5,1.6,0.8,80,47,147.200008,220.800015,1,1009,0
processors\LL\set10\n_prc_1.py,processors,LL,10,n_prc,1,1.0,27.599997,1,12,8,0.2,0.5,0.2,0.1,80,43,18.400008,27.599997,1,1010,0
processors\LL\set10\n_prc_2.py,processors,LL,10,n_prc,2,1.0,55.200006,2,12,8,0.2,0.5,0.4,0.2,80,43,36.799995,55.200006,1,1010,0
processors\LL\set10\n_prc_3.py,processors,LL,10,n_prc,3,1.0,82.800001,3,12,8,0.2,0.5,0.6,0.3,80,43,55.199997,82.800001,1,1010,0
processors\LL\set10\n_prc_4.py,processors,LL,10,n_prc,4,1.0,110.399979,4,12,8,0.2,0.5,0.8,0.4,80,43,73.599999,110.399979,1,1010,0
processors\LL\set10\n_prc_6.py,processors,LL,10,n_prc,6,1.0,165.599994,6,12,8,0.2,0.5,1.2,0.6,80,43,110.400003,165.599994,1,1010,0
processors\LL\set10\n_prc_8.py,processors,LL,10,n_prc,8,1.0,220.800009,8,12,8,0.2,0.5,1.6,0.8,80,43,147.199997,220.800009,1,1010,0
processors\LL\set11\n_prc_1.py,processors,LL,11,n_prc,1,1.0,27.599999,1,12,8,0.2,0.5,0.2,0.1,80,42,18.400002,27.599999,1,1011,0
processors\LL\set11\n_prc_2.py,processors,LL,11,n_prc,2,1.0,55.19999,2,12,8,0.2,0.5,0.4,0.2,80,42,36.799992,55.19999,1,1011,0
processors\LL\set11\n_prc_3.py,processors,LL,11,n_prc,3,1.0,82.799997,3,12,8,0.2,0.5,0.6,0.3,80,42,55.200003,82.799997,1,1011,0
processors\LL\set11\n_prc_4.py,processors,LL,11,n_prc,4,1.0,110.40001,4,12,8,0.2,0.5,0.8,0.4,80,42,73.600006,110.40001,1,1011,0
processors\LL\set11\n_prc_6.py,processors,LL,11,n_prc,6,1.0,165.599994,6,12,8,0.2,0.5,1.2,0.6,80,42,110.399997,165.599994,1,1011,0
processors\LL\set11\n_prc_8.py,processors,LL,11,n_prc,8,1.0,220.800014,8,12,8,0.2,0.5,1.6,0.8,80,42,147.2,220.800014,1,1011,0
processors\LL\set12\n_prc_1.py,processors,LL,12,n_prc,1,1.0,27.599995,1,12,8,0.2,0.5,0.2,0.1,80,40,18.399997,27.599995,1,1012,0
processors\LL\set12\n_prc_2.py,processors,LL,12,n_prc,2,1.0,55.200006,2,12,8,0.2,0.5,0.4,0.2,80,40,36.800001,55.200006,1,1012,0
processors\LL\set12\n_prc_3.py,processors,LL,12,n_prc,3,1.0,82.800001,3,12,8,0.2,0.5,0.6,0.3,80,40,55.199998,82.800001,1,1012,0
processors\LL\set12\n_prc_4.py,processors,LL,12,n_prc,4,1.0,110.400016,4,12,8,0.2,0.5,0.8,0.4,80,40,73.599994,110.400016,1,1012,0
processors\LL\set12\n_prc_6.py,processors,LL,12,n_prc,6,1.0,165.600013,6,12,8,0.2,0.5,1.2,0.6,80,40,110.400005,165.600013,1,1012,0
processors\LL\set12\n_prc_8.py,processors,LL,12,n_prc,8,1.0,220.799992,8,12,8,0.2,0.5,1.6,0.8,80,40,147.200001,220.799992,1,1012,0
processors\LL\set13\n_prc_1.py,processors,LL,13,n_prc,1,1.0,27.600005,1,12,8,0.2,0.5,0.2,0.1,80,50,18.399998,27.600005,1,1013,0
processors\LL\set13\n_prc_2.py,processors,LL,13,n_prc,2,1.0,55.199991,2,12,8,0.2,0.5,0.4,0.2,80,50,36.800003,55.199991,1,1013,0
processors\LL\set13\n_prc_3.py,processors,LL,13,n_prc,3,1.0,82.799999,3,12,8,0.2,0.5,0.6,0.3,80,50,55.200002,82.799999,1,1013,0
processors\LL\set13\n_prc_4.py,processors,LL,13,n_prc,4,1.0,110.399984,4,12,8,0.2,0.5,0.8,0.4,80,50,73.599992,110.399984,1,1013,0
processors\LL\set13\n_prc_6.py,processors,LL,13,n_prc,6,1.0,165.600011,6,12,8,0.2,0.5,1.2,0.6,80,50,110.400001,165.600011,1,1013,0
processors\LL\set13\n_prc_8.py,processors,LL,13,n_prc,8,1.0,220.8,8,12,8,0.2,0.5,1.6,0.8,80,50,147.200008,220.8,1,1013,0
processors\LL\set14\n_prc_1.py,processors,LL,14,n_prc,1,1.0,27.60002,1,12,8,0.2,0.5,0.2,0.1,80,51,18.400011,27.60002,1,1014,0
processors\LL\set14\n_prc_2.py,processors,LL,14,n_prc,2,1.0,55.199972,2,12,8,0.2,0.5,0.4,0.2,80,51,36.799997,55.199972,1,1014,0
processors\LL\set14\n_prc_3.py,processors,LL,14,n_prc,3,1.0,82.800007,3,12,8,0.2,0.5,0.6,0.3,80,51,55.200001,82.800007,1,1014,0
processors\LL\set14\n_prc_4.py,processors,LL,14,n_prc,4,1.0,110.400013,4,12,8,0.2,0.5,0.8,0.4,80,51,73.599993,110.400013,1,1014,0
processors\LL\set14\n_prc_6.py,processors,LL,14,n_prc,6,1.0,165.599995,6,12,8,0.2,0.5,1.2,0.6,80,51,110.400003,165.599995,1,1014,0
processors\LL\set14\n_prc_8.py,processors,LL,14,n_prc,8,1.0,220.799998,8,12,8,0.2,0.5,1.6,0.8,80,51,147.200005,220.799998,1,1014,0
processors\LL\set15\n_prc_1.py,processors,LL,15,n_prc,1,1.0,27.599989,1,12,8,0.2,0.5,0.2,0.1,80,44,18.400002,27.599989,1,1015,0
processors\LL\set15\n_prc_2.py,processors,LL,15,n_prc,2,1.0,55.199997,2,12,8,0.2,0.5,0.4,0.2,80,44,36.799999,55.199997,1,1015,0
processors\LL\set15\n_prc_3.py,processors,LL,15,n_prc,3,1.0,82.799985,3,12,8,0.2,0.5,0.6,0.3,80,44,55.200003,82.799985,1,1015,0
processors\LL\set15\n_prc_4.py,processors,LL,15,n_prc,4,1.0,110.40001,4,12,8,0.2,0.5,0.8,0.4,80,44,73.600001,110.40001,1,1015,0
processors\LL\set15\n_prc_6.py,processors,LL,15,n_prc,6,1.0,165.600018,6,12,8,0.2,0.5,1.2,0.6,80,44,110.4,165.600018,1,1015,0
processors\LL\set15\n_prc_8.py,processors,LL,15,n_prc,8,1.0,220.800005,8,12,8,0.2,0.5,1.6,0.8,80,44,147.199999,220.800005,1,1015,0
processors\LL\set16\n_prc_1.py,processors,LL,16,n_prc,1,1.0,27.600009,1,12,8,0.2,0.5,0.2,0.1,80,39,18.399992,27.600009,1,1016,0
processors\LL\set16\n_prc_2.py,processors,LL,16,n_prc,2,1.0,55.199987,2,12,8,0.2,0.5,0.4,0.2,80,39,36.800002,55.199987,1,1016,0
processors\LL\set16\n_prc_3.py,processors,LL,16,n_prc,3,1.0,82.800002,3,12,8,0.2,0.5,0.6,0.3,80,39,55.199998,82.800002,1,1016,0
processors\LL\set16\n_prc_4.py,processors,LL,16,n_prc,4,1.0,110.4,4,12,8,0.2,0.5,0.8,0.4,80,39,73.600003,110.4,1,1016,0
processors\LL\set16\n_prc_6.py,processors,LL,16,n_prc,6,1.0,165.599991,6,12,8,0.2,0.5,1.2,0.6,80,39,110.399999,165.599991,1,1016,0
processors\LL\set16\n_prc_8.py,processors,LL,16,n_prc,8,1.0,220.799983,8,12,8,0.2,0.5,1.6,0.8,80,39,147.199999,220.799983,1,1016,0
processors\LL\set17\n_prc_1.py,processors,LL,17,n_prc,1,1.0,27.600017,1,12,8,0.2,0.5,0.2,0.1,80,39,18.400011,27.600017,1,1017,0
processors\LL\set17\n_prc_2.py,processors,LL,17,n_prc,2,1.0,55.199993,2,12,8,0.2,0.5,0.4,0.2,80,39,36.800001,55.199993,1,1017,0
processors\LL\set17\n_prc_3.py,processors,LL,17,n_prc,3,1.0,82.800007,3,12,8,0.2,0.5,0.6,0.3,80,39,55.200005,82.800007,1,1017,0
processors\LL\set17\n_prc_4.py,processors,LL,17,n_prc,4,1.0,110.399999,4,12,8,0.2,0.5,0.8,0.4,80,39,73.599995,110.399999,1,1017,0
