file,sweep,regime,set,factor,value,rho,B,n_prc,n_tsk,n_frq,util_per_core,opt_ratio,u_mand_abs,u_opt_abs,H,J,e_mand_fmax,e_full_fmax,feasible,seed,redraws
segments\LL\set00\n_seg_2.py,segments,LL,0,n_seg,2,1.0,55.199999,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199999,1,1000,0
segments\LL\set00\n_seg_3.py,segments,LL,0,n_seg,3,1.0,55.199997,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199997,1,1000,0
segments\LL\set00\n_seg_4.py,segments,LL,0,n_seg,4,1.0,55.200001,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.200001,1,1000,0
segments\LL\set00\n_seg_6.py,segments,LL,0,n_seg,6,1.0,55.200001,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.200001,1,1000,0
segments\LL\set00\n_seg_8.py,segments,LL,0,n_seg,8,1.0,55.200005,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.200005,1,1000,0
segments\LL\set01\n_seg_2.py,segments,LL,1,n_seg,2,1.0,55.200008,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
segments\LL\set01\n_seg_3.py,segments,LL,1,n_seg,3,1.0,55.200001,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200001,1,1001,0
segments\LL\set01\n_seg_4.py,segments,LL,1,n_seg,4,1.0,55.200012,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200012,1,1001,0
segments\LL\set01\n_seg_6.py,segments,LL,1,n_seg,6,1.0,55.200008,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
segments\LL\set01\n_seg_8.py,segments,LL,1,n_seg,8,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200002,1,1001,0
segments\LL\set02\n_seg_2.py,segments,LL,2,n_seg,2,1.0,55.200003,2,8,8,0.2,0.5,0.4,0.2,80,32,36.799999,55.200003,1,1002,0
segments\LL\set02\n_seg_3.py,segments,LL,2,n_seg,3,1.0,55.199987,2,8,8,0.2,0.5,0.4,0.2,80,32,36.799999,55.199987,1,1002,0
segments\LL\set02\n_seg_4.py,segments,LL,2,n_seg,4,1.0,55.199991,2,8,8,0.2,0.5,0.4,0.2,80,32,36.799999,55.199991,1,1002,0
segments\LL\set02\n_seg_6.py,segments,LL,2,n_seg,6,1.0,55.199988,2,8,8,0.2,0.5,0.4,0.2,80,32,36.799999,55.199988,1,1002,0
segments\LL\set02\n_seg_8.py,segments,LL,2,n_seg,8,1.0,55.199999,2,8,8,0.2,0.5,0.4,0.2,80,32,36.799999,55.199999,1,1002,0
segments\LL\set03\n_seg_2.py,segments,LL,3,n_seg,2,1.0,55.200003,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800003,55.200003,1,1003,0
segments\LL\set03\n_seg_3.py,segments,LL,3,n_seg,3,1.0,55.200001,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800003,55.200001,1,1003,0
segments\LL\set03\n_seg_4.py,segments,LL,3,n_seg,4,1.0,55.200008,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800003,55.200008,1,1003,0
segments\LL\set03\n_seg_6.py,segments,LL,3,n_seg,6,1.0,55.200014,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800003,55.200014,1,1003,0
segments\LL\set03\n_seg_8.py,segments,LL,3,n_seg,8,1.0,55.200003,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800003,55.200003,1,1003,0
segments\LL\set04\n_seg_2.py,segments,LL,4,n_seg,2,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,33,36.799998,55.200002,1,1004,0
segments\LL\set04\n_seg_3.py,segments,LL,4,n_seg,3,1.0,55.200014,2,8,8,0.2,0.5,0.4,0.2,80,33,36.799998,55.200014,1,1004,0
segments\LL\set04\n_seg_4.py,segments,LL,4,n_seg,4,1.0,55.20001,2,8,8,0.2,0.5,0.4,0.2,80,33,36.799998,55.20001,1,1004,0
segments\LL\set04\n_seg_6.py,segments,LL,4,n_seg,6,1.0,55.199993,2,8,8,0.2,0.5,0.4,0.2,80,33,36.799998,55.199993,1,1004,0
segments\LL\set04\n_seg_8.py,segments,LL,4,n_seg,8,1.0,55.200021,2,8,8,0.2,0.5,0.4,0.2,80,33,36.799998,55.200021,1,1004,0
segments\LL\set05\n_seg_2.py,segments,LL,5,n_seg,2,1.0,55.200016,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800006,55.200016,1,1005,0
segments\LL\set05\n_seg_3.py,segments,LL,5,n_seg,3,1.0,55.200006,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800006,55.200006,1,1005,0
segments\LL\set05\n_seg_4.py,segments,LL,5,n_seg,4,1.0,55.2,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800006,55.2,1,1005,0
segments\LL\set05\n_seg_6.py,segments,LL,5,n_seg,6,1.0,55.200017,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800006,55.200017,1,1005,0
segments\LL\set05\n_seg_8.py,segments,LL,5,n_seg,8,1.0,55.200029,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800006,55.200029,1,1005,0
segments\LL\set06\n_seg_2.py,segments,LL,6,n_seg,2,1.0,55.200005,2,8,8,0.2,0.5,0.4,0.2,80,30,36.799994,55.200005,1,1006,0
segments\LL\set06\n_seg_3.py,segments,LL,6,n_seg,3,1.0,55.19999,2,8,8,0.2,0.5,0.4,0.2,80,30,36.799994,55.19999,1,1006,0
segments\LL\set06\n_seg_4.py,segments,LL,6,n_seg,4,1.0,55.199976,2,8,8,0.2,0.5,0.4,0.2,80,30,36.799994,55.199976,1,1006,0
segments\LL\set06\n_seg_6.py,segments,LL,6,n_seg,6,1.0,55.200011,2,8,8,0.2,0.5,0.4,0.2,80,30,36.799994,55.200011,1,1006,0
segments\LL\set06\n_seg_8.py,segments,LL,6,n_seg,8,1.0,55.199997,2,8,8,0.2,0.5,0.4,0.2,80,30,36.799994,55.199997,1,1006,0
segments\LL\set07\n_seg_2.py,segments,LL,7,n_seg,2,1.0,55.20001,2,8,8,0.2,0.5,0.4,0.2,80,36,36.800005,55.20001,1,1007,0
segments\LL\set07\n_seg_3.py,segments,LL,7,n_seg,3,1.0,55.200007,2,8,8,0.2,0.5,0.4,0.2,80,36,36.800005,55.200007,1,1007,0
segments\LL\set07\n_seg_4.py,segments,LL,7,n_seg,4,1.0,55.200005,2,8,8,0.2,0.5,0.4,0.2,80,36,36.800005,55.200005,1,1007,0
segments\LL\set07\n_seg_6.py,segments,LL,7,n_seg,6,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,36,36.800005,55.200002,1,1007,0
segments\LL\set07\n_seg_8.py,segments,LL,7,n_seg,8,1.0,55.199999,2,8,8,0.2,0.5,0.4,0.2,80,36,36.800005,55.199999,1,1007,0
segments\LL\set08\n_seg_2.py,segments,LL,8,n_seg,2,1.0,55.199992,2,8,8,0.2,0.5,0.4,0.2,80,37,36.8,55.199992,1,1008,0
segments\LL\set08\n_seg_3.py,segments,LL,8,n_seg,3,1.0,55.199997,2,8,8,0.2,0.5,0.4,0.2,80,37,36.8,55.199997,1,1008,0
segments\LL\set08\n_seg_4.py,segments,LL,8,n_seg,4,1.0,55.200005,2,8,8,0.2,0.5,0.4,0.2,80,37,36.8,55.200005,1,1008,0
segments\LL\set08\n_seg_6.py,segments,LL,8,n_seg,6,1.0,55.199997,2,8,8,0.2,0.5,0.4,0.2,80,37,36.8,55.199997,1,1008,0
