file,sweep,regime,set,factor,value,rho,B,n_prc,n_tsk,n_frq,util_per_core,opt_ratio,u_mand_abs,u_opt_abs,H,J,e_mand_fmax,e_full_fmax,feasible,seed,redraws
shape\LL\set00\seg_decay_0.60.py,shape,LL,0,seg_decay,0.60,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.200002,1,1000,0
shape\LL\set00\seg_decay_0.80.py,shape,LL,0,seg_decay,0.80,1.0,55.199994,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
shape\LL\set00\seg_decay_1.00.py,shape,LL,0,seg_decay,1.00,1.0,55.200003,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.200003,1,1000,0
shape\LL\set01\seg_decay_0.60.py,shape,LL,1,seg_decay,0.60,1.0,55.2,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.2,1,1001,0
shape\LL\set01\seg_decay_0.80.py,shape,LL,1,seg_decay,0.80,1.0,55.200008,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
shape\LL\set01\seg_decay_1.00.py,shape,LL,1,seg_decay,1.00,1.0,55.200008,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
shape\LL\set02\seg_decay_0.60.py,shape,LL,2,seg_decay,0.60,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,32,36.799999,55.200002,1,1002,0
shape\LL\set02\seg_decay_0.80.py,shape,LL,2,seg_decay,0.80,1.0,55.200001,2,8,8,0.2,0.5,0.4,0.2,80,32,36.799999,55.200001,1,1002,0
shape\LL\set02\seg_decay_1.00.py,shape,LL,2,seg_decay,1.00,1.0,55.199992,2,8,8,0.2,0.5,0.4,0.2,80,32,36.799999,55.199992,1,1002,0
shape\LL\set03\seg_decay_0.60.py,shape,LL,3,seg_decay,0.60,1.0,55.200003,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800003,55.200003,1,1003,0
shape\LL\set03\seg_decay_0.80.py,shape,LL,3,seg_decay,0.80,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800003,55.200002,1,1003,0
shape\LL\set03\seg_decay_1.00.py,shape,LL,3,seg_decay,1.00,1.0,55.199992,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800003,55.199992,1,1003,0
shape\LL\set04\seg_decay_0.60.py,shape,LL,4,seg_decay,0.60,1.0,55.200003,2,8,8,0.2,0.5,0.4,0.2,80,33,36.799998,55.200003,1,1004,0
shape\LL\set04\seg_decay_0.80.py,shape,LL,4,seg_decay,0.80,1.0,55.199991,2,8,8,0.2,0.5,0.4,0.2,80,33,36.799998,55.199991,1,1004,0
shape\LL\set04\seg_decay_1.00.py,shape,LL,4,seg_decay,1.00,1.0,55.200016,2,8,8,0.2,0.5,0.4,0.2,80,33,36.799998,55.200016,1,1004,0
shape\LL\set05\seg_decay_0.60.py,shape,LL,5,seg_decay,0.60,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800006,55.200002,1,1005,0
shape\LL\set05\seg_decay_0.80.py,shape,LL,5,seg_decay,0.80,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800006,55.200002,1,1005,0
shape\LL\set05\seg_decay_1.00.py,shape,LL,5,seg_decay,1.00,1.0,55.200029,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800006,55.200029,1,1005,0
shape\LL\set06\seg_decay_0.60.py,shape,LL,6,seg_decay,0.60,1.0,55.2,2,8,8,0.2,0.5,0.4,0.2,80,30,36.799994,55.2,1,1006,0
shape\LL\set06\seg_decay_0.80.py,shape,LL,6,seg_decay,0.80,1.0,55.2,2,8,8,0.2,0.5,0.4,0.2,80,30,36.799994,55.2,1,1006,0
shape\LL\set06\seg_decay_1.00.py,shape,LL,6,seg_decay,1.00,1.0,55.199974,2,8,8,0.2,0.5,0.4,0.2,80,30,36.799994,55.199974,1,1006,0
shape\LL\set07\seg_decay_0.60.py,shape,LL,7,seg_decay,0.60,1.0,55.2,2,8,8,0.2,0.5,0.4,0.2,80,36,36.800005,55.2,1,1007,0
shape\LL\set07\seg_decay_0.80.py,shape,LL,7,seg_decay,0.80,1.0,55.200009,2,8,8,0.2,0.5,0.4,0.2,80,36,36.800005,55.200009,1,1007,0
shape\LL\set07\seg_decay_1.00.py,shape,LL,7,seg_decay,1.00,1.0,55.199995,2,8,8,0.2,0.5,0.4,0.2,80,36,36.800005,55.199995,1,1007,0
shape\LL\set08\seg_decay_0.60.py,shape,LL,8,seg_decay,0.60,1.0,55.200013,2,8,8,0.2,0.5,0.4,0.2,80,37,36.8,55.200013,1,1008,0
shape\LL\set08\seg_decay_0.80.py,shape,LL,8,seg_decay,0.80,1.0,55.200013,2,8,8,0.2,0.5,0.4,0.2,80,37,36.8,55.200013,1,1008,0
shape\LL\set08\seg_decay_1.00.py,shape,LL,8,seg_decay,1.00,1.0,55.200032,2,8,8,0.2,0.5,0.4,0.2,80,37,36.8,55.200032,1,1008,0
shape\LL\set09\seg_decay_0.60.py,shape,LL,9,seg_decay,0.60,1.0,55.200009,2,8,8,0.2,0.5,0.4,0.2,80,33,36.800002,55.200009,1,1009,0
shape\LL\set09\seg_decay_0.80.py,shape,LL,9,seg_decay,0.80,1.0,55.200005,2,8,8,0.2,0.5,0.4,0.2,80,33,36.800002,55.200005,1,1009,0
shape\LL\set09\seg_decay_1.00.py,shape,LL,9,seg_decay,1.00,1.0,55.199988,2,8,8,0.2,0.5,0.4,0.2,80,33,36.800002,55.199988,1,1009,0
shape\LL\set10\seg_decay_0.60.py,shape,LL,10,seg_decay,0.60,1.0,55.199998,2,8,8,0.2,0.5,0.4,0.2,80,31,36.8,55.199998,1,1010,0
shape\LL\set10\seg_decay_0.80.py,shape,LL,10,seg_decay,0.80,1.0,55.200007,2,8,8,0.2,0.5,0.4,0.2,80,31,36.8,55.200007,1,1010,0
shape\LL\set10\seg_decay_1.00.py,shape,LL,10,seg_decay,1.00,1.0,55.20003,2,8,8,0.2,0.5,0.4,0.2,80,31,36.8,55.20003,1,1010,0
shape\LL\set11\seg_decay_0.60.py,shape,LL,11,seg_decay,0.60,1.0,55.200001,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800005,55.200001,1,1011,0
shape\LL\set11\seg_decay_0.80.py,shape,LL,11,seg_decay,0.80,1.0,55.200017,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800005,55.200017,1,1011,0
shape\LL\set11\seg_decay_1.00.py,shape,LL,11,seg_decay,1.00,1.0,55.200005,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800005,55.200005,1,1011,0
shape\LL\set12\seg_decay_0.60.py,shape,LL,12,seg_decay,0.60,1.0,55.199991,2,8,8,0.2,0.5,0.4,0.2,80,25,36.799998,55.199991,1,1012,0
shape\LL\set12\seg_decay_0.80.py,shape,LL,12,seg_decay,0.80,1.0,55.199997,2,8,8,0.2,0.5,0.4,0.2,80,25,36.799998,55.199997,1,1012,0
shape\LL\set12\seg_decay_1.00.py,shape,LL,12,seg_decay,1.00,1.0,55.199986,2,8,8,0.2,0.5,0.4,0.2,80,25,36.799998,55.199986,1,1012,0
shape\LL\set13\seg_decay_0.60.py,shape,LL,13,seg_decay,0.60,1.0,55.199998,2,8,8,0.2,0.5,0.4,0.2,80,33,36.799988,55.199998,1,1013,0
shape\LL\set13\seg_decay_0.80.py,shape,LL,13,seg_decay,0.80,1.0,55.199997,2,8,8,0.2,0.5,0.4,0.2,80,33,36.799988,55.199997,1,1013,0
shape\LL\set13\seg_decay_1.00.py,shape,LL,13,seg_decay,1.00,1.0,55.200031,2,8,8,0.2,0.5,0.4,0.2,80,33,36.799988,55.200031,1,1013,0
shape\LL\set14\seg_decay_0.60.py,shape,LL,14,seg_decay,0.60,1.0,55.199999,2,8,8,0.2,0.5,0.4,0.2,80,20,36.8,55.199999,1,1014,0
shape\LL\set14\seg_decay_0.80.py,shape,LL,14,seg_decay,0.80,1.0,55.199995,2,8,8,0.2,0.5,0.4,0.2,80,20,36.8,55.199995,1,1014,0
shape\LL\set14\seg_decay_1.00.py,shape,LL,14,seg_decay,1.00,1.0,55.199998,2,8,8,0.2,0.5,0.4,0.2,80,20,36.8,55.199998,1,1014,0
shape\LL\set15\seg_decay_0.60.py,shape,LL,15,seg_decay,0.60,1.0,55.199997,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800002,55.199997,1,1015,0
shape\LL\set15\seg_decay_0.80.py,shape,LL,15,seg_decay,0.80,1.0,55.200003,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800002,55.200003,1,1015,0
shape\LL\set15\seg_decay_1.00.py,shape,LL,15,seg_decay,1.00,1.0,55.200012,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800002,55.200012,1,1015,0
shape\LL\set16\seg_decay_0.60.py,shape,LL,16,seg_decay,0.60,1.0,55.199992,2,8,8,0.2,0.5,0.4,0.2,80,26,36.8,55.199992,1,1016,0
shape\LL\set16\seg_decay_0.80.py,shape,LL,16,seg_decay,0.80,1.0,55.2,2,8,8,0.2,0.5,0.4,0.2,80,26,36.8,55.2,1,1016,0
shape\LL\set16\seg_decay_1.00.py,shape,LL,16,seg_decay,1.00,1.0,55.2,2,8,8,0.2,0.5,0.4,0.2,80,26,36.8,55.2,1,1016,0
shape\LL\set17\seg_decay_0.60.py,shape,LL,17,seg_decay,0.60,1.0,55.200009,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800005,55.200009,1,1017,0
shape\LL\set17\seg_decay_0.80.py,shape,LL,17,seg_decay,0.80,1.0,55.199992,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800005,55.199992,1,1017,0
shape\LL\set17\seg_decay_1.00.py,shape,LL,17,seg_decay,1.00,1.0,55.200041,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800005,55.200041,1,1017,0
shape\LL\set18\seg_decay_0.60.py,shape,LL,18,seg_decay,0.60,1.0,55.200001,2,8,8,0.2,0.5,0.4,0.2,80,32,36.799999,55.200001,1,1018,0
shape\LL\set18\seg_decay_0.80.py,shape,LL,18,seg_decay,0.80,1.0,55.199997,2,8,8,0.2,0.5,0.4,0.2,80,32,36.799999,55.199997,1,1018,0
shape\LL\set18\seg_decay_1.00.py,shape,LL,18,seg_decay,1.00,1.0,55.200032,2,8,8,0.2,0.5,0.4,0.2,80,32,36.799999,55.200032,1,1018,0
shape\LL\set19\seg_decay_0.60.py,shape,LL,19,seg_decay,0.60,1.0,55.200006,2,8,8,0.2,0.5,0.4,0.2,80,21,36.799997,55.200006,1,1019,0
shape\LL\set19\seg_decay_0.80.py,shape,LL,19,seg_decay,0.80,1.0,55.199991,2,8,8,0.2,0.5,0.4,0.2,80,21,36.799997,55.199991,1,1019,0
shape\LL\set19\seg_decay_1.00.py,shape,LL,19,seg_decay,1.00,1.0,55.200006,2,8,8,0.2,0.5,0.4,0.2,80,21,36.799997,55.200006,1,1019,0
shape\LL\set20\seg_decay_0.60.py,shape,LL,20,seg_decay,0.60,1.0,55.199994,2,8,8,0.2,0.5,0.4,0.2,80,28,36.8,55.199994,1,1020,0
shape\LL\set20\seg_decay_0.80.py,shape,LL,20,seg_decay,0.80,1.0,55.200008,2,8,8,0.2,0.5,0.4,0.2,80,28,36.8,55.200008,1,1020,0
