file,sweep,regime,set,factor,value,rho,B,n_prc,n_tsk,n_frq,util_per_core,opt_ratio,u_mand_abs,u_opt_abs,H,J,e_mand_fmax,e_full_fmax,feasible,seed,redraws
tasks\LL\set00\n_tsk_4.py,tasks,LL,0,n_tsk,4,1.0,55.200002,2,4,8,0.2,0.5,0.4,0.2,80,15,36.799997,55.200002,1,1000,0
tasks\LL\set00\n_tsk_6.py,tasks,LL,0,n_tsk,6,1.0,55.199999,2,6,8,0.2,0.5,0.4,0.2,80,20,36.799999,55.199999,1,1000,0
tasks\LL\set00\n_tsk_8.py,tasks,LL,0,n_tsk,8,1.0,55.199994,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
tasks\LL\set00\n_tsk_10.py,tasks,LL,0,n_tsk,10,1.0,55.200014,2,10,8,0.2,0.5,0.4,0.2,80,29,36.8,55.200014,1,1000,0
tasks\LL\set00\n_tsk_12.py,tasks,LL,0,n_tsk,12,1.0,55.199997,2,12,8,0.2,0.5,0.4,0.2,80,43,36.800008,55.199997,1,1000,0
tasks\LL\set01\n_tsk_4.py,tasks,LL,1,n_tsk,4,1.0,55.200009,2,4,8,0.2,0.5,0.4,0.2,80,15,36.8,55.200009,1,1001,0
tasks\LL\set01\n_tsk_6.py,tasks,LL,1,n_tsk,6,1.0,55.199986,2,6,8,0.2,0.5,0.4,0.2,80,20,36.8,55.199986,1,1001,0
tasks\LL\set01\n_tsk_8.py,tasks,LL,1,n_tsk,8,1.0,55.200008,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
tasks\LL\set01\n_tsk_10.py,tasks,LL,1,n_tsk,10,1.0,55.199988,2,10,8,0.2,0.5,0.4,0.2,80,41,36.799994,55.199988,1,1001,0
tasks\LL\set01\n_tsk_12.py,tasks,LL,1,n_tsk,12,1.0,55.200003,2,12,8,0.2,0.5,0.4,0.2,80,60,36.799995,55.200003,1,1001,0
tasks\LL\set02\n_tsk_4.py,tasks,LL,2,n_tsk,4,1.0,55.199994,2,4,8,0.2,0.5,0.4,0.2,80,15,36.800001,55.199994,1,1002,0
tasks\LL\set02\n_tsk_6.py,tasks,LL,2,n_tsk,6,1.0,55.199991,2,6,8,0.2,0.5,0.4,0.2,80,24,36.799995,55.199991,1,1002,0
tasks\LL\set02\n_tsk_8.py,tasks,LL,2,n_tsk,8,1.0,55.200001,2,8,8,0.2,0.5,0.4,0.2,80,32,36.799999,55.200001,1,1002,0
tasks\LL\set02\n_tsk_10.py,tasks,LL,2,n_tsk,10,1.0,55.200015,2,10,8,0.2,0.5,0.4,0.2,80,48,36.799994,55.200015,1,1002,0
tasks\LL\set02\n_tsk_12.py,tasks,LL,2,n_tsk,12,1.0,55.200006,2,12,8,0.2,0.5,0.4,0.2,80,45,36.800007,55.200006,1,1002,0
tasks\LL\set03\n_tsk_4.py,tasks,LL,3,n_tsk,4,1.0,55.199999,2,4,8,0.2,0.5,0.4,0.2,80,15,36.800003,55.199999,1,1003,0
tasks\LL\set03\n_tsk_6.py,tasks,LL,3,n_tsk,6,1.0,55.200014,2,6,8,0.2,0.5,0.4,0.2,80,25,36.800006,55.200014,1,1003,0
tasks\LL\set03\n_tsk_8.py,tasks,LL,3,n_tsk,8,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800003,55.200002,1,1003,0
tasks\LL\set03\n_tsk_10.py,tasks,LL,3,n_tsk,10,1.0,55.199983,2,10,8,0.2,0.5,0.4,0.2,80,47,36.799994,55.199983,1,1003,0
tasks\LL\set03\n_tsk_12.py,tasks,LL,3,n_tsk,12,1.0,55.200003,2,12,8,0.2,0.5,0.4,0.2,80,55,36.799995,55.200003,1,1003,0
tasks\LL\set04\n_tsk_4.py,tasks,LL,4,n_tsk,4,1.0,55.20001,2,4,8,0.2,0.5,0.4,0.2,80,15,36.800001,55.20001,1,1004,0
tasks\LL\set04\n_tsk_6.py,tasks,LL,4,n_tsk,6,1.0,55.199995,2,6,8,0.2,0.5,0.4,0.2,80,23,36.799999,55.199995,1,1004,0
tasks\LL\set04\n_tsk_8.py,tasks,LL,4,n_tsk,8,1.0,55.199991,2,8,8,0.2,0.5,0.4,0.2,80,33,36.799998,55.199991,1,1004,0
tasks\LL\set04\n_tsk_10.py,tasks,LL,4,n_tsk,10,1.0,55.2,2,10,8,0.2,0.5,0.4,0.2,80,49,36.800008,55.2,1,1004,0
tasks\LL\set04\n_tsk_12.py,tasks,LL,4,n_tsk,12,1.0,55.199997,2,12,8,0.2,0.5,0.4,0.2,80,57,36.800002,55.199997,1,1004,0
tasks\LL\set05\n_tsk_4.py,tasks,LL,5,n_tsk,4,1.0,55.200016,2,4,8,0.2,0.5,0.4,0.2,80,15,36.800005,55.200016,1,1005,0
tasks\LL\set05\n_tsk_6.py,tasks,LL,5,n_tsk,6,1.0,55.199985,2,6,8,0.2,0.5,0.4,0.2,80,19,36.799995,55.199985,1,1005,0
tasks\LL\set05\n_tsk_8.py,tasks,LL,5,n_tsk,8,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800006,55.200002,1,1005,0
tasks\LL\set05\n_tsk_10.py,tasks,LL,5,n_tsk,10,1.0,55.199993,2,10,8,0.2,0.5,0.4,0.2,80,41,36.800007,55.199993,1,1005,0
tasks\LL\set05\n_tsk_12.py,tasks,LL,5,n_tsk,12,1.0,55.200031,2,12,8,0.2,0.5,0.4,0.2,80,56,36.800007,55.200031,1,1005,0
tasks\LL\set06\n_tsk_4.py,tasks,LL,6,n_tsk,4,1.0,55.199995,2,4,8,0.2,0.5,0.4,0.2,80,15,36.799998,55.199995,1,1006,0
tasks\LL\set06\n_tsk_6.py,tasks,LL,6,n_tsk,6,1.0,55.200005,2,6,8,0.2,0.5,0.4,0.2,80,27,36.799999,55.200005,1,1006,0
tasks\LL\set06\n_tsk_8.py,tasks,LL,6,n_tsk,8,1.0,55.2,2,8,8,0.2,0.5,0.4,0.2,80,30,36.799994,55.2,1,1006,0
tasks\LL\set06\n_tsk_10.py,tasks,LL,6,n_tsk,10,1.0,55.20001,2,10,8,0.2,0.5,0.4,0.2,80,40,36.800003,55.20001,1,1006,0
tasks\LL\set06\n_tsk_12.py,tasks,LL,6,n_tsk,12,1.0,55.200016,2,12,8,0.2,0.5,0.4,0.2,80,54,36.799998,55.200016,1,1006,0
tasks\LL\set07\n_tsk_4.py,tasks,LL,7,n_tsk,4,1.0,55.199998,2,4,8,0.2,0.5,0.4,0.2,80,15,36.8,55.199998,1,1007,0
