file,sweep,regime,set,factor,value,rho,B,n_prc,n_tsk,n_frq,util_per_core,opt_ratio,u_mand_abs,u_opt_abs,H,J,e_mand_fmax,e_full_fmax,feasible,seed,redraws
util_split\LL\set00\regime_LL.py,util_split,LL,0,regime,LL,1.0,55.199994,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
util_split\LL\set01\regime_LL.py,util_split,LL,1,regime,LL,1.0,55.200008,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
util_split\LL\set02\regime_LL.py,util_split,LL,2,regime,LL,1.0,55.200001,2,8,8,0.2,0.5,0.4,0.2,80,32,36.799999,55.200001,1,1002,0
util_split\LL\set03\regime_LL.py,util_split,LL,3,regime,LL,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800003,55.200002,1,1003,0
util_split\LL\set04\regime_LL.py,util_split,LL,4,regime,LL,1.0,55.199991,2,8,8,0.2,0.5,0.4,0.2,80,33,36.799998,55.199991,1,1004,0
util_split\LL\set05\regime_LL.py,util_split,LL,5,regime,LL,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800006,55.200002,1,1005,0
util_split\LL\set06\regime_LL.py,util_split,LL,6,regime,LL,1.0,55.2,2,8,8,0.2,0.5,0.4,0.2,80,30,36.799994,55.2,1,1006,0
util_split\LL\set07\regime_LL.py,util_split,LL,7,regime,LL,1.0,55.200009,2,8,8,0.2,0.5,0.4,0.2,80,36,36.800005,55.200009,1,1007,0
util_split\LL\set08\regime_LL.py,util_split,LL,8,regime,LL,1.0,55.200013,2,8,8,0.2,0.5,0.4,0.2,80,37,36.8,55.200013,1,1008,0
util_split\LL\set09\regime_LL.py,util_split,LL,9,regime,LL,1.0,55.200005,2,8,8,0.2,0.5,0.4,0.2,80,33,36.800002,55.200005,1,1009,0
util_split\LL\set10\regime_LL.py,util_split,LL,10,regime,LL,1.0,55.200007,2,8,8,0.2,0.5,0.4,0.2,80,31,36.8,55.200007,1,1010,0
util_split\LL\set11\regime_LL.py,util_split,LL,11,regime,LL,1.0,55.200017,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800005,55.200017,1,1011,0
util_split\LL\set12\regime_LL.py,util_split,LL,12,regime,LL,1.0,55.199997,2,8,8,0.2,0.5,0.4,0.2,80,25,36.799998,55.199997,1,1012,0
util_split\LL\set13\regime_LL.py,util_split,LL,13,regime,LL,1.0,55.199997,2,8,8,0.2,0.5,0.4,0.2,80,33,36.799988,55.199997,1,1013,0
util_split\LL\set14\regime_LL.py,util_split,LL,14,regime,LL,1.0,55.199995,2,8,8,0.2,0.5,0.4,0.2,80,20,36.8,55.199995,1,1014,0
util_split\LL\set15\regime_LL.py,util_split,LL,15,regime,LL,1.0,55.200003,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800002,55.200003,1,1015,0
util_split\LL\set16\regime_LL.py,util_split,LL,16,regime,LL,1.0,55.2,2,8,8,0.2,0.5,0.4,0.2,80,26,36.8,55.2,1,1016,0
util_split\LL\set17\regime_LL.py,util_split,LL,17,regime,LL,1.0,55.199992,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800005,55.199992,1,1017,0
util_split\LL\set18\regime_LL.py,util_split,LL,18,regime,LL,1.0,55.199997,2,8,8,0.2,0.5,0.4,0.2,80,32,36.799999,55.199997,1,1018,0
util_split\LL\set19\regime_LL.py,util_split,LL,19,regime,LL,1.0,55.199991,2,8,8,0.2,0.5,0.4,0.2,80,21,36.799997,55.199991,1,1019,0
util_split\LL\set20\regime_LL.py,util_split,LL,20,regime,LL,1.0,55.200008,2,8,8,0.2,0.5,0.4,0.2,80,28,36.8,55.200008,1,1020,0
util_split\LL\set21\regime_LL.py,util_split,LL,21,regime,LL,1.0,55.200005,2,8,8,0.2,0.5,0.4,0.2,80,34,36.799997,55.200005,1,1021,0
util_split\LL\set22\regime_LL.py,util_split,LL,22,regime,LL,1.0,55.200009,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800006,55.200009,1,1022,0
util_split\LL\set23\regime_LL.py,util_split,LL,23,regime,LL,1.0,55.199992,2,8,8,0.2,0.5,0.4,0.2,80,21,36.799994,55.199992,1,1023,0
util_split\LL\set24\regime_LL.py,util_split,LL,24,regime,LL,1.0,55.199994,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800003,55.199994,1,1024,0
util_split\LL\set25\regime_LL.py,util_split,LL,25,regime,LL,1.0,55.200003,2,8,8,0.2,0.5,0.4,0.2,80,31,36.799999,55.200003,1,1025,0
util_split\LL\set26\regime_LL.py,util_split,LL,26,regime,LL,1.0,55.199976,2,8,8,0.2,0.5,0.4,0.2,80,34,36.799999,55.199976,1,1026,0
util_split\LL\set27\regime_LL.py,util_split,LL,27,regime,LL,1.0,55.199987,2,8,8,0.2,0.5,0.4,0.2,80,34,36.8,55.199987,1,1027,0
