file,sweep,regime,set,factor,value,rho,B,n_prc,n_tsk,n_frq,util_per_core,opt_ratio,u_mand_abs,u_opt_abs,H,J,e_mand_fmax,e_full_fmax,feasible,seed,redraws
util_success\success\set00\util_per_core_0.30.py,util_success,success,0,util_per_core,0.30,1.0,71.760007,2,8,8,0.3,0.3,0.6,0.18,80,29,55.199999,71.760007,1,1000,0
util_success\success\set00\util_per_core_0.40.py,util_success,success,0,util_per_core,0.40,1.0,95.68001,2,8,8,0.4,0.3,0.8,0.24,80,29,73.599995,95.68001,1,1000,0
util_success\success\set00\util_per_core_0.50.py,util_success,success,0,util_per_core,0.50,1.0,119.600003,2,8,8,0.5,0.3,1.0,0.3,80,29,92.000001,119.600003,1,1000,0
util_success\success\set00\util_per_core_0.60.py,util_success,success,0,util_per_core,0.60,1.0,143.520001,2,8,8,0.6,0.3,1.2,0.36,80,29,110.399995,143.520001,1,1000,0
util_success\success\set00\util_per_core_0.70.py,util_success,success,0,util_per_core,0.70,1.0,167.439988,2,8,8,0.7,0.3,1.4,0.42,80,29,128.799994,167.439988,1,1000,0
util_success\success\set00\util_per_core_0.80.py,util_success,success,0,util_per_core,0.80,1.0,191.359997,2,8,8,0.8,0.3,1.6,0.48,80,29,147.200001,191.359997,1,1000,0
util_success\success\set00\util_per_core_0.90.py,util_success,success,0,util_per_core,0.90,1.0,215.279992,2,8,8,0.9,0.3,1.8,0.54,80,29,165.599997,215.279992,1,1000,0
util_success\success\set00\util_per_core_1.00.py,util_success,success,0,util_per_core,1.00,1.0,239.200002,2,8,8,1.0,0.3,2.0,0.6,80,32,183.999998,239.200002,0,1000,0
util_success\success\set00\util_per_core_1.10.py,util_success,success,0,util_per_core,1.10,1.0,263.119991,2,8,8,1.1,0.3,2.2,0.66,80,32,202.4,263.119991,0,1000,0
util_success\success\set01\util_per_core_0.30.py,util_success,success,1,util_per_core,0.30,1.0,71.760008,2,8,8,0.3,0.3,0.6,0.18,80,23,55.199997,71.760008,1,1001,0
util_success\success\set01\util_per_core_0.40.py,util_success,success,1,util_per_core,0.40,1.0,95.679995,2,8,8,0.4,0.3,0.8,0.24,80,23,73.600005,95.679995,1,1001,0
util_success\success\set01\util_per_core_0.50.py,util_success,success,1,util_per_core,0.50,1.0,119.599992,2,8,8,0.5,0.3,1.0,0.3,80,23,91.999998,119.599992,1,1001,0
util_success\success\set01\util_per_core_0.60.py,util_success,success,1,util_per_core,0.60,1.0,143.520009,2,8,8,0.6,0.3,1.2,0.36,80,23,110.400003,143.520009,1,1001,0
util_success\success\set01\util_per_core_0.70.py,util_success,success,1,util_per_core,0.70,1.0,167.440008,2,8,8,0.7,0.3,1.4,0.42,80,32,128.800005,167.440008,1,1001,0
util_success\success\set01\util_per_core_0.80.py,util_success,success,1,util_per_core,0.80,1.0,191.36,2,8,8,0.8,0.3,1.6,0.48,80,24,147.200001,191.36,1,1001,0
util_success\success\set01\util_per_core_0.90.py,util_success,success,1,util_per_core,0.90,1.0,215.28002,2,8,8,0.9,0.3,1.8,0.54,80,21,165.600001,215.28002,1,1001,0
util_success\success\set01\util_per_core_1.00.py,util_success,success,1,util_per_core,1.00,1.0,239.199978,2,8,8,1.0,0.3,2.0,0.6,80,34,183.999995,239.199978,0,1001,0
util_success\success\set01\util_per_core_1.10.py,util_success,success,1,util_per_core,1.10,1.0,263.119995,2,8,8,1.1,0.3,2.2,0.66,80,34,202.400008,263.119995,0,1001,0
util_success\success\set02\util_per_core_0.30.py,util_success,success,2,util_per_core,0.30,1.0,71.760003,2,8,8,0.3,0.3,0.6,0.18,80,32,55.199999,71.760003,1,1002,0
util_success\success\set02\util_per_core_0.40.py,util_success,success,2,util_per_core,0.40,1.0,95.679992,2,8,8,0.4,0.3,0.8,0.24,80,32,73.599998,95.679992,1,1002,0
util_success\success\set02\util_per_core_0.50.py,util_success,success,2,util_per_core,0.50,1.0,119.6,2,8,8,0.5,0.3,1.0,0.3,80,32,91.999998,119.6,1,1002,0
util_success\success\set02\util_per_core_0.60.py,util_success,success,2,util_per_core,0.60,1.0,143.519988,2,8,8,0.6,0.3,1.2,0.36,80,32,110.400006,143.519988,1,1002,0
util_success\success\set02\util_per_core_0.70.py,util_success,success,2,util_per_core,0.70,1.0,167.440013,2,8,8,0.7,0.3,1.4,0.42,80,32,128.800006,167.440013,1,1002,0
util_success\success\set02\util_per_core_0.80.py,util_success,success,2,util_per_core,0.80,1.0,191.360008,2,8,8,0.8,0.3,1.6,0.48,80,32,147.200005,191.360008,1,1002,0
util_success\success\set02\util_per_core_0.90.py,util_success,success,2,util_per_core,0.90,1.0,215.280023,2,8,8,0.9,0.3,1.8,0.54,80,32,165.6,215.280023,1,1002,0
util_success\success\set02\util_per_core_1.00.py,util_success,success,2,util_per_core,1.00,1.0,239.200009,2,8,8,1.0,0.3,2.0,0.6,80,32,184.000001,239.200009,0,1002,0
util_success\success\set02\util_per_core_1.10.py,util_success,success,2,util_per_core,1.10,1.0,263.119998,2,8,8,1.1,0.3,2.2,0.66,80,37,202.399987,263.119998,0,1002,0
util_success\success\set03\util_per_core_0.30.py,util_success,success,3,util_per_core,0.30,1.0,71.76001,2,8,8,0.3,0.3,0.6,0.18,80,27,55.199992,71.76001,1,1003,0
util_success\success\set03\util_per_core_0.40.py,util_success,success,3,util_per_core,0.40,1.0,95.679986,2,8,8,0.4,0.3,0.8,0.24,80,27,73.599998,95.679986,1,1003,0
util_success\success\set03\util_per_core_0.50.py,util_success,success,3,util_per_core,0.50,1.0,119.599985,2,8,8,0.5,0.3,1.0,0.3,80,27,91.999997,119.599985,1,1003,0
util_success\success\set03\util_per_core_0.60.py,util_success,success,3,util_per_core,0.60,1.0,143.520016,2,8,8,0.6,0.3,1.2,0.36,80,27,110.400006,143.520016,1,1003,0
util_success\success\set03\util_per_core_0.70.py,util_success,success,3,util_per_core,0.70,1.0,167.439975,2,8,8,0.7,0.3,1.4,0.42,80,37,128.799998,167.439975,1,1003,0
util_success\success\set03\util_per_core_0.80.py,util_success,success,3,util_per_core,0.80,1.0,191.360018,2,8,8,0.8,0.3,1.6,0.48,80,37,147.199999,191.360018,1,1003,0
util_success\success\set03\util_per_core_0.90.py,util_success,success,3,util_per_core,0.90,1.0,215.279986,2,8,8,0.9,0.3,1.8,0.54,80,29,165.599991,215.279986,1,1003,0
util_success\success\set03\util_per_core_1.00.py,util_success,success,3,util_per_core,1.00,1.0,239.200001,2,8,8,1.0,0.3,2.0,0.6,80,29,183.999995,239.200001,0,1003,0
util_success\success\set03\util_per_core_1.10.py,util_success,success,3,util_per_core,1.10,1.0,263.119992,2,8,8,1.1,0.3,2.2,0.66,80,27,202.399999,263.119992,0,1003,0
util_success\success\set04\util_per_core_0.30.py,util_success,success,4,util_per_core,0.30,1.0,71.760002,2,8,8,0.3,0.3,0.6,0.18,80,33,55.199997,71.760002,1,1004,0
util_success\success\set04\util_per_core_0.40.py,util_success,success,4,util_per_core,0.40,1.0,95.68001,2,8,8,0.4,0.3,0.8,0.24,80,33,73.600001,95.68001,1,1004,0
util_success\success\set04\util_per_core_0.50.py,util_success,success,4,util_per_core,0.50,1.0,119.600006,2,8,8,0.5,0.3,1.0,0.3,80,33,91.999999,119.600006,1,1004,0
