file,sweep,regime,set,factor,value,rho,B,n_prc,n_tsk,n_frq,util_per_core,opt_ratio,u_mand_abs,u_opt_abs,H,J,e_mand_fmax,e_full_fmax,feasible,seed,redraws
utility\LL\set00\u_spread_2.5-3.5.py,utility,LL,0,u_spread,2.5-3.5,1.0,55.199994,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
utility\LL\set00\u_spread_1.5-4.5.py,utility,LL,0,u_spread,1.5-4.5,1.0,55.199994,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
utility\LL\set00\u_spread_1.0-5.0.py,utility,LL,0,u_spread,1.0-5.0,1.0,55.199994,2,8,8,0.2,0.5,0.4,0.2,80,29,36.799998,55.199994,1,1000,0
utility\LL\set01\u_spread_2.5-3.5.py,utility,LL,1,u_spread,2.5-3.5,1.0,55.200008,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
utility\LL\set01\u_spread_1.5-4.5.py,utility,LL,1,u_spread,1.5-4.5,1.0,55.200008,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
utility\LL\set01\u_spread_1.0-5.0.py,utility,LL,1,u_spread,1.0-5.0,1.0,55.200008,2,8,8,0.2,0.5,0.4,0.2,80,23,36.800001,55.200008,1,1001,0
utility\LL\set02\u_spread_2.5-3.5.py,utility,LL,2,u_spread,2.5-3.5,1.0,55.200001,2,8,8,0.2,0.5,0.4,0.2,80,32,36.799999,55.200001,1,1002,0
utility\LL\set02\u_spread_1.5-4.5.py,utility,LL,2,u_spread,1.5-4.5,1.0,55.200001,2,8,8,0.2,0.5,0.4,0.2,80,32,36.799999,55.200001,1,1002,0
utility\LL\set02\u_spread_1.0-5.0.py,utility,LL,2,u_spread,1.0-5.0,1.0,55.200001,2,8,8,0.2,0.5,0.4,0.2,80,32,36.799999,55.200001,1,1002,0
utility\LL\set03\u_spread_2.5-3.5.py,utility,LL,3,u_spread,2.5-3.5,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800003,55.200002,1,1003,0
utility\LL\set03\u_spread_1.5-4.5.py,utility,LL,3,u_spread,1.5-4.5,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800003,55.200002,1,1003,0
utility\LL\set03\u_spread_1.0-5.0.py,utility,LL,3,u_spread,1.0-5.0,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,27,36.800003,55.200002,1,1003,0
utility\LL\set04\u_spread_2.5-3.5.py,utility,LL,4,u_spread,2.5-3.5,1.0,55.199991,2,8,8,0.2,0.5,0.4,0.2,80,33,36.799998,55.199991,1,1004,0
utility\LL\set04\u_spread_1.5-4.5.py,utility,LL,4,u_spread,1.5-4.5,1.0,55.199991,2,8,8,0.2,0.5,0.4,0.2,80,33,36.799998,55.199991,1,1004,0
utility\LL\set04\u_spread_1.0-5.0.py,utility,LL,4,u_spread,1.0-5.0,1.0,55.199991,2,8,8,0.2,0.5,0.4,0.2,80,33,36.799998,55.199991,1,1004,0
utility\LL\set05\u_spread_2.5-3.5.py,utility,LL,5,u_spread,2.5-3.5,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800006,55.200002,1,1005,0
utility\LL\set05\u_spread_1.5-4.5.py,utility,LL,5,u_spread,1.5-4.5,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800006,55.200002,1,1005,0
utility\LL\set05\u_spread_1.0-5.0.py,utility,LL,5,u_spread,1.0-5.0,1.0,55.200002,2,8,8,0.2,0.5,0.4,0.2,80,30,36.800006,55.200002,1,1005,0
utility\LL\set06\u_spread_2.5-3.5.py,utility,LL,6,u_spread,2.5-3.5,1.0,55.2,2,8,8,0.2,0.5,0.4,0.2,80,30,36.799994,55.2,1,1006,0
